constituency_code,constituency,winning_party,runner_up_party,candidate_count,others_vote_pct,margin_votes,margin_pct,postal_gap,crowding_band
S22197,USILAMPATTI,Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,13,42.12,1805,0.80,318,Crowded
S22111,METTUPPALAYAM,Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,23,41.25,7768,3.18,-409,Ultra-crowded
S22223,ALANGULAM,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,14,40.90,7798,3.53,408,Crowded
S22204,SATTUR,Dravida Munnetra Kazhagam,Bharatiya Janata Party,23,40.56,5989,3.02,112,Ultra-crowded
S22209,PARAMAKUDI,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,13,39.51,3548,1.87,187,Crowded
S22188,MELUR,Indian National Congress,Tamilaga Vettri Kazhagam,14,38.42,2724,1.43,154,Crowded
S22210,TIRUVADANAI,Tamilaga Vettri Kazhagam,Indian National Congress,22,38.00,2513,1.14,-94,Ultra-crowded
S22213,VILATHIKULAM,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,16,37.89,8228,4.70,348,Ultra-crowded
S22100,MODAKKURICHI,Tamilaga Vettri Kazhagam,Bharatiya Janata Party,15,37.61,2430,1.28,-242,Ultra-crowded
S22229,KANNIYAKUMARI,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,15,37.33,214,0.09,-163,Ultra-crowded
S22219,SANKARANKOVIL,All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,21,37.27,6489,3.30,-171,Ultra-crowded
S22181,THIRUMAYAM,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,15,37.07,1492,0.82,279,Ultra-crowded
S22220,VASUDEVANALLUR,Dravida Munnetra Kazhagam,Bharatiya Janata Party,19,37.03,6583,3.47,128,Ultra-crowded
S22218,KOVILPATTI,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,22,36.96,843,0.44,182,Ultra-crowded
S22203,SRIVILLIPUTHUR,Tamilaga Vettri Kazhagam,Communist Party of India,15,36.57,8581,4.43,133,Ultra-crowded
