constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
VEPPANAHALLI,S2254,74553,Dravida Munnetra Kazhagam,74691,138
TINDIVANAM,S2272,63099,Viduthalai Chiruthaigal Katchi,63833,734
KALLAKURICHI,S2280,80334,Tamilaga Vettri Kazhagam,81132,798
SRIVAIKUNTAM,S22216,57628,Tamilaga Vettri Kazhagam,58814,1186
MANAPPARAI,S22138,81615,Tamilaga Vettri Kazhagam,83041,1426
USILAMPATTI,S22197,63938,Tamilaga Vettri Kazhagam,65743,1805
ULUNDURPETTAI,S2277,96194,Dravida Munnetra Kazhagam,98471,2277
SENTHAMANGALAM,S2293,66160,Tamilaga Vettri Kazhagam,68815,2655
UDUMALAIPETTAI,S22125,65667,Dravida Munnetra Kazhagam,68549,2882
PERAVURANI,S22177,57757,Dravida Munnetra Kazhagam,60919,3162
VANDAVASI,S2269,60472,Dravida Munnetra Kazhagam,63805,3333
KRISHNARAYAPURAM,S22136,58875,Tamilaga Vettri Kazhagam,62378,3503
VEERAPANDI,S2291,75836,Tamilaga Vettri Kazhagam,79907,4071
BHAVANISAGAR,S22107,67822,Tamilaga Vettri Kazhagam,72391,4569
POLLACHI,S22123,57386,Dravida Munnetra Kazhagam,62013,4627
SULUR,S22116,85741,Tamilaga Vettri Kazhagam,90531,4790
UTHANGARAI,S2251,65003,Tamilaga Vettri Kazhagam,70201,5198
CHIDAMBARAM,S22158,63992,Dravida Munnetra Kazhagam,69739,5747
KATPADI,S2240,63998,Tamilaga Vettri Kazhagam,69868,5870
KADAYANALLUR,S22221,73579,Dravida Munnetra Kazhagam,79832,6253
KURINJIPADI,S22156,69106,Dravida Munnetra Kazhagam,76695,7589
KUMARAPALAYAM,S2297,73483,Tamilaga Vettri Kazhagam,81179,7696
ALANGULAM,S22223,61372,Dravida Munnetra Kazhagam,69170,7798
COONOOR,S22110,42371,Dravida Munnetra Kazhagam,50470,8099
POOMPUHAR,S22162,72836,Dravida Munnetra Kazhagam,81096,8260
THURAIYUR,S22146,56649,Tamilaga Vettri Kazhagam,66263,9614
VEDASANDUR,S22133,74885,Dravida Munnetra Kazhagam,84948,10063
TENKASI,S22222,69400,Dravida Munnetra Kazhagam,79699,10299
NAMAKKAL,S2294,68736,Tamilaga Vettri Kazhagam,79744,11008
SIRKAZHI,S22160,60032,Dravida Munnetra Kazhagam,71449,11417
THIYAGARAYANAGAR,S2224,38605,Tamilaga Vettri Kazhagam,51632,13027
SIVAGANGA,S22186,58656,Tamilaga Vettri Kazhagam,73737,15081
KANCHEEPURAM,S2237,75862,Tamilaga Vettri Kazhagam,91350,15488
KUNNAM,S22148,71680,Dravida Munnetra Kazhagam,87237,15557
KRISHNAGIRI,S2253,70530,Tamilaga Vettri Kazhagam,89374,18844
KILVAITHINANKUPPAM,S2245,54050,Tamilaga Vettri Kazhagam,74305,20255
GUDALUR,S22109,42757,Dravida Munnetra Kazhagam,65590,22833
THIRUMANGALAM,S22196,64484,Dravida Munnetra Kazhagam,88291,23807
GUMMIDIPOONDI,S221,66375,Tamilaga Vettri Kazhagam,94320,27945
TIRUCHENGODU,S2296,51328,Tamilaga Vettri Kazhagam,79500,28172
VELACHERY,S2226,47125,Tamilaga Vettri Kazhagam,80430,33305
PALLADAM,S22115,83400,Tamilaga Vettri Kazhagam,121297,37897
KAVUNDAMPALAYAM,S22117,104326,Tamilaga Vettri Kazhagam,146466,42140
