constituency_code,constituency,state,total_votes
S2227,SHOZHINGANALLUR,TAMIL NADU,447295
S22117,KAVUNDAMPALAYAM,TAMIL NADU,363991
S229,MADAVARAM,TAMIL NADU,361998
S226,AVADI,TAMIL NADU,346005
S2229,SRIPERUMBUDUR,TAMIL NADU,331088
S2232,CHENGALPATTU,TAMIL NADU,324010
S225,POONAMALLEE,TAMIL NADU,308894
S22115,PALLADAM,TAMIL NADU,301014
S227,MADURAVOYAL,TAMIL NADU,293692
S2230,PALLAVARAM,TAMIL NADU,283677
S2231,TAMBARAM,TAMIL NADU,278809
S2255,HOSUR,TAMIL NADU,277770
S22116,SULUR,TAMIL NADU,273544
S22189,MADURAI EAST,TAMIL NADU,271566
S2284,OMALUR,TAMIL NADU,271119
S2277,ULUNDURPETTAI,TAMIL NADU,271002
S22122,KINATHUKADAVU,TAMIL NADU,267917
S22113,TIRUPPUR,TAMIL NADU,263457
S2233,THIRUPORUR,TAMIL NADU,262409
S2228,ALANDUR,TAMIL NADU,261570
S228,AMBATTUR,TAMIL NADU,259986
S22119,THONDAMUTHUR,TAMIL NADU,258549
S2286,EDAPPADI,TAMIL NADU,258263
S22195,THIRUPARANKUNDRAM,TAMIL NADU,255466
S22139,SRIRANGAM,TAMIL NADU,254985
S22147,PERAMBALUR,TAMIL NADU,253654
S2283,YERCAUD,TAMIL NADU,253592
S2280,KALLAKURICHI,TAMIL NADU,249626
S2237,KANCHEEPURAM,TAMIL NADU,246317
S2278,RISHIVANDIYAM,TAMIL NADU,244795
S22111,METTUPPALAYAM,TAMIL NADU,244319
S2287,SANKARI,TAMIL NADU,243779
S2262,CHENGAM,TAMIL NADU,242897
S22138,MANAPPARAI,TAMIL NADU,241216
S22229,KANNIYAKUMARI,TAMIL NADU,239150
S22131,NATHAM,TAMIL NADU,239140
S223,TIRUTTANI,TAMIL NADU,238798
S2259,DHARMAPURI,TAMIL NADU,238579
S22211,RAMANATHAPURAM,TAMIL NADU,237576
S22129,ATHOOR,TAMIL NADU,237183
S2260,PAPPIREDDIPATTI,TAMIL NADU,236621
