constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
ORLEAMPETH,U0716,8759,Neyam Makkal Kazhagam,9960,1201
VILLIANUR,U075,15000,All India N.R. Congress,16970,1970
NERAVY-T.R.PATTINAM,U0728,8800,Bharatiya Janata Party,10818,2018
MUDALIARPET,U0718,10574,Bharatiya Janata Party,12945,2371
MANGALAM,U074,10867,All India N.R. Congress,17917,7050
