constituency_code,candidate,party,constituency,state,votes
U071,R. SUNDARRAJ,Independent,MANNADIPET,PUDUCHERRY,21
U0713,C. PRATHIYOUVE,Independent,MUTHIALPET,PUDUCHERRY,20
U0716,E. ABEL VARGINIA,Pattali Makkal Katchi,ORLEAMPETH,PUDUCHERRY,20
U0721,K. RAMADASS,Rashtriya Samaj Dal (R),EMBALAM,PUDUCHERRY,20
U0730,NATI BURIYYA,Independent,YANAM,PUDUCHERRY,19
U0730,KALLA VENKATA RATNAM,Independent,YANAM,PUDUCHERRY,18
U075,S.JAYAPAL,Independent,VILLIANUR,PUDUCHERRY,17
U072,ASWANIYA. M,Independent,THIRUBHUVANAI,PUDUCHERRY,17
U0716,N. SIVAKUMARAN,Tamilaga Makkal Thannurimai Katchi,ORLEAMPETH,PUDUCHERRY,16
U075,M.GANAPATHY,Independent,VILLIANUR,PUDUCHERRY,16
U079,M. KRISHNAMURTHY,Independent,THATTANCHAVADY,PUDUCHERRY,15
U0725,M. VASANTHKUMAR,Independent,THIRUNALLAR,PUDUCHERRY,15
U0718,R. MUTHUMANIKANDAN,Independent,MUDALIARPET,PUDUCHERRY,14
U0730,MELLAM SRINIVASA RAO,Independent,YANAM,PUDUCHERRY,14
U0713,K. HARIDASS,Pattali Makkal Katchi,MUTHIALPET,PUDUCHERRY,14
U071,K. DATCHANAMOURTHY,Independent,MANNADIPET,PUDUCHERRY,13
U0723,M. MUGILAN,Independent,BAHOUR,PUDUCHERRY,11
U0716,R. GOPAL,Independent,ORLEAMPETH,PUDUCHERRY,11
U0716,P. VENKATESAN,Independent,ORLEAMPETH,PUDUCHERRY,9
U0730,JANIPALLI VENKANNA BABU,Naadaalum Makkal Katchi,YANAM,PUDUCHERRY,9
U0730,MALLADI UDAYA LAKSHMI,Independent,YANAM,PUDUCHERRY,9
U071,S. PANDURANGAN,Independent,MANNADIPET,PUDUCHERRY,6
U0730,TIRUKOTI ADIMURTHY,Independent,YANAM,PUDUCHERRY,4
