constituency_code,constituency,state,total_votes
U075,VILLIANUR,PUDUCHERRY,39346
U076,OZHUKARAI,PUDUCHERRY,35893
U0730,YANAM,PUDUCHERRY,35826
U074,MANGALAM,PUDUCHERRY,35405
U0719,ARIANKUPPAM,PUDUCHERRY,34510
U0720,MANAVELY,PUDUCHERRY,32386
U0712,KALAPET,PUDUCHERRY,31545
U0721,EMBALAM,PUDUCHERRY,31542
U073,OUSSUDU,PUDUCHERRY,31301
U0710,KAMARAJ NAGAR,PUDUCHERRY,31226
U0718,MUDALIARPET,PUDUCHERRY,31199
U072,THIRUBHUVANAI,PUDUCHERRY,30299
U078,INDIRA NAGAR,PUDUCHERRY,30001
U071,MANNADIPET,PUDUCHERRY,29502
U0726,KARAIKAL NORTH,PUDUCHERRY,29208
U0722,NETTAPAKKAM,PUDUCHERRY,28718
U077,KADIRGAMAM,PUDUCHERRY,28497
U0724,NEDUNGADU,PUDUCHERRY,28431
U0725,THIRUNALLAR,PUDUCHERRY,27966
U0723,BAHOUR,PUDUCHERRY,27456
U0711,LAWSPET,PUDUCHERRY,26766
U0728,NERAVY-T.R.PATTINAM,PUDUCHERRY,26545
U0727,KARAIKAL SOUTH,PUDUCHERRY,25522
U0717,NELLITHOPE,PUDUCHERRY,24770
U0729,MAHE,PUDUCHERRY,23801
U079,THATTANCHAVADY,PUDUCHERRY,23578
U0713,MUTHIALPET,PUDUCHERRY,23560
U0715,OUPALAM,PUDUCHERRY,23030
U0716,ORLEAMPETH,PUDUCHERRY,19594
U0714,RAJ BHAVAN,PUDUCHERRY,18716
