constituency_code,constituency,winning_party,runner_up_party,candidate_count,others_vote_pct,margin_votes,margin_pct,postal_gap,crowding_band
U076,OZHUKARAI,All India N.R. Congress,Tamilaga Vettri Kazhagam,15,41.37,4234,11.79,180,Ultra-crowded
U072,THIRUBHUVANAI,Tamilaga Vettri Kazhagam,All India N.R. Congress,12,38.02,701,2.32,-69,Crowded
U0717,NELLITHOPE,Dravida Munnetra Kazhagam,Independent,15,37.02,850,3.43,57,Ultra-crowded
U0729,MAHE,Independent,Indian National Congress,9,34.30,1115,4.69,-12,Standard
U079,THATTANCHAVADY,All India N.R. Congress,Neyam Makkal Kazhagam,11,33.80,4441,18.83,176,Crowded
U0713,MUTHIALPET,All India N.R. Congress,Indian National Congress,12,32.89,952,4.04,71,Crowded
U0723,BAHOUR,Dravida Munnetra Kazhagam,All India N.R. Congress,10,32.10,2397,8.73,89,Crowded
U0722,NETTAPAKKAM,All India N.R. Congress,Indian National Congress,15,28.14,6689,23.29,120,Ultra-crowded
U0711,LAWSPET,All India N.R. Congress,Indian National Congress,12,26.25,1417,5.29,19,Crowded
U0728,NERAVY-T.R.PATTINAM,Bharatiya Janata Party,Dravida Munnetra Kazhagam,10,26.11,2018,7.60,7,Crowded
U0715,OUPALAM,All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,7,25.44,1026,4.46,42,Standard
U0712,KALAPET,Dravida Munnetra Kazhagam,Bharatiya Janata Party,8,24.90,447,1.42,-34,Standard
U0727,KARAIKAL SOUTH,Dravida Munnetra Kazhagam,Indian National Congress,9,24.68,5862,22.97,132,Standard
U0718,MUDALIARPET,Bharatiya Janata Party,Dravida Munnetra Kazhagam,15,24.62,2371,7.60,6,Ultra-crowded
U0720,MANAVELY,Tamilaga Vettri Kazhagam,Bharatiya Janata Party,9,24.21,3093,9.55,-100,Standard
