constituency_code,constituency,state,no_of_candidates
U0718,MUDALIARPET,PUDUCHERRY,15
U0722,NETTAPAKKAM,PUDUCHERRY,15
U0717,NELLITHOPE,PUDUCHERRY,15
U076,OZHUKARAI,PUDUCHERRY,15
U0730,YANAM,PUDUCHERRY,14
U0716,ORLEAMPETH,PUDUCHERRY,14
U075,VILLIANUR,PUDUCHERRY,13
U0711,LAWSPET,PUDUCHERRY,12
U0713,MUTHIALPET,PUDUCHERRY,12
U071,MANNADIPET,PUDUCHERRY,12
U0719,ARIANKUPPAM,PUDUCHERRY,12
U072,THIRUBHUVANAI,PUDUCHERRY,12
U079,THATTANCHAVADY,PUDUCHERRY,11
U0710,KAMARAJ NAGAR,PUDUCHERRY,11
U074,MANGALAM,PUDUCHERRY,10
U0728,NERAVY-T.R.PATTINAM,PUDUCHERRY,10
U0725,THIRUNALLAR,PUDUCHERRY,10
U0726,KARAIKAL NORTH,PUDUCHERRY,10
U0723,BAHOUR,PUDUCHERRY,10
U077,KADIRGAMAM,PUDUCHERRY,10
U0720,MANAVELY,PUDUCHERRY,9
U0721,EMBALAM,PUDUCHERRY,9
U078,INDIRA NAGAR,PUDUCHERRY,9
U0729,MAHE,PUDUCHERRY,9
U0727,KARAIKAL SOUTH,PUDUCHERRY,9
U0712,KALAPET,PUDUCHERRY,8
U0714,RAJ BHAVAN,PUDUCHERRY,8
U0715,OUPALAM,PUDUCHERRY,7
U0724,NEDUNGADU,PUDUCHERRY,7
U073,OUSSUDU,PUDUCHERRY,6
