constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
THIRUBHUVANAI,U072,9039,Tamilaga Vettri Kazhagam,9740,701
BAHOUR,U0723,8123,Dravida Munnetra Kazhagam,10520,2397
NEDUNGADU,U0724,9869,Independent,14368,4499
KADIRGAMAM,U077,7629,Independent,14633,7004
