constituency_code,constituency,party,candidate,third_place_vote_pct,party_avg_vote_pct,overperformance_pct,total_candidates,margin_votes
U076,OZHUKARAI,Independent,N. SARAVANAN,20.74,2.33,18.41,15,4234
U079,THATTANCHAVADY,Independent,K. SETHU @ SETHUSELVAM,16.90,2.33,14.57,11,4441
U0723,BAHOUR,Tamilaga Vettri Kazhagam,N. DHANAVELOU,29.29,17.60,11.69,10,2397
U0728,NERAVY-T.R.PATTINAM,Independent,V.M.C.S. MANOHAREN,12.42,2.33,10.09,10,2018
U0711,LAWSPET,Tamilaga Vettri Kazhagam,V. SAMINATHAN,21.10,17.60,3.50,12,1417
U0717,NELLITHOPE,Tamilaga Vettri Kazhagam,S. VIGNESHWARAN,19.23,17.60,1.63,15,850
U0718,MUDALIARPET,Tamilaga Vettri Kazhagam,N. MANIBALAN,18.93,17.60,1.33,15,2371
U0722,NETTAPAKKAM,Tamilaga Vettri Kazhagam,L PERIASAMY,18.74,17.60,1.14,15,6689
U0730,YANAM,None of the Above,NOTA,0.54,0.77,-0.23,14,4568
U0726,KARAIKAL NORTH,Tamilaga Vettri Kazhagam,A. VENGADESH,17.23,17.60,-0.37,10,2653
U0727,KARAIKAL SOUTH,Tamilaga Vettri Kazhagam,K.A.U. ASSANA,17.03,17.60,-0.57,9,5862
U075,VILLIANUR,Tamilaga Vettri Kazhagam,R.RAMESH,15.88,17.60,-1.72,13,1970
U0719,ARIANKUPPAM,Tamilaga Vettri Kazhagam,KUMARAVELU,15.72,17.60,-1.88,12,603
U0713,MUTHIALPET,Tamilaga Vettri Kazhagam,J. PRAKASH KUMAR,15.33,17.60,-2.27,12,952
U0712,KALAPET,Tamilaga Vettri Kazhagam,D. SASIKUMAR,15.14,17.60,-2.46,8,447
