candidate,party,constituency,vote_share
AK. SAI J SARAVANAN KUMAR,Tamilaga Vettri Kazhagam,THIRUBHUVANAI,32.14627545463546651700
V. CARTIGUEYANE,Dravida Munnetra Kazhagam,NELLITHOPE,33.20952765442067016600
ADV. T. ASHOK KUMAR,Independent,MAHE,35.18759715978320238600
K.NARAYANASAMY ALIAS NITHYANANDAM,All India N.R. Congress,OZHUKARAI,35.20184994288579946000
VAIYAPURI MANIKANDAN,All India N.R. Congress,MUTHIALPET,35.57724957555178268300
SENTHIL @ RAMESH,Dravida Munnetra Kazhagam,KALAPET,38.25962910128388017100
R. SENTHIL KUMAR,Dravida Munnetra Kazhagam,BAHOUR,38.31585081585081585100
VIGNESH KANNAN,Dravida Munnetra Kazhagam,RAJ BHAVAN,39.02543278478307330600
A ANBALAGAN,All India Anna Dravida Munnetra Kazhagam,OUPALAM,39.50933564915327833300
V.P. SIVAKOLUNDHU,All India N.R. Congress,LAWSPET,39.52028693118134947300
TKSM MEENATCHISUNDARAM,Bharatiya Janata Party,NERAVY-T.R.PATTINAM,40.75343755886230928600
C. AIYAPPAN @ MOUTTAYAPPAN,All India N.R. Congress,ARIANKUPPAM,41.17647058823529411800
A. JOHNKUMAR,Bharatiya Janata Party,MUDALIARPET,41.49171447802814192800
P.V. AROUMOUGAME @ AKD,All India N.R. Congress,INDIRA NAGAR,42.13192893570214326200
N. RANGASAMY,All India N.R. Congress,THATTANCHAVADY,42.51420816014929171300
B.RAMU,Tamilaga Vettri Kazhagam,MANAVELY,42.67893534243191502500
B.RAVICOUMAR,All India N.R. Congress,VILLIANUR,43.13017841711991053700
P.R.N. THIRUMURUGAN,All India N.R. Congress,KARAIKAL NORTH,43.58737332237743084100
P. RAJAVELU,All India N.R. Congress,NETTAPAKKAM,47.58339717250504909800
A.M.H. NAZEEM,Dravida Munnetra Kazhagam,KARAIKAL SOUTH,49.14583496591176240100
P. KARTHIKEYAN,Indian National Congress,OUSSUDU,49.19970607967796556000
DR. V. VIGNESWARAN,Independent,NEDUNGADU,50.53638633885547465800
N. RANGASAMY,All India N.R. Congress,MANGALAM,50.60584663183166219500
E. MOHANDOSS,All India N.R. Congress,EMBALAM,50.77991249762221799500
G. NEHRU ALIAS COUPPOUSSAMY,Neyam Makkal Kazhagam,ORLEAMPETH,50.83188731244258446500
AZHAGU @ AZHAGANANTHAM,Independent,KADIRGAMAM,51.34926483489490121800
JOSE CHARLES MARTIN,Latchiya Jananayaka Katchi (LJK),KAMARAJ NAGAR,53.13520783962082879700
A. NAMASSIVAYAM,Bharatiya Janata Party,MANNADIPET,53.95566402277811673800
MALLADI KRISHNA RAO,All India N.R. Congress,YANAM,55.44297437615139842600
G.N.S. RAJASEKARAN,Bharatiya Janata Party,THIRUNALLAR,60.17664306658084817300
