party,no_of_candidates_with_less_than_one_sixth_votes
Independent,111
None of the Above,30
Naam Tamilar Katchi,28
Pattali Makkal Katchi,19
Tamilaga Vettri Kazhagam,15
Indian National Congress,8
Tamilaga Makkal Thannurimai Katchi,8
Naadaalum Makkal Katchi,5
All India Puratchi Thalaivar Makkal Munnettra Kazhagam,4
Desa Makkal Munnetrak Kazhagam,3
Aanaithinthiya Jananayaka Pathukappu Kazhagam,3
Viduthalai Chiruthaigal Katchi,2
Communist Party of India (Marxist),2
Rashtriya Samaj Dal (R),2
Latchiya Jananayaka Katchi (LJK),1
Indian Union Muslim League,1
Dravida Munnetra Kazhagam,1
Parivartan Rajniti Party,1
Communist Party of India,1
All India Anna Dravida Munnetra Kazhagam,1
Socialist Unity Centre Of India (COMMUNIST),1
Bharatiya Janata Party,1
Anna Makkal Katchi,1
Loktantrik Janta Dal,1
