party,silver_medals
Indian National Congress,12
Dravida Munnetra Kazhagam,5
Bharatiya Janata Party,4
All India N.R. Congress,4
Tamilaga Vettri Kazhagam,3
Independent,1
Neyam Makkal Kazhagam,1
