party,party_votes,vote_share
All India N.R. Congress,200292,23.12469476608258027900
Indian National Congress,151934,17.54152624463278988700
Tamilaga Vettri Kazhagam,144817,16.71983365256615855000
Dravida Munnetra Kazhagam,119036,13.74329062656224924600
Bharatiya Janata Party,105583,12.19007572687524750600
Independent,75185,8.68047738296047170300
Latchiya Jananayaka Katchi (LJK),19903,2.29789906700887501900
Neyam Makkal Kazhagam,15543,1.79451566088122114300
Naam Tamilar Katchi,11813,1.36386884784082000700
All India Anna Dravida Munnetra Kazhagam,9399,1.08516069591601348100
None of the Above,6633,0.76581241579007526500
Viduthalai Chiruthaigal Katchi,1232,0.14224044870396091200
Pattali Makkal Katchi,1057,0.12203583951305737300
Indian Union Muslim League,800,0.09236392772984474800
Tamilaga Makkal Thannurimai Katchi,695,0.08024116221530262500
Communist Party of India (Marxist),556,0.06419292977224210000
Communist Party of India,402,0.04641287368424698600
Socialist Unity Centre Of India (COMMUNIST),299,0.03452101798902947400
All India Puratchi Thalaivar Makkal Munnettra Kazhagam,270,0.03117282560882260200
Naadaalum Makkal Katchi,225,0.02597735467401883500
Loktantrik Janta Dal,127,0.01466277352711285400
Aanaithinthiya Jananayaka Pathukappu Kazhagam,126,0.01454731861745054800
Desa Makkal Munnetrak Kazhagam,102,0.01177640078555520500
Rashtriya Samaj Dal (R),47,0.005426380754128378932200
Anna Makkal Katchi,39,0.004502741476829931454400
Parivartan Rajniti Party,24,0.002770917831895342433500
