candidate,party,constituency_count
N. RANGASAMY,All India N.R. Congress,2
RAMESH,Independent,2
A ANBALAGAN,All India Anna Dravida Munnetra Kazhagam,1
A. ARULPRAKASH @ ARUL OLI,Independent,1
A. DHINAKARAN,Independent,1
A. DINESAN,Bharatiya Janata Party,1
ADV. T. ASHOK KUMAR,Independent,1
A. GANDHI,All India Anna Dravida Munnetra Kazhagam,1
A.H. ABDUL BASITH,Independent,1
A. JAYAKUMAR,Latchiya Jananayaka Katchi (LJK),1
A. JOHNKUMAR,Bharatiya Janata Party,1
AK. SAI J SARAVANAN KUMAR,Tamilaga Vettri Kazhagam,1
A.M.H. NAZEEM,Dravida Munnetra Kazhagam,1
A.M. RANJITH,Indian National Congress,1
A. NAMASSIVAYAM,Bharatiya Janata Party,1
ANITHA VEERAPAN,Naam Tamilar Katchi,1
ANNIBAL KENNEDY,Dravida Munnetra Kazhagam,1
ANTHO. JOHN PEETTER,Independent,1
A. P. R. VADIVEL,Dravida Munnetra Kazhagam,1
A. P. SIVAKUMAR.,Independent,1
A. RAGU @ RAGUNATHAN,Independent,1
A. RAJA MOHAMED,Tamilaga Vettri Kazhagam,1
ARUL PRAKASH,Independent,1
ASHOKAN.  M,Independent,1
ASWANIYA. M,Independent,1
A.THIYAGU,Independent,1
A VELU,Independent,1
A. VENGADESH,Tamilaga Vettri Kazhagam,1
A. VIGNESH,Naam Tamilar Katchi,1
AVS SAKTHIVEL PRABU,Indian National Congress,1
AZHAGU @ AZHAGANANTHAM,Independent,1
BALAMURUGAN,Independent,1
BANGARAMMAL KARUNAKARAN,Independent,1
B. COWRI,Naam Tamilar Katchi,1
B. GANESHAMOURTHY,Independent,1
B. KOBIGA,All India N.R. Congress,1
B. NARAYANAN,Independent,1
B.RAMU,Tamilaga Vettri Kazhagam,1
B.RAVICOUMAR,All India N.R. Congress,1
B. VENKATESAN,Naam Tamilar Katchi,1
C. AIYAPPAN @ MOUTTAYAPPAN,All India N.R. Congress,1
C. CHANDIRA PRIYANGA,All India N.R. Congress,1
CHANDRAMOULISWARAR A.R.,Tamilaga Makkal Thannurimai Katchi,1
CHANDRASEGARAN,Independent,1
C. PRATHIYOUVE,Independent,1
D. ATHILAKSHMI,Independent,1
DINESH KUMAR,Indian National Congress,1
D.PAVITHIRAN,Independent,1
D.RAMESH,Naam Tamilar Katchi,1
DR. C. ASHOK KUMAR,Independent,1
DR. GEETHA MANI,Naadaalum Makkal Katchi,1
DR.K. SILAMBARASAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
DR. M. DHANABAL,Independent,1
DR. V. VIGNESWARAN,Independent,1
D. SASIKUMAR,Tamilaga Vettri Kazhagam,1
E. ABEL VARGINIA,Pattali Makkal Katchi,1
E. BALARAMAN,Independent,1
EERAM G. RAJENDRAN,Indian National Congress,1
EGAMBARAM GANDHI,Independent,1
E. IRUDHAYARAJ,Independent,1
EMBALAM SELVAM @ SELVAM. R,Bharatiya Janata Party,1
E. MOHANDOSS,All India N.R. Congress,1
E. THEEPPAINTHAN,Bharatiya Janata Party,1
E. VADIVEL,Pattali Makkal Katchi,1
E. VINAYAGAM,Neyam Makkal Kazhagam,1
G. ACHUDHAN,Pattali Makkal Katchi,1
G. ANBARASAN,Indian National Congress,1
GANESH @ PRANADARTI GARESWARAN,Tamilaga Vettri Kazhagam,1
GEETHA. V,Tamilaga Makkal Thannurimai Katchi,1
G.GANAPATHY,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
GIDDI BALARAM,Independent,1
G. MATHIYALAGAN,Pattali Makkal Katchi,1
G. NEHRU ALIAS COUPPOUSSAMY,Neyam Makkal Kazhagam,1
G.N.S. RAJASEKARAN,Bharatiya Janata Party,1
GOLLAPALLI SRINIVAS ASHOK,Indian National Congress,1
GOPALAKRISHNAN,Pattali Makkal Katchi,1
GOPALAKRISHNAN,Independent,1
GOUTHAM KUMAR,Independent,1
GOWRI,Naam Tamilar Katchi,1
G. RAGU,Independent,1
G. ROBERT JESUDASS,Independent,1
G. SATHEESHKUMAR,Independent,1
HEMACHANDRAN,Pattali Makkal Katchi,1
I. DANARAJU,Independent,1
I. KADAR MAIDINE,Independent,1
I. THAVAMANI,Independent,1
JANAKIRAMAN,Pattali Makkal Katchi,1
JANIPALLI VENKANNA BABU,Naadaalum Makkal Katchi,1
JAYABALL @ SENGENI,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
JAYANTHI RAJAVELU,Tamilaga Vettri Kazhagam,1
J. GUNASEKARAN,Independent,1
JOSE CHARLES MARTIN,Latchiya Jananayaka Katchi (LJK),1
J. PRAKASH KUMAR,Tamilaga Vettri Kazhagam,1
J. VINAYAGAM,Independent,1
J. YUVARAJ,Independent,1
KALLA VENKATA RATNAM,Independent,1
K.A.U. ASSANA,Tamilaga Vettri Kazhagam,1
K. BALAMURUGAN,Independent,1
K. BHARATHITHASAN,Tamilaga Vettri Kazhagam,1
K. DATCHANAMOURTHY,Independent,1
K. HARIDASS,Pattali Makkal Katchi,1
K JAYACHANDIRAN,Pattali Makkal Katchi,1
K. KAMARAJ,Naam Tamilar Katchi,1
K. KATHIRESAN,Pattali Makkal Katchi,1
K. KIRUBANIDHI,Pattali Makkal Katchi,1
K. MURUGAN,Independent,1
K.NARAYANASAMY ALIAS NITHYANANDAM,All India N.R. Congress,1
K. PONNUSAMY,Naadaalum Makkal Katchi,1
K. RAGUBADY,Indian National Congress,1
K. RAJASEKAR,Independent,1
K. RAMADASS,Rashtriya Samaj Dal (R),1
K. RANJIT,Naam Tamilar Katchi,1
K. SETHU @ SETHUSELVAM,Independent,1
K.S.P @ S. RAMESH,All India N.R. Congress,1
K. SUNDARAVADIVELU,Naam Tamilar Katchi,1
KUMARAVELU,Tamilaga Vettri Kazhagam,1
K. VELU,Indian National Congress,1
LAKSHMI SNEHA MEDAPATI,Independent,1
L.G. SEKAR,Pattali Makkal Katchi,1
L. KARUNANITHI,Naadaalum Makkal Katchi,1
L. MANIVANNAN,Independent,1
L. NARASSIMMAN,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
L PERIASAMY,Tamilaga Vettri Kazhagam,1
L. SAMBATH,Dravida Munnetra Kazhagam,1
MAGESHWARI,Desa Makkal Munnetrak Kazhagam,1
MALLADI KRISHNA RAO,All India N.R. Congress,1
MALLADI UDAYA LAKSHMI,Independent,1
MANGAYARARASI,Pattali Makkal Katchi,1
M. ARUL MURUGAN,Bharatiya Janata Party,1
M. CANDASSAMY,Indian National Congress,1
M.C. SAMIR @ AHAMED ALFASY,Independent,1
M. DATCHANAMURTHY,Communist Party of India (Marxist),1
MELLAM SRINIVASA RAO,Independent,1
M. FARITHA BEGUM,Naam Tamilar Katchi,1
M.GANAPATHY,Independent,1
M. GOPI,Independent,1
M. KRISHNAMURTHY,Independent,1
M.K. SATHIA MANIKKAVASAGANE,Tamilaga Vettri Kazhagam,1
M. LAVANYA,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
M. MALA,Naam Tamilar Katchi,1
M. MOHAN RAJ,Independent,1
M. MUGILAN,Independent,1
M. NAGATHIYAGARAJAN (NTR),Dravida Munnetra Kazhagam,1
M.NANDAGOPAL,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
MOHAMED SAMEEL,Indian Union Muslim League,1
M.O.H.F. SHAHJAHAN,Indian National Congress,1
M. PRABAGARAN,Independent,1
M.P. SIMON RAJ,Independent,1
M. RAMATCHANDIRANE,Independent,1
M.S. ELANGOVAN,Naam Tamilar Katchi,1
M. SIVASANKAR,Indian National Congress,1
M. SUBRAMANI,Naam Tamilar Katchi,1
