constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
RAJ BHAVAN,U0714,7017,Dravida Munnetra Kazhagam,7304,287
KALAPET,U0712,11622,Dravida Munnetra Kazhagam,12069,447
MANAVELY,U0720,10729,Tamilaga Vettri Kazhagam,13822,3093
OUSSUDU,U073,11382,Indian National Congress,15400,4018
