candidate,constituency,constituency_code,party,result
N. RANGASAMY,MANGALAM,U074,All India N.R. Congress,WON
N. RANGASAMY,THATTANCHAVADY,U079,All India N.R. Congress,WON
RAMESH,MAHE,U0729,Independent,LOST
RAMESH,KADIRGAMAM,U077,Independent,LOST
