STATE,CANDIDATE,PARTY,CONSTITUENCY,RUNNER_UP_VOTE_PERCENTAGE
"JAMMU & KASHMIR","SAJJAD AHMED KICHLOO","Jammu & Kashmir National Conference",KISHTWAR,47.14
"JAMMU & KASHMIR","RAMAN BHALLA","Indian National Congress","R. S. PURA- JAMMU SOUTH",47
"JAMMU & KASHMIR","POOJA THAKUR","Jammu & Kashmir National Conference",PADDER,45.83
"JAMMU & KASHMIR","PARDEEP KUMAR","Indian National Congress","DODA WEST",44.91
"JAMMU & KASHMIR","SYED JAMAT ALI SHAH","Jammu & Kashmir Peoples Democratic Party",KANGAN,43.37
"JAMMU & KASHMIR","VIBOD KUMAR","Bharatiya Janata Party",RAJOURI,42.85
"JAMMU & KASHMIR","RAVINDER RAINA","Bharatiya Janata Party",NOWSHERA,42.09
"JAMMU & KASHMIR","RAKESH KUMAR","Indian National Congress",HIRANAGAR,41.92
"JAMMU & KASHMIR","IMRAN RAZA ANSARI","Jammu & Kashmir People Conference",PATTAN,41.68
"JAMMU & KASHMIR","SANDEEP MAJOTRA","Bahujan Samaj Party",KATHUA,40.64
"JAMMU & KASHMIR","FAQEER MOHAMMAD KHAN","Bharatiya Janata Party",GUREZ,40.34
"JAMMU & KASHMIR","NEERAJ KUNDAN","Indian National Congress",BISHNAH,39.96
"JAMMU & KASHMIR","TARANJIT SINGH TONY","Indian National Congress",BAHU,39.92
"JAMMU & KASHMIR","CHOWDRY MOHAMMAD RAMZAN","Jammu & Kashmir National Conference",HANDWARA,39.88
"JAMMU & KASHMIR","PAWAN KHAJURIA",Independent,"UDHAMPUR EAST",38.67
"JAMMU & KASHMIR","JEWAN LAL","Bharatiya Janata Party",BANI,38.67
"JAMMU & KASHMIR","HARSH DEV SINGH","J&K National Panthers Party (India)",CHENANI,38.06
"JAMMU & KASHMIR","ILTIJA MEHBOOBA MUFTI","Jammu & Kashmir Peoples Democratic Party",SRIGUFWARA,37.89
"JAMMU & KASHMIR","SHEIKH MEHBOOB IQBAL","Jammu & Kashmir National Conference",BHADARWAH,37.2
"JAMMU & KASHMIR","JUGAL KISHORE",Independent,"SHRI MATA VAISHNO DEVI",35.58
"JAMMU & KASHMIR","ASHRI DEVI","J&K National Panthers Party (India)",RAMNAGAR,35.44
"JAMMU & KASHMIR","YOGESH SAWHNEY","Indian National Congress","JAMMU EAST",35.32
"JAMMU & KASHMIR","GHULAM HASSAN MIR","Jammu and Kashmir Apni Party",GULMARG,34.86
"JAMMU & KASHMIR","SAYAR AHMAD RESHI",Independent,KULGAM,34.4
"JAMMU & KASHMIR","TAJ MOHI UD DIN",Independent,URI,34.16
"JAMMU & KASHMIR","CHOWDHARY ZULFKAR ALI","Bharatiya Janata Party",BUDHAL,33.84
"JAMMU & KASHMIR","AIJAZ AHMAD KHAN",Independent,GULABGARH,33.69
"JAMMU & KASHMIR","MANOHAR LAL SHARMA","Indian National Congress",BILLAWAR,33.56
"JAMMU & KASHMIR","MUMTAZ AHMED","Indian National Congress",REASI,33.37
"JAMMU & KASHMIR","BHUSAN LAL","Indian National Congress",SUCHETGARH,33.19
"JAMMU & KASHMIR","BRIJESHWAR SINGH",Independent,JASROTA,33.05
"JAMMU & KASHMIR","GHULAM NABI LONE","Jammu & Kashmir Peoples Democratic Party","CHRAR-I- SHARIEF",32.98
"JAMMU & KASHMIR","MOHAMMAD KHALIL BAND","Jammu & Kashmir National Conference",PULWAMA,32.81
"JAMMU & KASHMIR","ASHOK KUMAR","Indian National Congress",AKHNOOR,32.81
"JAMMU & KASHMIR","CH. LAL SINGH","Indian National Congress",BASOHLI,32.49
"JAMMU & KASHMIR","HAKEEM MOHAMMAD  YASEEN SHAH","Jammu And Kashmir Peoples Democratic Front (Secular)",KHANSAHIB,31.63
"JAMMU & KASHMIR","SYED MOHAMMAD ALTAF BUKHARI","Jammu and Kashmir Apni Party",CHANNAPORA,31.57
"JAMMU & KASHMIR","IRFAN SULTAN PANDITHPURI","Jammu & Kashmir People Conference",LANGATE,31.23
"JAMMU & KASHMIR","RAJEEV SHARMA","Bharatiya Janata Party",CHHAMB,31.12
"JAMMU & KASHMIR","YASH PAUL KUNDAL","Indian National Congress",RAMGARH,31.02
"JAMMU & KASHMIR","MANMOHAN SINGH","Indian National Congress","JAMMU WEST",30.6
"JAMMU & KASHMIR","YASHU VARDHAN SINGH","Jammu & Kashmir National Conference",KALAKOTE,29.9
"JAMMU & KASHMIR","IMTIAZ AHMED SHAN","Jammu & Kashmir Peoples Democratic Party",BANIHAL,29.66
"JAMMU & KASHMIR","BASHIR AHMAD MIR","Jammu & Kashmir Peoples Democratic Party",GANDERBAL,29.65
"JAMMU & KASHMIR","MOHMAD YASEEN BHAT","Jammu & Kashmir Peoples Democratic Party",CHADOORA,29.36
"JAMMU & KASHMIR","MOHD SHAHNAWAZ","Indian National Congress",SURANKOTE,29.18
"JAMMU & KASHMIR","SUMEET MAGOTRA","Indian National Congress","UDHAMPUR WEST",29.15
"JAMMU & KASHMIR","NASIR ASLAM WANI","Jammu & Kashmir National Conference",KUPWARA,28.97
"JAMMU & KASHMIR","MOHD IQBAL MALIK","Bharatiya Janata Party",THANNAMANDI,28.96
"JAMMU & KASHMIR","SURAJ SINGH PARIHAR",Independent,RAMBAN,28.05
"JAMMU & KASHMIR","GULZAR AHMAD DAR","Jammu & Kashmir Peoples Democratic Party","D. H. PORA",27.98
"JAMMU & KASHMIR","YAWAR AHMAD MIR","Jammu and Kashmir Apni Party",RAFIABAD,27.5
"JAMMU & KASHMIR","ABDUL REHMAN BHAT","Jammu & Kashmir Peoples Democratic Party",SHANGUS,27.27
"JAMMU & KASHMIR","ZAHOOR AHMAD MIR","Jammu & Kashmir Peoples Democratic Party",PAMPORE,27.14
"JAMMU & KASHMIR","BASHIR AHMAD DAR","Jammu & Kashmir People Conference",TREHGAM,26.95
"JAMMU & KASHMIR","AJAY KUMAR SADHOTRA","Jammu & Kashmir National Conference","JAMMU NORTH",26.77
"JAMMU & KASHMIR","MOHAMMAD SARTAJ MADNI","Jammu & Kashmir Peoples Democratic Party",DEVSAR,26.63
"JAMMU & KASHMIR","AGA SYED MUNTAZIR MEHDI","Jammu & Kashmir Peoples Democratic Party",BUDGAM,26.53
"JAMMU & KASHMIR","USMAN ABDUL MAJID",Independent,BANDIPORA,26.35
"JAMMU & KASHMIR","GHULAM NABI BHAT",Independent,EIDGAH,26.19
"JAMMU & KASHMIR","GAJAY SINGH RANA","Bharatiya Janata Party",DODA,25.61
"JAMMU & KASHMIR","MULA RAM","Indian National Congress",MARH,25.28
"JAMMU & KASHMIR","GHULAM MOHD SAROORI",Independent,INDERWAL,25.16
"JAMMU & KASHMIR","RAFI AHMED MIR","Jammu and Kashmir Apni Party",PAHALGAM,24.83
"JAMMU & KASHMIR","AIJAZ AHMAD MIR",Independent,ZAINAPORA,24.67
"JAMMU & KASHMIR","NAZIR AHMAD KHAN",Independent,BEERWAH,24.09
"JAMMU & KASHMIR","JOGINDER SINGH","Jammu & Kashmir National Conference",NAGROTA,23.81
"JAMMU & KASHMIR","ABDUL GAFFAR SOFI","Jammu & Kashmir Peoples Democratic Party","ANANTNAG WEST",23.74
"JAMMU & KASHMIR","SURINDER SINGH","Indian National Congress",TRAL,23.63
"JAMMU & KASHMIR","ASIEA NAQASH","Jammu & Kashmir Peoples Democratic Party",HAZRATBAL,23.44
"JAMMU & KASHMIR","RAJESH KUMAR PARGOTRA","Jammu & Kashmir National Conference",VIJAYPUR,22.12
"JAMMU & KASHMIR","SHEIKH MOHAMMAD RAFI","Jammu & Kashmir National Conference",SHOPIAN,21.71
"JAMMU & KASHMIR","CHOUDHARY ABDUL GHANI","Bharatiya Janata Party","POONCH HAVELI",21.39
"JAMMU & KASHMIR","SYED BASHIR AHMAD","Jammu & Kashmir Peoples Democratic Party",RAJPORA,21.16
"JAMMU & KASHMIR","SHEIKH IMRAN",Independent,KHANYAR,20.93
"JAMMU & KASHMIR","YASIR RESHI",Independent,SONAWARI,20.91
"JAMMU & KASHMIR","MURTAZA AHMED KHAN","Bharatiya Janata Party",MENDHAR,20.87
"JAMMU & KASHMIR","SYED BASHARAT AHMED BUKHARI","Jammu & Kashmir Peoples Democratic Party",WAGOORA,20.77
"JAMMU & KASHMIR","HAROON RASHID KHATANA","Jammu & Kashmir Peoples Democratic Party",KOKERNAG,20.51
