CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTES
"MUZAFFAR IQBAL KHAN",Independent,THANNAMANDI,"JAMMU & KASHMIR",32645
"HARSH DEV SINGH","J&K National Panthers Party (India)",CHENANI,"JAMMU & KASHMIR",32379
"JAVED AHMED RANA","Jammu & Kashmir National Conference",MENDHAR,"JAMMU & KASHMIR",32176
"SHEIKH MEHBOOB IQBAL","Jammu & Kashmir National Conference",BHADARWAH,"JAMMU & KASHMIR",31998
"ALI MOHAMMAD DAR","Jammu & Kashmir National Conference",CHADOORA,"JAMMU & KASHMIR",31991
"DARSHAN KUMAR","Bharatiya Janata Party",BASOHLI,"JAMMU & KASHMIR",31874
"HILAL AKBAR LONE","Jammu & Kashmir National Conference",SONAWARI,"JAMMU & KASHMIR",31535
"PAWAN KHAJURIA",Independent,"UDHAMPUR EAST","JAMMU & KASHMIR",30647
"KHURSHIED AHMED","Jammu & Kashmir National Conference",GULABGARH,"JAMMU & KASHMIR",30591
"PARDEEP KUMAR","Indian National Congress","DODA WEST","JAMMU & KASHMIR",30511
"REYAZ AHMAD KHAN","Jammu & Kashmir National Conference",SHANGUS,"JAMMU & KASHMIR",30345
"JAVAID RIYAZ","Jammu & Kashmir National Conference",PATTAN,"JAMMU & KASHMIR",29893
"SAJAD GANI LONE","Jammu & Kashmir People Conference",HANDWARA,"JAMMU & KASHMIR",29812
"IMRAN RAZA ANSARI","Jammu & Kashmir People Conference",PATTAN,"JAMMU & KASHMIR",29290
"CHOWDRY MOHAMMAD RAMZAN","Jammu & Kashmir National Conference",HANDWARA,"JAMMU & KASHMIR",29150
"TARANJIT SINGH TONY","Indian National Congress",BAHU,"JAMMU & KASHMIR",29134
"SHAGUN PARIHAR","Bharatiya Janata Party",KISHTWAR,"JAMMU & KASHMIR",29053
"IFTKAR AHMED","Indian National Congress",RAJOURI,"JAMMU & KASHMIR",28923
"MIAN MEHAR ALI","Jammu & Kashmir National Conference",KANGAN,"JAMMU & KASHMIR",28907
"JAVID AHMAD DAR","Jammu & Kashmir National Conference",RAFIABAD,"JAMMU & KASHMIR",28783
"SAJJAD AHMED KICHLOO","Jammu & Kashmir National Conference",KISHTWAR,"JAMMU & KASHMIR",28532
"ARJUN SINGH RAJU","Jammu & Kashmir National Conference",RAMBAN,"JAMMU & KASHMIR",28425
"SHOWKAT HUSSAIN GANIE","Jammu & Kashmir National Conference",ZAINAPORA,"JAMMU & KASHMIR",28251
"BHUSAN LAL","Indian National Congress",SUCHETGARH,"JAMMU & KASHMIR",28161
"RAKESH KUMAR","Indian National Congress",HIRANAGAR,"JAMMU & KASHMIR",28127
"MIR MOHAMMAD FAYAZ","Jammu & Kashmir Peoples Democratic Party",KUPWARA,"JAMMU & KASHMIR",27773
"VIBOD KUMAR","Bharatiya Janata Party",RAJOURI,"JAMMU & KASHMIR",27519
"RAVINDER RAINA","Bharatiya Janata Party",NOWSHERA,"JAMMU & KASHMIR",27250
"RAJEEV SHARMA","Bharatiya Janata Party",CHHAMB,"JAMMU & KASHMIR",27056
"IMTIAZ AHMED SHAN","Jammu & Kashmir Peoples Democratic Party",BANIHAL,"JAMMU & KASHMIR",27018
"PIRZADA FAROOQ AHMED SHAH","Jammu & Kashmir National Conference",GULMARG,"JAMMU & KASHMIR",26984
"IRSHAD RASOOL KAR","Jammu & Kashmir National Conference",SOPORE,"JAMMU & KASHMIR",26975
"MOHD IQBAL MALIK","Bharatiya Janata Party",THANNAMANDI,"JAMMU & KASHMIR",26466
"SUMEET MAGOTRA","Indian National Congress","UDHAMPUR WEST","JAMMU & KASHMIR",26412
"ALTAF AHMAD WANI","Jammu & Kashmir National Conference",PAHALGAM,"JAMMU & KASHMIR",26210
"KHURSHEED AHMAD SHIEKH",Independent,LANGATE,"JAMMU & KASHMIR",25984
"SAYAR AHMAD RESHI",Independent,KULGAM,"JAMMU & KASHMIR",25796
"GHULAM MOHI UDDIN MIR","Jammu & Kashmir National Conference",RAJPORA,"JAMMU & KASHMIR",25627
"MOHD SHAHNAWAZ","Indian National Congress",SURANKOTE,"JAMMU & KASHMIR",25350
"ASHOK KUMAR","Indian National Congress",AKHNOOR,"JAMMU & KASHMIR",25248
"ASHRI DEVI","J&K National Panthers Party (India)",RAMNAGAR,"JAMMU & KASHMIR",25244
"TAJ MOHI UD DIN",Independent,URI,"JAMMU & KASHMIR",25244
"ABDUL MAJEED BHAT","Jammu & Kashmir National Conference","ANANTNAG WEST","JAMMU & KASHMIR",25135
"SYED JAMAT ALI SHAH","Jammu & Kashmir Peoples Democratic Party",KANGAN,"JAMMU & KASHMIR",25088
"WAHEED UR REHMAN PARA","Jammu & Kashmir Peoples Democratic Party",PULWAMA,"JAMMU & KASHMIR",24716
"YOGESH SAWHNEY","Indian National Congress","JAMMU EAST","JAMMU & KASHMIR",24475
"GHULAM NABI LONE","Jammu & Kashmir Peoples Democratic Party","CHRAR-I- SHARIEF","JAMMU & KASHMIR",24461
"IRFAN SULTAN PANDITHPURI","Jammu & Kashmir People Conference",LANGATE,"JAMMU & KASHMIR",24382
"AIJAZ AHMAD KHAN",Independent,GULABGARH,"JAMMU & KASHMIR",24064
"MUSHTAQ AHMED SHAH BUKHARI","Bharatiya Janata Party",SURANKOTE,"JAMMU & KASHMIR",23773
"ILTIJA MEHBOOBA MUFTI","Jammu & Kashmir Peoples Democratic Party",SRIGUFWARA,"JAMMU & KASHMIR",23529
"MANOHAR LAL SHARMA","Indian National Congress",BILLAWAR,"JAMMU & KASHMIR",23261
"MEHRAJ MALIK","Aam Aadmi Party",DODA,"JAMMU & KASHMIR",23228
"CHOWDHARY ZULFKAR ALI","Bharatiya Janata Party",BUDHAL,"JAMMU & KASHMIR",23135
"GHULAM HASSAN MIR","Jammu and Kashmir Apni Party",GULMARG,"JAMMU & KASHMIR",22793
"JAVID HASSAN BAIG","Jammu & Kashmir National Conference",BARAMULLA,"JAMMU & KASHMIR",22523
"TANVIR SADIQ","Jammu & Kashmir National Conference",ZADIBAL,"JAMMU & KASHMIR",22189
"BASHIR AHMAD MIR","Jammu & Kashmir Peoples Democratic Party",GANDERBAL,"JAMMU & KASHMIR",22153
"QAMAR HUSSAIN","Jammu & Kashmir Peoples Democratic Party",THANNAMANDI,"JAMMU & KASHMIR",21986
"BRIJESHWAR SINGH",Independent,JASROTA,"JAMMU & KASHMIR",21737
"HAKEEM MOHAMMAD  YASEEN SHAH","Jammu And Kashmir Peoples Democratic Front (Secular)",KHANSAHIB,"JAMMU & KASHMIR",21611
"YASH PAUL KUNDAL","Indian National Congress",RAMGARH,"JAMMU & KASHMIR",21470
"CHOUDHARY ABDUL GHANI","Bharatiya Janata Party","POONCH HAVELI","JAMMU & KASHMIR",20928
"MUMTAZ AHMED","Indian National Congress",REASI,"JAMMU & KASHMIR",20832
"YASHU VARDHAN SINGH","Jammu & Kashmir National Conference",KALAKOTE,"JAMMU & KASHMIR",20601
"VIKAR RASOOL WANI","Indian National Congress",BANIHAL,"JAMMU & KASHMIR",20458
"NIZAM UDDIN BHAT","Indian National Congress",BANDIPORA,"JAMMU & KASHMIR",20391
"SHAFI AHMAD WANI","Jammu & Kashmir National Conference",BEERWAH,"JAMMU & KASHMIR",20118
"AJAY KUMAR SADHOTRA","Jammu & Kashmir National Conference","JAMMU NORTH","JAMMU & KASHMIR",19856
"MANMOHAN SINGH","Indian National Congress","JAMMU WEST","JAMMU & KASHMIR",19836
"QAYSAR JAMSHAID LONE","Jammu & Kashmir National Conference",LOLAB,"JAMMU & KASHMIR",19603
"YAWAR AHMAD MIR","Jammu and Kashmir Apni Party",RAFIABAD,"JAMMU & KASHMIR",19581
"USMAN ABDUL MAJID",Independent,BANDIPORA,"JAMMU & KASHMIR",19580
"MULA RAM","Indian National Congress",MARH,"JAMMU & KASHMIR",19477
"SURAJ SINGH PARIHAR",Independent,RAMBAN,"JAMMU & KASHMIR",19412
"GULZAR AHMAD DAR","Jammu & Kashmir Peoples Democratic Party","D. H. PORA","JAMMU & KASHMIR",19174
"TARIQ HAMEED KARRA","Indian National Congress","CENTRAL SHALTENG","JAMMU & KASHMIR",18933
"SALMAN SAGAR","Jammu & Kashmir National Conference",HAZRATBAL,"JAMMU & KASHMIR",18890
"GAJAY SINGH RANA","Bharatiya Janata Party",DODA,"JAMMU & KASHMIR",18690
"DR RAMESHWAR SINGH",Independent,BANI,"JAMMU & KASHMIR",18672
"PEERZADA FEROZE AHAMAD","Jammu & Kashmir National Conference",DEVSAR,"JAMMU & KASHMIR",18230
"BALDEV RAJ SHARMA","Bharatiya Janata Party","SHRI MATA VAISHNO DEVI","JAMMU & KASHMIR",18199
"SAIFULLAH MIR","Jammu & Kashmir National Conference",TREHGAM,"JAMMU & KASHMIR",18002
"NASIR ASLAM WANI","Jammu & Kashmir National Conference",KUPWARA,"JAMMU & KASHMIR",17976
"ZAFAR ALI KHATANA","Jammu & Kashmir National Conference",KOKERNAG,"JAMMU & KASHMIR",17949
"YASIR RESHI",Independent,SONAWARI,"JAMMU & KASHMIR",17791
"JOGINDER SINGH","Jammu & Kashmir National Conference",NAGROTA,"JAMMU & KASHMIR",17641
"IMTIYAZ AHMAD PARRAY","Jammu and Kashmir Apni Party",SONAWARI,"JAMMU & KASHMIR",17608
"AGA SYED MUNTAZIR MEHDI","Jammu & Kashmir Peoples Democratic Party",BUDGAM,"JAMMU & KASHMIR",17525
"RAKESH SINGH THAKUR","Bharatiya Janata Party",RAMBAN,"JAMMU & KASHMIR",17511
"MOHAMMAD SARTAJ MADNI","Jammu & Kashmir Peoples Democratic Party",DEVSAR,"JAMMU & KASHMIR",17390
"MURTAZA AHMED KHAN","Bharatiya Janata Party",MENDHAR,"JAMMU & KASHMIR",17270
"SUNIL KUMAR SHARMA","Bharatiya Janata Party",PADDER,"JAMMU & KASHMIR",17036
"IRFAN HAFIZ LONE","Indian National Congress",WAGOORA,"JAMMU & KASHMIR",17002
"SHEIKH AHSAN AHMED","Jammu & Kashmir National Conference","LAL CHOWK","JAMMU & KASHMIR",16731
"JEWAN LAL","Bharatiya Janata Party",BANI,"JAMMU & KASHMIR",16624
"MOHAMMAD KHALIL BAND","Jammu & Kashmir National Conference",PULWAMA,"JAMMU & KASHMIR",16568
"TARA CHAND","Indian National Congress",CHHAMB,"JAMMU & KASHMIR",16449
"JUGAL KISHORE",Independent,"SHRI MATA VAISHNO DEVI","JAMMU & KASHMIR",16204
"NAZIR AHMAD KHAN",Independent,BEERWAH,"JAMMU & KASHMIR",15957
"CH. LAL SINGH","Indian National Congress",BASOHLI,"JAMMU & KASHMIR",15840
"ABDUL REHMAN BHAT","Jammu & Kashmir Peoples Democratic Party",SHANGUS,"JAMMU & KASHMIR",15813
"POOJA THAKUR","Jammu & Kashmir National Conference",PADDER,"JAMMU & KASHMIR",15490
"HASNAIN MASOODI","Jammu & Kashmir National Conference",PAMPORE,"JAMMU & KASHMIR",15088
"AIJAZ AHMAD MIR",Independent,ZAINAPORA,"JAMMU & KASHMIR",15018
"ALI MOHAMMAD SAGAR","Jammu & Kashmir National Conference",KHANYAR,"JAMMU & KASHMIR",14906
"MOHMAD YASEEN BHAT","Jammu & Kashmir Peoples Democratic Party",CHADOORA,"JAMMU & KASHMIR",14773
"ABDUL GAFFAR SOFI","Jammu & Kashmir Peoples Democratic Party","ANANTNAG WEST","JAMMU & KASHMIR",14700
"MOHAMMAD ASHRAF MALIK","Jammu & Kashmir Peoples Democratic Party",DOORU,"JAMMU & KASHMIR",14542
"BASHIR AHMAD DAR","Jammu & Kashmir People Conference",TREHGAM,"JAMMU & KASHMIR",14376
"JAVAID AHMAD MIRCHAL","Jammu & Kashmir National Conference",KARNAH,"JAMMU & KASHMIR",14294
"PAYARE LAL SHARMA",Independent,INDERWAL,"JAMMU & KASHMIR",14195
"SHABIR AHMAD KULLAY",Independent,SHOPIAN,"JAMMU & KASHMIR",14113
"RAJESH KUMAR PARGOTRA","Jammu & Kashmir National Conference",VIJAYPUR,"JAMMU & KASHMIR",13819
"MOHD ASHFAQ",Independent,MENDHAR,"JAMMU & KASHMIR",13750
"MUSHTAQ GUROO","Jammu & Kashmir National Conference",CHANNAPORA,"JAMMU & KASHMIR",13717
"GHULAM MOHD SAROORI",Independent,INDERWAL,"JAMMU & KASHMIR",13552
"KHALID NAJIB SUHARWARDY","Jammu & Kashmir National Conference",DODA,"JAMMU & KASHMIR",13334
"MANJIT SINGH","Jammu and Kashmir Apni Party",VIJAYPUR,"JAMMU & KASHMIR",13161
"SHEIKH MOHAMMAD RAFI","Jammu & Kashmir National Conference",SHOPIAN,"JAMMU & KASHMIR",12906
"RAVINDER SINGH",Independent,SAMBA,"JAMMU & KASHMIR",12873
"MOHAN LAL KAITH",Independent,MARH,"JAMMU & KASHMIR",12868
"JASVIR SINGH",Independent,"UDHAMPUR WEST","JAMMU & KASHMIR",12556
"MOHD ZAFARULLAH","Indian National Congress",INDERWAL,"JAMMU & KASHMIR",12533
"RAFI AHMED MIR","Jammu and Kashmir Apni Party",PAHALGAM,"JAMMU & KASHMIR",12454
"SHAMIM FIRDOUS","Jammu & Kashmir National Conference",HABBAKADAL,"JAMMU & KASHMIR",12437
"ZAHOOR AHMAD MIR","Jammu & Kashmir Peoples Democratic Party",PAMPORE,"JAMMU & KASHMIR",12325
"SARJAN AHMAD WAGAY",Independent,BEERWAH,"JAMMU & KASHMIR",12282
"MOHD AKRAM","Bharatiya Janata Party",GULABGARH,"JAMMU & KASHMIR",12215
"HAROON RASHID KHATANA","Jammu & Kashmir Peoples Democratic Party",KOKERNAG,"JAMMU & KASHMIR",11787
"DAWOOD BASHIR BHAT",Independent,LOLAB,"JAMMU & KASHMIR",11732
"SYED BASHIR AHMAD","Jammu & Kashmir Peoples Democratic Party",RAJPORA,"JAMMU & KASHMIR",11314
"SHOAIB NABI LONE",Independent,BARAMULLA,"JAMMU & KASHMIR",10750
"RAFIQ AHMAD NAIK","Jammu & Kashmir Peoples Democratic Party",TRAL,"JAMMU & KASHMIR",10710
"SHAZAD AHMED MALIK",Independent,MENDHAR,"JAMMU & KASHMIR",10675
"WAQAR UL HAQ KHAN","Jammu & Kashmir Peoples Democratic Party",LOLAB,"JAMMU & KASHMIR",10508
"RAJA ABDUL WAHEED",Independent,SHOPIAN,"JAMMU & KASHMIR",10440
"SAHIL BHARTI","Jammu and Kashmir Apni Party",RAMGARH,"JAMMU & KASHMIR",10426
"SURINDER SINGH","Indian National Congress",TRAL,"JAMMU & KASHMIR",10250
"ABDUL MAJID WANI","Democratic Progressive Azad Party",DODA,"JAMMU & KASHMIR",10027
"GHULAM NABI BHAT",Independent,TRAL,"JAMMU & KASHMIR",9778
