CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTES
"MUDASIR AKBAR SHAH","Jammu & Kashmir People Conference",LOLAB,"JAMMU & KASHMIR",4095
"MOHD ARIF DAR",Independent,"D. H. PORA","JAMMU & KASHMIR",4054
"MIAN MOHD MEHFOOZ",Independent,RAJOURI,"JAMMU & KASHMIR",4052
"MANSOOR HUSSAIN SOHARVARDI",Independent,ANANTNAG,"JAMMU & KASHMIR",4047
"GOURI SHANKER","Democratic Progressive Azad Party",BANI,"JAMMU & KASHMIR",4001
"FAROOQ AHMAD GANAIE",Independent,BEERWAH,"JAMMU & KASHMIR",3970
"DR NOOR UD DIN AHMAD SHAH","Jammu and Kashmir Apni Party",TREHGAM,"JAMMU & KASHMIR",3828
"QAISER SULTAN GANAIE","Democratic Progressive Azad Party",GANDERBAL,"JAMMU & KASHMIR",3781
"MOHAMMAD TAHIR QADRI","Jammu & Kashmir Peoples Democratic Party",SONAWARI,"JAMMU & KASHMIR",3773
"SOFI YOUSIF","Bharatiya Janata Party",SRIGUFWARA,"JAMMU & KASHMIR",3716
"KRISHAN DEV SINGH","Indian National Congress",SAMBA,"JAMMU & KASHMIR",3628
"KALIMULLAH LONE",Independent,LANGATE,"JAMMU & KASHMIR",3535
"MOHAMMAD AFZAL WANI","Jammu & Kashmir Peoples Democratic Party",TREHGAM,"JAMMU & KASHMIR",3495
"ABDUL MAJEED SHEIKH",Independent,SONAWARI,"JAMMU & KASHMIR",3422
"NISAR AHMAD PAL","Jammu And Kashmir Peoples Democratic Front (Secular)",BUDGAM,"JAMMU & KASHMIR",3365
"MEHRAJ UD DIN GANAYEE",Independent,BUDGAM,"JAMMU & KASHMIR",3358
"MANZOOR AHMAD WANI","Jammu & Kashmir Peoples Democratic Party",KHANSAHIB,"JAMMU & KASHMIR",3334
"MUNIR AHMAD",Independent,URI,"JAMMU & KASHMIR",3316
"MOHD AKBAR RATHER",Independent,PATTAN,"JAMMU & KASHMIR",3316
"MOHAMMAD KHURSHID ALAM","Jammu & Kashmir Peoples Democratic Party",EIDGAH,"JAMMU & KASHMIR",3302
"RAMAN KUMAR","Bahujan Samaj Party",JASROTA,"JAMMU & KASHMIR",3302
"AIJAZ HUSSAIN RATHER","Bharatiya Janata Party","LAL CHOWK","JAMMU & KASHMIR",3281
"MOHD ALTAF BHAT",Independent,RAJPORA,"JAMMU & KASHMIR",3273
"BALBIR SINGH","Indian National Congress",JASROTA,"JAMMU & KASHMIR",3219
"SHABIR AHMAD LONE","Jammu and Kashmir Apni Party",BARAMULLA,"JAMMU & KASHMIR",3183
"MOHD RAFIQ RATHER","Jammu & Kashmir Peoples Democratic Party",BARAMULLA,"JAMMU & KASHMIR",3177
"OVAIS MUSHTAQ","Jammu and Kashmir Apni Party",SHOPIAN,"JAMMU & KASHMIR",3076
"DR ISHFAQ AHMED CHODHARY",Independent,KOKERNAG,"JAMMU & KASHMIR",3007
"MUNEER AHMAD MIR","Democratic Progressive Azad Party",LOLAB,"JAMMU & KASHMIR",2998
"ABDUL MAJEED PADDER","Jammu and Kashmir Apni Party","D. H. PORA","JAMMU & KASHMIR",2974
"MOHD IDREES","Bharatiya Janata Party",KARNAH,"JAMMU & KASHMIR",2973
"FAYAZ AHMAD",Independent,KARNAH,"JAMMU & KASHMIR",2925
"BALKEES AKHTER",Independent,BANDIPORA,"JAMMU & KASHMIR",2920
"ASHOK KUMAR BHAT","Bharatiya Janata Party",HABBAKADAL,"JAMMU & KASHMIR",2899
"MOHAMAD SALEEM PARAY","Democratic Progressive Azad Party",DOORU,"JAMMU & KASHMIR",2877
"AAQIB MUSHTAQ GANIE",Independent,"ANANTNAG WEST","JAMMU & KASHMIR",2877
"REYAZ AHMAD BHAT","Jammu and Kashmir Apni Party",DEVSAR,"JAMMU & KASHMIR",2855
"MUDDASIR HASSAN","Aam Aadmi Party",RAJPORA,"JAMMU & KASHMIR",2827
"JAVID IQBAL GANAIE","Jammu & Kashmir Peoples Democratic Party",PATTAN,"JAMMU & KASHMIR",2758
"FAROOQ AHMAD BHAT",Independent,GANDERBAL,"JAMMU & KASHMIR",2732
"ABDUL QAYUM BHAT","Jammu & Kashmir Peoples Democratic Party","CENTRAL SHALTENG","JAMMU & KASHMIR",2730
"MOHAMMAD AAQIB DAR","Jammu and Kashmir Apni Party",KULGAM,"JAMMU & KASHMIR",2726
"JUNAID AZIM MATTU",Independent,ZADIBAL,"JAMMU & KASHMIR",2700
NOTA,"None of the Above",DOORU,"JAMMU & KASHMIR",2662
"JAHANGIR AHMAD SHEIKH",Independent,KHANSAHIB,"JAMMU & KASHMIR",2643
"MOHAMMAD AYUB MATOO","Janata Dal  (United)","D. H. PORA","JAMMU & KASHMIR",2620
"RAVINDER SINGH",Independent,BARAMULLA,"JAMMU & KASHMIR",2599
"REHANA BEGUM","Janata Dal  (United)",WAGOORA,"JAMMU & KASHMIR",2587
"SHIV DEV SINGH",Independent,"JAMMU NORTH","JAMMU & KASHMIR",2442
"MOHAMMAD SIKANDAR MALIK",Independent,BANDIPORA,"JAMMU & KASHMIR",2411
NOTA,"None of the Above","D. H. PORA","JAMMU & KASHMIR",2390
"JAVID AHMAD MIR",Independent,TREHGAM,"JAMMU & KASHMIR",2386
NOTA,"None of the Above",KHANSAHIB,"JAMMU & KASHMIR",2364
"MIR ALTAF HUSSAIN","Democratic Progressive Azad Party",ANANTNAG,"JAMMU & KASHMIR",2331
"ABDUL QUYOOM MIR",Independent,PAMPORE,"JAMMU & KASHMIR",2305
"HILAL AHMAD MALIK",Independent,DOORU,"JAMMU & KASHMIR",2292
"AADIL RASHID BHAT",Independent,PAMPORE,"JAMMU & KASHMIR",2237
"SHABIR AHMAD SHAH","Jammu and Kashmir Apni Party",WAGOORA,"JAMMU & KASHMIR",2219
"BASHIR AHMAD WANI","Jammu and Kashmir Apni Party",DOORU,"JAMMU & KASHMIR",2108
"MOHAMMAD LATIEF WANI",Independent,SOPORE,"JAMMU & KASHMIR",2099
NOTA,"None of the Above",ZAINAPORA,"JAMMU & KASHMIR",2082
"SYED MOHAMMAD",Independent,SONAWARI,"JAMMU & KASHMIR",2051
"GAUHAR AZAD MIR","Jammu & Kashmir Peoples Democratic Party",HANDWARA,"JAMMU & KASHMIR",2010
"VIR JI SARAF","Bharatiya Janata Party",SHANGUS,"JAMMU & KASHMIR",1988
"FAIZAN RAHI",Independent,SHANGUS,"JAMMU & KASHMIR",1980
"MS KAJAL","Indian National Congress",BANI,"JAMMU & KASHMIR",1970
"ABDUL REHMAN SHALLA",Independent,BARAMULLA,"JAMMU & KASHMIR",1968
"NISAR AHMAD LONE","Democratic Progressive Azad Party",GUREZ,"JAMMU & KASHMIR",1966
"WASEEM AHMED SHALLA",Independent,KHANYAR,"JAMMU & KASHMIR",1951
"MOHD ASIF BHAT",Independent,ANANTNAG,"JAMMU & KASHMIR",1930
NOTA,"None of the Above",SHANGUS,"JAMMU & KASHMIR",1905
"GUFTAR AHMED","Jammu & Kashmir Peoples Democratic Party",BUDHAL,"JAMMU & KASHMIR",1885
"FAYAZ AHMAD KHANDAY",Independent,"ANANTNAG WEST","JAMMU & KASHMIR",1862
NOTA,"None of the Above",CHENANI,"JAMMU & KASHMIR",1855
"OWAIS ASHRAF SHAH","Jammu and Kashmir Apni Party","CHRAR-I- SHARIEF","JAMMU & KASHMIR",1853
"ABDUL ROUF NAIK",Independent,DEVSAR,"JAMMU & KASHMIR",1852
"TALAT MAJID ALIE",Independent,PULWAMA,"JAMMU & KASHMIR",1833
"SAHEER AHMAD RATHER",Independent,SONAWARI,"JAMMU & KASHMIR",1807
"DR. BASHIR AHMAD CHALKOO","Jammu & Kashmir People Conference",URI,"JAMMU & KASHMIR",1792
"MOHAMMAD ISMAIL BHAT",Independent,BANDIPORA,"JAMMU & KASHMIR",1785
"ZAHID HUSSAIN JAN","Bharatiya Janata Party","CHRAR-I- SHARIEF","JAMMU & KASHMIR",1779
"SYED TAJAMUL ISLAM","Jammu & Kashmir Peoples Democratic Party",BANDIPORA,"JAMMU & KASHMIR",1769
"MANZOOR HUSSAIN SHAH","Jammu and Kashmir Apni Party",RAJOURI,"JAMMU & KASHMIR",1766
"MUDASIR AHMAD BHAT","Jammu & Kashmir People Conference",BANDIPORA,"JAMMU & KASHMIR",1762
NOTA,"None of the Above",BUDGAM,"JAMMU & KASHMIR",1757
"AMRISH JASROTIA",Independent,JASROTA,"JAMMU & KASHMIR",1755
"GHULAM MOHAMMAD MIR","Bharatiya Janata Party",HANDWARA,"JAMMU & KASHMIR",1750
NOTA,"None of the Above",GULABGARH,"JAMMU & KASHMIR",1743
NOTA,"None of the Above",GANDERBAL,"JAMMU & KASHMIR",1713
"SAFINA BAIG",Independent,WAGOORA,"JAMMU & KASHMIR",1699
"GHULAM MUSTAFA KHAN","Samajwadi Party",BANDIPORA,"JAMMU & KASHMIR",1695
"ASHOK KUMAR SHARMA","Democratic Progressive Azad Party",KALAKOTE,"JAMMU & KASHMIR",1695
"MOHD FAROOQ","Jammu & Kashmir Peoples Democratic Party",GULABGARH,"JAMMU & KASHMIR",1688
"IRFAN ALI LONE","Jammu & Kashmir Peoples Democratic Party",SOPORE,"JAMMU & KASHMIR",1687
"MUKHTAR AHMAD DAR",Independent,BUDGAM,"JAMMU & KASHMIR",1674
NOTA,"None of the Above",BEERWAH,"JAMMU & KASHMIR",1647
NOTA,"None of the Above",BANIHAL,"JAMMU & KASHMIR",1631
"BASHIR AHMAD KHARI",Independent,KOKERNAG,"JAMMU & KASHMIR",1628
"NAZIR AHMAD MIR",Independent,RAFIABAD,"JAMMU & KASHMIR",1627
"DR ALI MOHD MIR","Bharatiya Janata Party",KHANSAHIB,"JAMMU & KASHMIR",1605
"SYED ABAS HUSSAIN","Democratic Progressive Azad Party",WAGOORA,"JAMMU & KASHMIR",1602
"SUBASH CHANDER","Jammu & Kashmir National Conference",KATHUA,"JAMMU & KASHMIR",1597
"NAZIR AHMAD WANI",Independent,BUDGAM,"JAMMU & KASHMIR",1583
NOTA,"None of the Above",KANGAN,"JAMMU & KASHMIR",1564
NOTA,"None of the Above",KOKERNAG,"JAMMU & KASHMIR",1561
NOTA,"None of the Above",SHOPIAN,"JAMMU & KASHMIR",1559
NOTA,"None of the Above",SRIGUFWARA,"JAMMU & KASHMIR",1552
"GULL MOHD BHAT","Janata Dal  (United)","ANANTNAG WEST","JAMMU & KASHMIR",1546
"MOHAMMAD ALTAF MIR","Jammu and Kashmir Apni Party",PAMPORE,"JAMMU & KASHMIR",1543
NOTA,"None of the Above",URI,"JAMMU & KASHMIR",1520
"GHULAM MOHAMMAD WAR","Jammu and Kashmir Apni Party",SOPORE,"JAMMU & KASHMIR",1519
"SYED PEERZADA WAJAHAT HUSSAIN","Bharatiya Janata Party",ANANTNAG,"JAMMU & KASHMIR",1508
"MOHD IQBAL AHANGAR",Independent,DOORU,"JAMMU & KASHMIR",1502
NOTA,"None of the Above",PAHALGAM,"JAMMU & KASHMIR",1502
NOTA,"None of the Above",GULMARG,"JAMMU & KASHMIR",1494
"NAZIR AHMAD GILKAR",Independent,HABBAKADAL,"JAMMU & KASHMIR",1475
"SAJAD AHMAD DAR","Democratic Progressive Azad Party",RAFIABAD,"JAMMU & KASHMIR",1456
"MANOHAR SINGH","Bahujan Samaj Party",NOWSHERA,"JAMMU & KASHMIR",1456
"MOHAMMED IQBAL TRUMBOO","Jammu & Kashmir Peoples Democratic Party",CHANNAPORA,"JAMMU & KASHMIR",1450
"MUSHTAQ AHMAD KHAN","Jammu & Kashmir National Panthers Party (Bhim)",SHOPIAN,"JAMMU & KASHMIR",1448
NOTA,"None of the Above",TRAL,"JAMMU & KASHMIR",1445
"MUDASIR AHMAD BHAT",Independent,BANDIPORA,"JAMMU & KASHMIR",1441
NOTA,"None of the Above",DEVSAR,"JAMMU & KASHMIR",1410
"FIRDOUSE AHMED FARASH","Jammu & Kashmir People Conference",KHANSAHIB,"JAMMU & KASHMIR",1407
"ALTAF HUSSAIN MALIK","Jammu & Kashmir Peoples Democratic Party",RAFIABAD,"JAMMU & KASHMIR",1400
NOTA,"None of the Above",KUPWARA,"JAMMU & KASHMIR",1383
"SHEIKH MUNEEB","Jammu & Kashmir Peoples Democratic Party",URI,"JAMMU & KASHMIR",1382
"SHABIR AHMAD MIR",Independent,SONAWARI,"JAMMU & KASHMIR",1382
NOTA,"None of the Above","ANANTNAG WEST","JAMMU & KASHMIR",1382
"GHULAM RASOOL MIR",Independent,BARAMULLA,"JAMMU & KASHMIR",1376
"SUNIL SINGH",Independent,RAMBAN,"JAMMU & KASHMIR",1371
"SHEIKH ZAFARRULAH",Independent,SHANGUS,"JAMMU & KASHMIR",1363
"MANSOOR AHMED BATT","Jammu & Kashmir Peoples Democratic Party",DODA,"JAMMU & KASHMIR",1359
NOTA,"None of the Above",KULGAM,"JAMMU & KASHMIR",1358
"GHULAM HASAN MALIK",Independent,RAJPORA,"JAMMU & KASHMIR",1357
"GHULAM NABI WANI NILOORA","Democratic Progressive Azad Party",RAJPORA,"JAMMU & KASHMIR",1354
NOTA,"None of the Above","CHRAR-I- SHARIEF","JAMMU & KASHMIR",1333
"ASIF AKBER LONE","Jammu & Kashmir People Conference",BARAMULLA,"JAMMU & KASHMIR",1330
"JAVAID IQBAL","Jammu & Kashmir Peoples Democratic Party",SURANKOTE,"JAMMU & KASHMIR",1325
NOTA,"None of the Above",WAGOORA,"JAMMU & KASHMIR",1313
"BALDEV RAJ","Bahujan Samaj Party",SAMBA,"JAMMU & KASHMIR",1309
"JAVED MOHMAD HUBI",Independent,"CHRAR-I- SHARIEF","JAMMU & KASHMIR",1295
NOTA,"None of the Above","UDHAMPUR WEST","JAMMU & KASHMIR",1290
"IRFAN AHMAD MATTOO","Jammu & Kashmir People Conference",EIDGAH,"JAMMU & KASHMIR",1285
"SHAM LAL",Independent,SUCHETGARH,"JAMMU & KASHMIR",1277
NOTA,"None of the Above",CHADOORA,"JAMMU & KASHMIR",1265
NOTA,"None of the Above",HANDWARA,"JAMMU & KASHMIR",1253
NOTA,"None of the Above",RAJPORA,"JAMMU & KASHMIR",1248
"WAZIR AHMAD QURESHI",Independent,SONAWARI,"JAMMU & KASHMIR",1245
"FAYAZ AHMAD SOFI","Aam Aadmi Party",PULWAMA,"JAMMU & KASHMIR",1224
"SUHAIL AHMAD MIR",Independent,SHOPIAN,"JAMMU & KASHMIR",1221
NOTA,"None of the Above",LOLAB,"JAMMU & KASHMIR",1220
"ZAHID MUSHTAQ SHEIKH",Independent,HANDWARA,"JAMMU & KASHMIR",1218
"NASEER AHMAD LONE","Bharatiya Janata Party",BANDIPORA,"JAMMU & KASHMIR",1196
NOTA,"None of the Above",RAFIABAD,"JAMMU & KASHMIR",1193
"MOHD ASIF GANAI",Independent,PAMPORE,"JAMMU & KASHMIR",1185
NOTA,"None of the Above",RAMNAGAR,"JAMMU & KASHMIR",1167
"MAHARAJ KRISHAN YOGI","Jammu and Kashmir Apni Party",SHANGUS,"JAMMU & KASHMIR",1162
"AKASH SINGH SLATHIA",Independent,"JAMMU NORTH","JAMMU & KASHMIR",1161
"QAZI MUBISHER FAROOQ","Jammu and Kashmir Apni Party",GANDERBAL,"JAMMU & KASHMIR",1160
"MOHAMMAD MUNAWAR KHAWAJA","Jammu and Kashmir Apni Party",LANGATE,"JAMMU & KASHMIR",1154
"IRSHAD AHMAD TANTRAY","Jammu & Kashmir Awami National Conference",SOPORE,"JAMMU & KASHMIR",1154
"MOHD SUHAIB BHAT",Independent,ZAINAPORA,"JAMMU & KASHMIR",1152
NOTA,"None of the Above",INDERWAL,"JAMMU & KASHMIR",1145
"BHANU PARTAP SINGH",Independent,SAMBA,"JAMMU & KASHMIR",1140
"KAYSAR AHMAD MIR",Independent,TREHGAM,"JAMMU & KASHMIR",1129
NOTA,"None of the Above",RAMBAN,"JAMMU & KASHMIR",1123
"SOFI MOHAMMAD AKBAR",Independent,PULWAMA,"JAMMU & KASHMIR",1117
"MOHAMMAD SHARIEF SHAH",Independent,KOKERNAG,"JAMMU & KASHMIR",1113
NOTA,"None of the Above",LANGATE,"JAMMU & KASHMIR",1104
NOTA,"None of the Above",PULWAMA,"JAMMU & KASHMIR",1095
"BISHAN DASS","Bahujan Samaj Party",SUCHETGARH,"JAMMU & KASHMIR",1094
NOTA,"None of the Above",THANNAMANDI,"JAMMU & KASHMIR",1094
"NISAR AHMAD MIR",Independent,"CHRAR-I- SHARIEF","JAMMU & KASHMIR",1079
"MUNAZAR AHMED MALIK",Independent,BANIHAL,"JAMMU & KASHMIR",1071
"MEENKASHI BHAGAT","Bahujan Samaj Party",BHADARWAH,"JAMMU & KASHMIR",1066
"DR FAROOZ  AHMAD GANAI",Independent,SOPORE,"JAMMU & KASHMIR",1066
"MOHD AYOUB MIR",Independent,PULWAMA,"JAMMU & KASHMIR",1052
"NASIR HUSSAIN SHEIKH","Jammu & Kashmir Peoples Democratic Party",INDERWAL,"JAMMU & KASHMIR",1044
NOTA,"None of the Above",PATTAN,"JAMMU & KASHMIR",1032
"AB RASHID KHAN","Bharatiya Janata Party",SONAWARI,"JAMMU & KASHMIR",1024
"BALBIR SINGH","Bahujan Samaj Party",HIRANAGAR,"JAMMU & KASHMIR",1015
"ASTKHAR ALI AHMED",Independent,THANNAMANDI,"JAMMU & KASHMIR",1015
"RYDHAM PREET SINGH SUDAN","Jammu & Kashmir People Conference","POONCH HAVELI","JAMMU & KASHMIR",1010
"CHITTAR MANU","Bahujan Samaj Party",AKHNOOR,"JAMMU & KASHMIR",1009
"MOHD YOUSUF GANAIE",Independent,"CHRAR-I- SHARIEF","JAMMU & KASHMIR",999
NOTA,"None of the Above","DODA WEST","JAMMU & KASHMIR",998
"FIRDOOS AHMED TAK","Jammu & Kashmir Peoples Democratic Party",KISHTWAR,"JAMMU & KASHMIR",997
"ZAMAN IRSHAD PARRY",Independent,KULGAM,"JAMMU & KASHMIR",993
"DR MANZOOR AHMAD BHAT","Jammu & Kashmir People Conference",SOPORE,"JAMMU & KASHMIR",987
"NAZIR AHMAD",Independent,LOLAB,"JAMMU & KASHMIR",974
"IMTIYAZ AHMAD PARRA","Jammu & Kashmir People Conference",WAGOORA,"JAMMU & KASHMIR",969
"ABDUL REHMAN WANI","Jammu and Kashmir Apni Party",LOLAB,"JAMMU & KASHMIR",967
NOTA,"None of the Above",PAMPORE,"JAMMU & KASHMIR",966
"ASHIQ AHMAD SHEIKH",Independent,GANDERBAL,"JAMMU & KASHMIR",963
"MOHD YAQOOB MALLA",Independent,SHOPIAN,"JAMMU & KASHMIR",959
"SYED SHOWKAT GAYOOR ANDRABI","Bharatiya Janata Party",PAMPORE,"JAMMU & KASHMIR",957
"IMTIYAZ AHMAD KHAN",Independent,EIDGAH,"JAMMU & KASHMIR",957
"SHEIKH GOWHER ALI","Jammu & Kashmir Peoples Democratic Party",ZADIBAL,"JAMMU & KASHMIR",956
"SHOWKET AHMAD BHAT",Independent,PAHALGAM,"JAMMU & KASHMIR",950
"FAISAL FAYAZ",Independent,CHADOORA,"JAMMU & KASHMIR",942
SHABIR,"Jammu & Kashmir All Alliance Democratic Party",CHENANI,"JAMMU & KASHMIR",941
"SAJAD SUBHAN RATHER",Independent,URI,"JAMMU & KASHMIR",941
"SANJAY PARVA",Independent,BEERWAH,"JAMMU & KASHMIR",927
"JASWINDER SINGH","Aazad Samaj Party (Kanshi Ram)",JASROTA,"JAMMU & KASHMIR",926
"IMTIYAZ AHMAD RATHER",Independent,SHANGUS,"JAMMU & KASHMIR",923
"BILAL AHMAD BHAT",Independent,BANDIPORA,"JAMMU & KASHMIR",921
NOTA,"None of the Above",TREHGAM,"JAMMU & KASHMIR",920
"VARINDER SINGH","Jammu & Kashmir Peoples Democratic Party",BAHU,"JAMMU & KASHMIR",918
"MOHAMMAD OMAR HAFIZ",Independent,ZADIBAL,"JAMMU & KASHMIR",902
"LOVELY MANGOL","Jammu and Kashmir Apni Party",SAMBA,"JAMMU & KASHMIR",901
"GULSHAN AKHTER",Independent,"ANANTNAG WEST","JAMMU & KASHMIR",899
"ZAFFER HABIB DAR","Jammu and Kashmir Apni Party","CENTRAL SHALTENG","JAMMU & KASHMIR",886
"MOHAMMAD SULTAN MAGRAY",Independent,LANGATE,"JAMMU & KASHMIR",876
"MOHD IQBAL SOFI",Independent,PULWAMA,"JAMMU & KASHMIR",871
"PUSHP SHABALYA","Bahujan Samaj Party",BAHU,"JAMMU & KASHMIR",869
NOTA,"None of the Above",BHADARWAH,"JAMMU & KASHMIR",865
"SWARN VEER SINGH JARAL",Independent,"DODA WEST","JAMMU & KASHMIR",857
"AIJAZ AHMAD GANAI",Independent,SOPORE,"JAMMU & KASHMIR",848
"MOHAMMAD WAQAR","Jammu and Kashmir Apni Party",KOKERNAG,"JAMMU & KASHMIR",847
NOTA,"None of the Above","POONCH HAVELI","JAMMU & KASHMIR",847
NOTA,"None of the Above",SONAWARI,"JAMMU & KASHMIR",846
"MOHAMMAD SHAFI KHAN",Independent,BANDIPORA,"JAMMU & KASHMIR",841
"MOHSIN SHAFQAT MIR","Aam Aadmi Party",DOORU,"JAMMU & KASHMIR",839
"NIZAMUDDIN BHAT",Independent,DOORU,"JAMMU & KASHMIR",839
"BASHIR AHMED SHAN",Independent,BANIHAL,"JAMMU & KASHMIR",837
"MUDASIR AHMAD SHAH",Independent,KHANSAHIB,"JAMMU & KASHMIR",834
"SYED GHULAM NABI BUKHARI","Jammu & Kashmir Peoples Democratic Party",LANGATE,"JAMMU & KASHMIR",832
"MOHAMMAD MAQBOOL BEIGH",Independent,HAZRATBAL,"JAMMU & KASHMIR",827
NOTA,"None of the Above",DODA,"JAMMU & KASHMIR",822
NOTA,"None of the Above","CENTRAL SHALTENG","JAMMU & KASHMIR",821
NOTA,"None of the Above",BUDHAL,"JAMMU & KASHMIR",814
"JAVEED AHMAD CHOPAN",Independent,PULWAMA,"JAMMU & KASHMIR",810
HERJEET,"Bahujan Samaj Party",RAMNAGAR,"JAMMU & KASHMIR",809
"JASWANT SINGH",Independent,NAGROTA,"JAMMU & KASHMIR",809
"MIR FANOON RAFIQ",Independent,BEERWAH,"JAMMU & KASHMIR",804
"SOM NATH","Aazad Samaj Party (Kanshi Ram)",MARH,"JAMMU & KASHMIR",802
"PREM PAL",Independent,BISHNAH,"JAMMU & KASHMIR",799
"BILAL AHMAD BHAT",Independent,PAMPORE,"JAMMU & KASHMIR",797
"SANJEEV KUMAR",Independent,"POONCH HAVELI","JAMMU & KASHMIR",794
"SHOWKET HUSSAIN MIR","Jammu & Kashmir Awami National Conference",BEERWAH,"JAMMU & KASHMIR",792
"SHAK MOHD","Bahujan Samaj Party",NAGROTA,"JAMMU & KASHMIR",791
"IMRAN SHEIKH",Independent,BANDIPORA,"JAMMU & KASHMIR",779
"SUDARSHAN SINGH","Jammu & Kashmir National Panthers Party (Bhim)",KULGAM,"JAMMU & KASHMIR",778
NOTA,"None of the Above",AKHNOOR,"JAMMU & KASHMIR",778
"MANOJ KUMAR",Independent,BHADARWAH,"JAMMU & KASHMIR",777
"RAWOOF AHMAD PADDER",Independent,SHANGUS,"JAMMU & KASHMIR",776
"ARSHAD AHMED",Independent,GULABGARH,"JAMMU & KASHMIR",775
"FEROZ AHMAD NAJAR",Independent,SHOPIAN,"JAMMU & KASHMIR",770
"PUSHVINDER SINGH",Independent,TRAL,"JAMMU & KASHMIR",766
"JAVAID AHMAD WANI",Independent,GANDERBAL,"JAMMU & KASHMIR",765
"AMOOD GULZAR",Independent,GULMARG,"JAMMU & KASHMIR",743
"MOHAMMAD MUZAFFAR SHEIKH",Independent,LANGATE,"JAMMU & KASHMIR",742
"SHAKEEL AHMAD DAR",Independent,EIDGAH,"JAMMU & KASHMIR",741
SOMA,Independent,"UDHAMPUR EAST","JAMMU & KASHMIR",740
"GURDEV RAJ","Bahujan Samaj Party","R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",737
"SAJAWAL SHAH","Samajwadi Party",KARNAH,"JAMMU & KASHMIR",735
NOTA,"None of the Above",KATHUA,"JAMMU & KASHMIR",733
NOTA,"None of the Above",HAZRATBAL,"JAMMU & KASHMIR",732
"UMAR HAMID MALLA",Independent,ZAINAPORA,"JAMMU & KASHMIR",731
"TASADIQ HUSSAIN","Jammu & Kashmir Peoples Democratic Party",RAJOURI,"JAMMU & KASHMIR",727
"SALMAN RABBANI",Independent,INDERWAL,"JAMMU & KASHMIR",723
"HILAL AHMAD WANI","Bharatiya Janata Party",CHANNAPORA,"JAMMU & KASHMIR",722
"ATTA MOHAMMAD KHATANA","Jammu and Kashmir Apni Party",KANGAN,"JAMMU & KASHMIR",718
"SYED FAHED ANDRABI","Jammu and Kashmir Apni Party",CHADOORA,"JAMMU & KASHMIR",716
"RAJ SINGH","Shiv Sena (Uddhav Balasaheb Thackeray)",RAMNAGAR,"JAMMU & KASHMIR",714
"IRFAN AHMAD SHAH",Independent,EIDGAH,"JAMMU & KASHMIR",712
"ABDUL RASHID GOJAR","All Jammu & Kashmir Liberal Democratic Party",TRAL,"JAMMU & KASHMIR",709
"SHOWKET AHMED WANI","Jammu & Kashmir People Conference",BEERWAH,"JAMMU & KASHMIR",705
"FAIZ  AHMAD BHAT",Independent,HAZRATBAL,"JAMMU & KASHMIR",703
NOTA,"None of the Above",ZADIBAL,"JAMMU & KASHMIR",695
"QAZI MOHD IRSHAD",Independent,SURANKOTE,"JAMMU & KASHMIR",689
"SAJAD AHMAD DAR",Independent,"D. H. PORA","JAMMU & KASHMIR",685
"KHUSHBOO BHAGAT",Independent,KATHUA,"JAMMU & KASHMIR",680
"BACHAN LAL","Jammu & Kashmir Peoples Democratic Party",VIJAYPUR,"JAMMU & KASHMIR",672
"GAZANFAR ALI",Independent,"CHRAR-I- SHARIEF","JAMMU & KASHMIR",671
"GOURAV CHOPRA","Democratic Progressive Azad Party","JAMMU WEST","JAMMU & KASHMIR",667
"IRFAN ANJUM","Jammu and Kashmir Apni Party",THANNAMANDI,"JAMMU & KASHMIR",666
"TILAK RAJ","Bahujan Samaj Party",BISHNAH,"JAMMU & KASHMIR",660
"MUDASSIR AZMAT","Aam Aadmi Party",BANIHAL,"JAMMU & KASHMIR",654
"PARVAIZ AHMAD HAJAM","Jammu & Kashmir National Panthers Party (Bhim)",PAMPORE,"JAMMU & KASHMIR",653
"TAFAZUL MUSHTAQ","Jammu & Kashmir Peoples Democratic Party",KHANYAR,"JAMMU & KASHMIR",651
"ABDUL AHAD MIR","Aman Aur Shanti Tehreek-E-Jammu & Kashmir",KULGAM,"JAMMU & KASHMIR",646
"DR PREETI KUMARI",Independent,SUCHETGARH,"JAMMU & KASHMIR",644
"MOHAMMAD MUSTAFA LONE","Rashtriya Lok Dal",PATTAN,"JAMMU & KASHMIR",644
NOTA,"None of the Above",ANANTNAG,"JAMMU & KASHMIR",640
"TRANTER SINGH","Jammu & Kashmir National Panthers Party (Bhim)","UDHAMPUR WEST","JAMMU & KASHMIR",637
"SAJAD AHMAD DAR",Independent,KULGAM,"JAMMU & KASHMIR",636
"JAVED HUSSAIN",Independent,BARAMULLA,"JAMMU & KASHMIR",632
"MASHOOQ AHMAD DAR","Garib Democratic Party",ZAINAPORA,"JAMMU & KASHMIR",629
"JATINDER SINGH",Independent,BANI,"JAMMU & KASHMIR",628
"REYAZ MAJID SOFI",Independent,SHANGUS,"JAMMU & KASHMIR",625
"MOHD AYOUB CHOHAN","All Jammu & Kashmir Liberal Democratic Party",KANGAN,"JAMMU & KASHMIR",621
"MAAJID ASHRAF MIR",Independent,GANDERBAL,"JAMMU & KASHMIR",621
"BILAL KHAN",Independent,DODA,"JAMMU & KASHMIR",618
"SYED BASHARAT HUSSAIN",Independent,KHANSAHIB,"JAMMU & KASHMIR",616
