STATE,CONSTITUENCY,WINNER,WINNER_PARTY,WINNER_VOTES,RUNNER_UP,RUNNER_UP_PARTY,RUNNER_UP_VOTES,VOTE_DIFFERENCE
"JAMMU & KASHMIR",TRAL,"RAFIQ AHMAD NAIK","Jammu & Kashmir Peoples Democratic Party",10710,"SURINDER SINGH","Indian National Congress",10250,460
"JAMMU & KASHMIR",KISHTWAR,"SHAGUN PARIHAR","Bharatiya Janata Party",29053,"SAJJAD AHMED KICHLOO","Jammu & Kashmir National Conference",28532,521
"JAMMU & KASHMIR",PATTAN,"JAVAID RIYAZ","Jammu & Kashmir National Conference",29893,"IMRAN RAZA ANSARI","Jammu & Kashmir People Conference",29290,603
"JAMMU & KASHMIR",INDERWAL,"PAYARE LAL SHARMA",Independent,14195,"GHULAM MOHD SAROORI",Independent,13552,643
"JAMMU & KASHMIR",HANDWARA,"SAJAD GANI LONE","Jammu & Kashmir People Conference",29812,"CHOWDRY MOHAMMAD RAMZAN","Jammu & Kashmir National Conference",29150,662
"JAMMU & KASHMIR",BANDIPORA,"NIZAM UDDIN BHAT","Indian National Congress",20391,"USMAN ABDUL MAJID",Independent,19580,811
"JAMMU & KASHMIR",DEVSAR,"PEERZADA FEROZE AHAMAD","Jammu & Kashmir National Conference",18230,"MOHAMMAD SARTAJ MADNI","Jammu & Kashmir Peoples Democratic Party",17390,840
"JAMMU & KASHMIR",GUREZ,"NAZIR AHMAD KHAN","Jammu & Kashmir National Conference",8378,"FAQEER MOHAMMAD KHAN","Bharatiya Janata Party",7246,1132
"JAMMU & KASHMIR",SHOPIAN,"SHABIR AHMAD KULLAY",Independent,14113,"SHEIKH MOHAMMAD RAFI","Jammu & Kashmir National Conference",12906,1207
"JAMMU & KASHMIR",RAJOURI,"IFTKAR AHMED","Indian National Congress",28923,"VIBOD KUMAR","Bharatiya Janata Party",27519,1404
"JAMMU & KASHMIR",PADDER,"SUNIL KUMAR SHARMA","Bharatiya Janata Party",17036,"POOJA THAKUR","Jammu & Kashmir National Conference",15490,1546
"JAMMU & KASHMIR",LANGATE,"KHURSHEED AHMAD SHIEKH",Independent,25984,"IRFAN SULTAN PANDITHPURI","Jammu & Kashmir People Conference",24382,1602
"JAMMU & KASHMIR",EIDGAH,"MUBARIK GUL","Jammu & Kashmir National Conference",7700,"GHULAM NABI BHAT",Independent,6020,1680
"JAMMU & KASHMIR",ANANTNAG,"PEERZADA MOHAMMAD SYED","Indian National Congress",6679,"MEHBOOB BEG","Jammu & Kashmir Peoples Democratic Party",4993,1686
"JAMMU & KASHMIR","R. S. PURA- JAMMU SOUTH","DR. NARINDER SINGH RAINA","Bharatiya Janata Party",43317,"RAMAN BHALLA","Indian National Congress",41351,1966
"JAMMU & KASHMIR","SHRI MATA VAISHNO DEVI","BALDEV RAJ SHARMA","Bharatiya Janata Party",18199,"JUGAL KISHORE",Independent,16204,1995
"JAMMU & KASHMIR",BANI,"DR RAMESHWAR SINGH",Independent,18672,"JEWAN LAL","Bharatiya Janata Party",16624,2048
"JAMMU & KASHMIR","UDHAMPUR EAST","RANBIR SINGH PATHANIA","Bharatiya Janata Party",32996,"PAWAN KHAJURIA",Independent,30647,2349
"JAMMU & KASHMIR",PAMPORE,"HASNAIN MASOODI","Jammu & Kashmir National Conference",15088,"ZAHOOR AHMAD MIR","Jammu & Kashmir Peoples Democratic Party",12325,2763
"JAMMU & KASHMIR","DODA WEST","SHAKTI RAJ PARIHAR","Bharatiya Janata Party",33964,"PARDEEP KUMAR","Indian National Congress",30511,3453
