STATE,CANDIDATE,PARTY,CONSTITUENCY,VOTE_SHARE
"JAMMU & KASHMIR","SHABIR AHMAD KULLAY",Independent,SHOPIAN,23.7365
"JAMMU & KASHMIR","PEERZADA MOHAMMAD SYED","Indian National Congress",ANANTNAG,23.7721
"JAMMU & KASHMIR","RAFIQ AHMAD NAIK","Jammu & Kashmir Peoples Democratic Party",TRAL,24.6899
"JAMMU & KASHMIR","PAYARE LAL SHARMA",Independent,INDERWAL,26.3578
"JAMMU & KASHMIR","NIZAM UDDIN BHAT","Indian National Congress",BANDIPORA,27.4456
"JAMMU & KASHMIR","PEERZADA FEROZE AHAMAD","Jammu & Kashmir National Conference",DEVSAR,27.9130
"JAMMU & KASHMIR","SHAFI AHMAD WANI","Jammu & Kashmir National Conference",BEERWAH,30.3686
"JAMMU & KASHMIR","ZAFAR ALI KHATANA","Jammu & Kashmir National Conference",KOKERNAG,31.2281
"JAMMU & KASHMIR","MEHRAJ MALIK","Aam Aadmi Party",DODA,31.8279
"JAMMU & KASHMIR","JAVID HASSAN BAIG","Jammu & Kashmir National Conference",BARAMULLA,32.7469
"JAMMU & KASHMIR","QAYSAR JAMSHAID LONE","Jammu & Kashmir National Conference",LOLAB,33.0328
"JAMMU & KASHMIR","HASNAIN MASOODI","Jammu & Kashmir National Conference",PAMPORE,33.2196
"JAMMU & KASHMIR","KHURSHEED AHMAD SHIEKH",Independent,LANGATE,33.2864
"JAMMU & KASHMIR","MUBARIK GUL","Jammu & Kashmir National Conference",EIDGAH,33.5001
"JAMMU & KASHMIR","SAIFULLAH MIR","Jammu & Kashmir National Conference",TREHGAM,33.7445
"JAMMU & KASHMIR","JAVAID AHMAD MIRCHAL","Jammu & Kashmir National Conference",KARNAH,34.5934
"JAMMU & KASHMIR","MUZAFFAR IQBAL KHAN",Independent,THANNAMANDI,35.7244
"JAMMU & KASHMIR","SAJAD SHAHEEN","Jammu & Kashmir National Conference",BANIHAL,36.3716
"JAMMU & KASHMIR","HILAL AKBAR LONE","Jammu & Kashmir National Conference",SONAWARI,37.0664
"JAMMU & KASHMIR","IRFAN HAFIZ LONE","Indian National Congress",WAGOORA,38.1681
"JAMMU & KASHMIR","JAVED AHMED RANA","Jammu & Kashmir National Conference",MENDHAR,38.8909
"JAMMU & KASHMIR","SATISH SHARMA",Independent,CHHAMB,39.0875
"JAMMU & KASHMIR","CHOUDHARY MOHAMMED AKRAM",Independent,SURANKOTE,39.3699
"JAMMU & KASHMIR","BALDEV RAJ SHARMA","Bharatiya Janata Party","SHRI MATA VAISHNO DEVI",39.9592
"JAMMU & KASHMIR","JAVID AHMAD DAR","Jammu & Kashmir National Conference",RAFIABAD,40.4239
"JAMMU & KASHMIR","ABDUL MAJEED BHAT","Jammu & Kashmir National Conference","ANANTNAG WEST",40.5842
"JAMMU & KASHMIR","SAJAD GANI LONE","Jammu & Kashmir People Conference",HANDWARA,40.7825
"JAMMU & KASHMIR","ARJUN SINGH RAJU","Jammu & Kashmir National Conference",RAMBAN,41.0724
"JAMMU & KASHMIR","PIRZADA FAROOQ AHMED SHAH","Jammu & Kashmir National Conference",GULMARG,41.2688
"JAMMU & KASHMIR","RANBIR SINGH PATHANIA","Bharatiya Janata Party","UDHAMPUR EAST",41.6374
"JAMMU & KASHMIR","JAVAID RIYAZ","Jammu & Kashmir National Conference",PATTAN,42.5390
