CONSTITUENCY,STATE,TOTAL_VOTES
"POONCH HAVELI","JAMMU & KASHMIR",97855
BISHNAH,"JAMMU & KASHMIR",94611
THANNAMANDI,"JAMMU & KASHMIR",91380
BANIHAL,"JAMMU & KASHMIR",91082
"UDHAMPUR WEST","JAMMU & KASHMIR",90603
"R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",87990
CHHAMB,"JAMMU & KASHMIR",86946
SURANKOTE,"JAMMU & KASHMIR",86871
BHADARWAH,"JAMMU & KASHMIR",86016
SONAWARI,"JAMMU & KASHMIR",85077
CHENANI,"JAMMU & KASHMIR",85076
SUCHETGARH,"JAMMU & KASHMIR",84847
KATHUA,"JAMMU & KASHMIR",83241
MENDHAR,"JAMMU & KASHMIR",82734
"UDHAMPUR EAST","JAMMU & KASHMIR",79246
LANGATE,"JAMMU & KASHMIR",78062
MARH,"JAMMU & KASHMIR",77039
AKHNOOR,"JAMMU & KASHMIR",76962
KULGAM,"JAMMU & KASHMIR",74978
GANDERBAL,"JAMMU & KASHMIR",74716
BANDIPORA,"JAMMU & KASHMIR",74296
"JAMMU NORTH","JAMMU & KASHMIR",74178
"CHRAR-I- SHARIEF","JAMMU & KASHMIR",74176
NAGROTA,"JAMMU & KASHMIR",74083
URI,"JAMMU & KASHMIR",73908
HANDWARA,"JAMMU & KASHMIR",73100
DODA,"JAMMU & KASHMIR",72980
BAHU,"JAMMU & KASHMIR",72975
DOORU,"JAMMU & KASHMIR",72397
GULABGARH,"JAMMU & KASHMIR",71436
RAMNAGAR,"JAMMU & KASHMIR",71233
RAFIABAD,"JAMMU & KASHMIR",71203
PATTAN,"JAMMU & KASHMIR",70272
SAMBA,"JAMMU & KASHMIR",69939
BILLAWAR,"JAMMU & KASHMIR",69319
"JAMMU EAST","JAMMU & KASHMIR",69298
RAMGARH,"JAMMU & KASHMIR",69224
RAMBAN,"JAMMU & KASHMIR",69207
KALAKOTE,"JAMMU & KASHMIR",68903
BARAMULLA,"JAMMU & KASHMIR",68779
"D. H. PORA","JAMMU & KASHMIR",68520
BUDHAL,"JAMMU & KASHMIR",68374
KHANSAHIB,"JAMMU & KASHMIR",68330
"DODA WEST","JAMMU & KASHMIR",67944
HIRANAGAR,"JAMMU & KASHMIR",67102
BEERWAH,"JAMMU & KASHMIR",66246
BUDGAM,"JAMMU & KASHMIR",66052
JASROTA,"JAMMU & KASHMIR",65768
GULMARG,"JAMMU & KASHMIR",65386
DEVSAR,"JAMMU & KASHMIR",65310
"JAMMU WEST","JAMMU & KASHMIR",64820
NOWSHERA,"JAMMU & KASHMIR",64748
RAJOURI,"JAMMU & KASHMIR",64220
VIJAYPUR,"JAMMU & KASHMIR",62465
REASI,"JAMMU & KASHMIR",62430
SRIGUFWARA,"JAMMU & KASHMIR",62096
KUPWARA,"JAMMU & KASHMIR",62055
"ANANTNAG WEST","JAMMU & KASHMIR",61933
ZAINAPORA,"JAMMU & KASHMIR",60864
KISHTWAR,"JAMMU & KASHMIR",60524
SHOPIAN,"JAMMU & KASHMIR",59457
LOLAB,"JAMMU & KASHMIR",59344
SHANGUS,"JAMMU & KASHMIR",57994
KANGAN,"JAMMU & KASHMIR",57847
KOKERNAG,"JAMMU & KASHMIR",57477
INDERWAL,"JAMMU & KASHMIR",53855
RAJPORA,"JAMMU & KASHMIR",53467
TREHGAM,"JAMMU & KASHMIR",53348
SOPORE,"JAMMU & KASHMIR",51553
PULWAMA,"JAMMU & KASHMIR",50499
CHADOORA,"JAMMU & KASHMIR",50321
PAHALGAM,"JAMMU & KASHMIR",50163
BASOHLI,"JAMMU & KASHMIR",48749
"SHRI MATA VAISHNO DEVI","JAMMU & KASHMIR",45544
PAMPORE,"JAMMU & KASHMIR",45419
WAGOORA,"JAMMU & KASHMIR",44545
TRAL,"JAMMU & KASHMIR",43378
BANI,"JAMMU & KASHMIR",42992
KARNAH,"JAMMU & KASHMIR",41320
"LAL CHOWK","JAMMU & KASHMIR",36811
HAZRATBAL,"JAMMU & KASHMIR",36668
ZADIBAL,"JAMMU & KASHMIR",34893
"CENTRAL SHALTENG","JAMMU & KASHMIR",33891
PADDER,"JAMMU & KASHMIR",33796
ANANTNAG,"JAMMU & KASHMIR",28096
CHANNAPORA,"JAMMU & KASHMIR",25431
KHANYAR,"JAMMU & KASHMIR",23865
EIDGAH,"JAMMU & KASHMIR",22985
HABBAKADAL,"JAMMU & KASHMIR",19229
GUREZ,"JAMMU & KASHMIR",17962
