STATE,CANDIDATE,CONSTITUENCY_COUNT
"JAMMU & KASHMIR","ASHOK KUMAR",1
"JAMMU & KASHMIR","ASHOK KUMAR",1
"JAMMU & KASHMIR","ASHOK KUMAR BHAT",1
"JAMMU & KASHMIR","ASHOK KUMAR KACHROO",1
"JAMMU & KASHMIR","ASHOK KUMAR SHARMA",1
"JAMMU & KASHMIR","ASHOK SHAIB",1
"JAMMU & KASHMIR","ASHRI DEVI",1
"JAMMU & KASHMIR","ASIEA NAQASH",1
"JAMMU & KASHMIR","ASIF AHMAD BEIGH",1
"JAMMU & KASHMIR","ASIF AKBER LONE",1
"JAMMU & KASHMIR","ASIF D.M",1
"JAMMU & KASHMIR","ASIF NABI DAR",1
"JAMMU & KASHMIR","ASTKHAR ALI AHMED",1
"JAMMU & KASHMIR","ATTA MOHAMMAD KHATANA",1
"JAMMU & KASHMIR","ATUL RAINA",1
"JAMMU & KASHMIR","BACHAN LAL",1
"JAMMU & KASHMIR","BADRI NATH",1
"JAMMU & KASHMIR","BALBIR SINGH",1
"JAMMU & KASHMIR","BALDEV RAJ",1
"JAMMU & KASHMIR","BALDEV RAJ SHARMA",1
"JAMMU & KASHMIR","BALKEES AKHTER",1
"JAMMU & KASHMIR","BALWAN SINGH",1
"JAMMU & KASHMIR","BALWAN SINGH",1
"JAMMU & KASHMIR","BALWANT SINGH MANKOTIA",1
"JAMMU & KASHMIR","BANSI LAL",1
"JAMMU & KASHMIR","BAQEEL SINGH",1
"JAMMU & KASHMIR","BASHIR AHMAD DAR",1
"JAMMU & KASHMIR","BASHIR AHMAD KHARI",1
"JAMMU & KASHMIR","BASHIR AHMAD MALIK",1
"JAMMU & KASHMIR","BASHIR AHMAD MIR",1
"JAMMU & KASHMIR","BASHIR AHMAD PARRAY",1
"JAMMU & KASHMIR","BASHIR AHMAD SHAH VEERI",1
"JAMMU & KASHMIR","BASHIR AHMAD WANI",1
"JAMMU & KASHMIR","BASHIR AHMED SHAN",1
"JAMMU & KASHMIR","BASHIR UD DIN",1
"JAMMU & KASHMIR","BASIT BASHIR GAGROO",1
"JAMMU & KASHMIR","BASIT HAYAT ZARGAR",1
"JAMMU & KASHMIR","BHANU PARTAP SINGH",1
"JAMMU & KASHMIR","BHUPINDER SINGH",1
"JAMMU & KASHMIR","BHUSAN LAL",1
"JAMMU & KASHMIR","BILAL AHMAD DEVA",1
"JAMMU & KASHMIR","BILAL AHMAD MIR",1
"JAMMU & KASHMIR","BILAL AHMAD MIR",1
"JAMMU & KASHMIR","BILAL AHMAD WANI",1
"JAMMU & KASHMIR","BILAL KHAN",1
"JAMMU & KASHMIR","BISHAN DASS",1
"JAMMU & KASHMIR","BISHAN DASS BABORIA",1
"JAMMU & KASHMIR","BODH RAJ MEANIA",1
"JAMMU & KASHMIR","BRIJESHWAR SINGH",1
"JAMMU & KASHMIR","BURHAN BASHEER BAZAZ",1
"JAMMU & KASHMIR","CH. LAL SINGH",1
"JAMMU & KASHMIR","CHAIN SINGH",1
"JAMMU & KASHMIR","CHANDER MOHAN SHARMA",1
"JAMMU & KASHMIR","CHANDER PARKASH",1
"JAMMU & KASHMIR","CHAUDHARY GARU RAM",1
"JAMMU & KASHMIR","CHITTAR MANU",1
"JAMMU & KASHMIR","CHOUDHARY ABDUL GHANI",1
"JAMMU & KASHMIR","CHOUDHARY MOHAMMED AKRAM",1
"JAMMU & KASHMIR","CHOWDHARY ZULFKAR ALI",1
"JAMMU & KASHMIR","CHOWDRY MOHAMMAD RAMZAN",1
"JAMMU & KASHMIR","DAISY RAINA",1
"JAMMU & KASHMIR","DALEEP SINGH",1
"JAMMU & KASHMIR","DARSHAN KUMAR",1
"JAMMU & KASHMIR","DARSHAN KUMAR MAGOTRA",1
"JAMMU & KASHMIR","DAWOOD BASHIR BHAT",1
"JAMMU & KASHMIR","DEV RAJ SINGH",1
"JAMMU & KASHMIR","DEVENDER SINGH RANA",1
"JAMMU & KASHMIR","DIKSHA KALURIA",1
"JAMMU & KASHMIR","DILIP KUMAR PANDITA",1
"JAMMU & KASHMIR","DR ALI MOHD MIR",1
"JAMMU & KASHMIR","DR DEVINDER KUMAR MANYAL",1
"JAMMU & KASHMIR","DR FAROOZ  AHMAD GANAI",1
"JAMMU & KASHMIR","DR HANS RAJ BHARADWAJ",1
"JAMMU & KASHMIR","DR ISHFAQ AHMED CHODHARY",1
"JAMMU & KASHMIR","DR MANZOOR AHMAD BHAT",1
"JAMMU & KASHMIR","DR NOOR UD DIN AHMAD SHAH",1
"JAMMU & KASHMIR","DR PREETI KUMARI",1
"JAMMU & KASHMIR","DR RAMESHWAR SINGH",1
"JAMMU & KASHMIR","DR SAJJAD HUSSAIN QANUNGO",1
"JAMMU & KASHMIR","DR SOHAIL MUZAMMIL GONI",1
"JAMMU & KASHMIR","DR. BASHIR AHMAD CHALKOO",1
"JAMMU & KASHMIR","DR. BHARAT BHUSHAN",1
"JAMMU & KASHMIR","DR. NARINDER SINGH RAINA",1
"JAMMU & KASHMIR","FAISAL FAYAZ",1
"JAMMU & KASHMIR","FAISAL MANZOOR",1
"JAMMU & KASHMIR","FAIZ  AHMAD BHAT",1
"JAMMU & KASHMIR","FAIZ HUSSAIN",1
"JAMMU & KASHMIR","FAIZAN RAHI",1
"JAMMU & KASHMIR","FAQEER MOHAMMAD KHAN",1
"JAMMU & KASHMIR","FAROOQ AHMAD BHAT",1
"JAMMU & KASHMIR","FAROOQ AHMAD BHAT",1
"JAMMU & KASHMIR","FAROOQ AHMAD GANAIE",1
"JAMMU & KASHMIR","FAROOQ AHMAD RATHER",1
"JAMMU & KASHMIR","FAROOQ AHMED",1
"JAMMU & KASHMIR","FATIMA JAVID",1
"JAMMU & KASHMIR","FAYAZ AHMAD",1
"JAMMU & KASHMIR","FAYAZ AHMAD BUTT",1
"JAMMU & KASHMIR","FAYAZ AHMAD KHANDAY",1
"JAMMU & KASHMIR","FAYAZ AHMAD SOFI",1
"JAMMU & KASHMIR","FEROZ AHMAD NAJAR",1
"JAMMU & KASHMIR","FIRDOOS AHMED TAK",1
"JAMMU & KASHMIR","FIRDOUS AHMAD MIR",1
"JAMMU & KASHMIR","FIRDOUSE AHMED FARASH",1
"JAMMU & KASHMIR","GAJAY SINGH RANA",1
"JAMMU & KASHMIR","GANESH DUTT SHARMA",1
"JAMMU & KASHMIR","GANPATI SHARMA",1
"JAMMU & KASHMIR","GAUHAR AZAD MIR",1
"JAMMU & KASHMIR","GAURAV KUMAR",1
"JAMMU & KASHMIR","GAZANFAR MAQBOOL SHAH",1
"JAMMU & KASHMIR","GEETA MANHAS",1
"JAMMU & KASHMIR","GH MOHI UD DIN WANI",1
"JAMMU & KASHMIR","GH NABI KHAN PATHAN",1
"JAMMU & KASHMIR","GHARU RAM",1
"JAMMU & KASHMIR","GHULAM HASAN MALIK",1
"JAMMU & KASHMIR","GHULAM HASSAN MIR",1
"JAMMU & KASHMIR","GHULAM MOHAMMAD BHAT",1
"JAMMU & KASHMIR","GHULAM MOHAMMAD DAR",1
"JAMMU & KASHMIR","GHULAM MOHAMMAD MIR",1
"JAMMU & KASHMIR","GHULAM MOHAMMAD WAR",1
"JAMMU & KASHMIR","GHULAM MOHD SAROORI",1
"JAMMU & KASHMIR","GHULAM MOHI UDDIN MIR",1
"JAMMU & KASHMIR","GHULAM MUSTAFA KHAN",1
"JAMMU & KASHMIR","GHULAM NABI LONE",1
"JAMMU & KASHMIR","GHULAM NABI PARRAY",1
"JAMMU & KASHMIR","GHULAM NABI WANI NILOORA",1
"JAMMU & KASHMIR","GHULAM QADIR RATHER",1
"JAMMU & KASHMIR","GHULAM QADIR SHAH",1
"JAMMU & KASHMIR","GHULAM RASOOL",1
"JAMMU & KASHMIR","GHULAM RASOOL MIR",1
"JAMMU & KASHMIR","GOURAV CHOPRA",1
"JAMMU & KASHMIR","GOURI SHANKER",1
"JAMMU & KASHMIR","GOWHAR HUSSAIN WANI",1
"JAMMU & KASHMIR","GUFTAR AHMED",1
"JAMMU & KASHMIR","GULAM AHMAD KHAN",1
"JAMMU & KASHMIR","GULAM AHMAD MIR",1
"JAMMU & KASHMIR","GULAM NABI DIGOO",1
"JAMMU & KASHMIR","GULAM RASOOL",1
"JAMMU & KASHMIR","GULAM RUBANI TADWA",1
"JAMMU & KASHMIR","GULL MOHD BHAT",1
"JAMMU & KASHMIR","GULSHAN AKHTER",1
"JAMMU & KASHMIR","GULZAR AHMAD DAR",1
"JAMMU & KASHMIR","GULZAR AHMAD KHATANA",1
"JAMMU & KASHMIR","GURDEV RAJ",1
"JAMMU & KASHMIR","HAJI FAROOQ AHMAD MIR",1
"JAMMU & KASHMIR","HAKEEM MOHAMMAD  YASEEN SHAH",1
"JAMMU & KASHMIR","HAKEEM MOHAMMAD YASEEN SHAH",1
"JAMMU & KASHMIR","HAQ NAWAZ",1
"JAMMU & KASHMIR","HARBAKSH SINGH SASSAN",1
"JAMMU & KASHMIR","HARBANS LAL",1
"JAMMU & KASHMIR","HAROON RASHID KHATANA",1
"JAMMU & KASHMIR","HARPREET SINGH",1
"JAMMU & KASHMIR","HARSH DEV SINGH",1
"JAMMU & KASHMIR","HASNAIN MASOODI",1
"JAMMU & KASHMIR","HEMKANT SHARMA",1
"JAMMU & KASHMIR",HERJEET,1
"JAMMU & KASHMIR","HILAL AHMAD MALIK",1
"JAMMU & KASHMIR","HILAL AHMAD MALLA",1
"JAMMU & KASHMIR","HILAL AHMAD SHAH",1
"JAMMU & KASHMIR","HILAL AHMAD WAGAY",1
"JAMMU & KASHMIR","HILAL AHMAD WANI",1
"JAMMU & KASHMIR","HILAL AKBAR LONE",1
"JAMMU & KASHMIR","IFTKAR AHMED",1
"JAMMU & KASHMIR","ILTIJA MEHBOOBA MUFTI",1
"JAMMU & KASHMIR","IMRAN RAZA ANSARI",1
"JAMMU & KASHMIR","IMRAN SHEIKH",1
"JAMMU & KASHMIR","IMTIAZ AHMED SHAN",1
"JAMMU & KASHMIR","IMTIYAZ AHMAD KHAN",1
"JAMMU & KASHMIR","IMTIYAZ AHMAD PARRA",1
"JAMMU & KASHMIR","IMTIYAZ AHMAD PARRAY",1
"JAMMU & KASHMIR","IMTIYAZ AHMAD RATHER",1
"JAMMU & KASHMIR","IMTIYAZ BASHIR",1
"JAMMU & KASHMIR","INAM HUSSAIN",1
"JAMMU & KASHMIR","INAM UL RASHID",1
"JAMMU & KASHMIR",INDERJEET,1
"JAMMU & KASHMIR","INDOMEET SINGH",1
"JAMMU & KASHMIR","IRFAN AHMAD MATTOO",1
"JAMMU & KASHMIR","IRFAN AHMAD SHAH",1
"JAMMU & KASHMIR","IRFAN ALI LONE",1
"JAMMU & KASHMIR","IRFAN ANJUM",1
"JAMMU & KASHMIR","IRFAN BASHIR MALIK",1
"JAMMU & KASHMIR","IRFAN HAFIZ LONE",1
"JAMMU & KASHMIR","IRFAN SULTAN PANDITHPURI",1
"JAMMU & KASHMIR","IRSHAD AHMAD",1
"JAMMU & KASHMIR","IRSHAD AHMAD MALIK",1
"JAMMU & KASHMIR","IRSHAD AHMAD TANTRAY",1
"JAMMU & KASHMIR","IRSHAD HUSSAIN GANAIE",1
"JAMMU & KASHMIR","IRSHAD RASOOL KAR",1
"JAMMU & KASHMIR","ISHFAQ AHMAD SHEIKH",1
"JAMMU & KASHMIR","ISHTIYAQ AHMAD SHEIKH",1
"JAMMU & KASHMIR","JAGDISH CHANDER",1
"JAMMU & KASHMIR","JAHANGIR AHMAD SHEIKH",1
"JAMMU & KASHMIR","JAI BHARAT",1
"JAMMU & KASHMIR","JASVIR SINGH",1
"JAMMU & KASHMIR","JASWANT SINGH",1
"JAMMU & KASHMIR","JASWINDER SINGH",1
"JAMMU & KASHMIR","JATINDER SINGH",1
"JAMMU & KASHMIR","JAVAID AHMAD MIRCHAL",1
"JAMMU & KASHMIR","JAVAID AHMAD RATHER",1
"JAMMU & KASHMIR","JAVAID AHMAD WANI",1
"JAMMU & KASHMIR","JAVAID AHMED",1
"JAMMU & KASHMIR","JAVAID IQBAL",1
"JAMMU & KASHMIR","JAVAID IQBAL",1
"JAMMU & KASHMIR","JAVAID RIYAZ",1
"JAMMU & KASHMIR","JAVED AHMED RANA",1
"JAMMU & KASHMIR","JAVED HUSSAIN",1
"JAMMU & KASHMIR","JAVED MOHMAD HUBI",1
"JAMMU & KASHMIR","JAVEED AHMAD CHOPAN",1
"JAMMU & KASHMIR","JAVID AHMAD DAR",1
"JAMMU & KASHMIR","JAVID AHMAD DAR",1
"JAMMU & KASHMIR","JAVID AHMAD MIR",1
"JAMMU & KASHMIR","JAVID AHMAD QADRI",1
"JAMMU & KASHMIR","JAVID HASSAN BAIG",1
"JAMMU & KASHMIR","JAVID IQBAL GANAIE",1
"JAMMU & KASHMIR","JAWAZ AHMED",1
"JAMMU & KASHMIR","JAYESH KUMAR",1
"JAMMU & KASHMIR","JEELANI HAMID KUMAR",1
"JAMMU & KASHMIR","JEWAN LAL",1
"JAMMU & KASHMIR","JIBRAN DAR",1
"JAMMU & KASHMIR","JOGINDER SINGH",1
"JAMMU & KASHMIR","JUGAL KISHORE",1
"JAMMU & KASHMIR","JUNAID AZIM MATTU",1
"JAMMU & KASHMIR","JUNAID JAWAID MIR",1
"JAMMU & KASHMIR","KABIR AHMED",1
"JAMMU & KASHMIR","KALIMULLAH LONE",1
"JAMMU & KASHMIR","KAMAL KUMAR",1
"JAMMU & KASHMIR","KARAN SINGH",1
"JAMMU & KASHMIR","KAYSAR AHMAD MIR",1
"JAMMU & KASHMIR","KEWAL KUMAR",1
"JAMMU & KASHMIR","KHALID NAJIB SUHARWARDY",1
"JAMMU & KASHMIR","KHURSHEED AHMAD SHIEKH",1
"JAMMU & KASHMIR","KHURSHEEDA BAGAM",1
"JAMMU & KASHMIR","KHURSHIED AHMED",1
"JAMMU & KASHMIR","KHUSHBOO BHAGAT",1
"JAMMU & KASHMIR","KRISHAN CHAND",1
"JAMMU & KASHMIR","KRISHAN DEV SINGH",1
"JAMMU & KASHMIR","KRISHAN DUTT",1
"JAMMU & KASHMIR","KULBIR KUMAR",1
"JAMMU & KASHMIR","KULDEEP KUMAR RAO",1
"JAMMU & KASHMIR","KULDEEP RAJ DUBEY",1
"JAMMU & KASHMIR","KULWANT SINGH",1
"JAMMU & KASHMIR","KUSHAL SHARMA",1
"JAMMU & KASHMIR","LOVELY MANGOL",1
"JAMMU & KASHMIR","MAAJID ASHRAF MIR",1
"JAMMU & KASHMIR","MAHARAJ KRISHAN YOGI",1
"JAMMU & KASHMIR","MAHESHWAR SINGH MANHAS",1
"JAMMU & KASHMIR","MAJID HUSSAIN SHAH",1
"JAMMU & KASHMIR","MALKEET KUMAR",1
"JAMMU & KASHMIR","MANJIT SINGH",1
"JAMMU & KASHMIR","MANMOHAN SINGH",1
"JAMMU & KASHMIR","MANOHAR LAL SHARMA",1
"JAMMU & KASHMIR","MANOHAR SINGH",1
"JAMMU & KASHMIR","MANSOOR AHMED BATT",1
"JAMMU & KASHMIR","MANSOOR HUSSAIN SOHARVARDI",1
"JAMMU & KASHMIR","MANZOOR AHMAD BHAT",1
"JAMMU & KASHMIR","MANZOOR AHMAD DAR",1
"JAMMU & KASHMIR","MANZOOR AHMAD KALOO",1
"JAMMU & KASHMIR","MANZOOR AHMAD WANI",1
"JAMMU & KASHMIR","MANZOOR HUSSAIN SHAH",1
"JAMMU & KASHMIR","MASHOOQ AHMAD DAR",1
"JAMMU & KASHMIR","MASHOOQ AHMAD MIR",1
"JAMMU & KASHMIR","MASOOD AHMED",1
"JAMMU & KASHMIR","MEENAKSHI CHIBBER",1
"JAMMU & KASHMIR","MEENAKSHI KALRA",1
"JAMMU & KASHMIR","MEENKASHI BHAGAT",1
"JAMMU & KASHMIR","MEHBOOB BEG",1
"JAMMU & KASHMIR","MEHRAJ MALIK",1
"JAMMU & KASHMIR","MEHRAJ UD DIN AHANGER",1
"JAMMU & KASHMIR","MEHRAJ UD DIN GANAYEE",1
"JAMMU & KASHMIR","MIAN MEHAR ALI",1
"JAMMU & KASHMIR","MIAN MOHD MEHFOOZ",1
"JAMMU & KASHMIR","MIR ALTAF HUSSAIN",1
"JAMMU & KASHMIR","MIR FANOON RAFIQ",1
"JAMMU & KASHMIR","MIR IQBAL AHMAD",1
"JAMMU & KASHMIR","MIR MOHAMMAD FAYAZ",1
"JAMMU & KASHMIR","MIRZA SAJAD HUSSAIN BEIGH",1
"JAMMU & KASHMIR","MOHAMAD SALEEM PARAY",1
"JAMMU & KASHMIR","MOHAMAD YOUSUF TARIGAMI",1
"JAMMU & KASHMIR","MOHAMMAD AAQIB DAR",1
"JAMMU & KASHMIR","MOHAMMAD ABDULLAH KHAN",1
"JAMMU & KASHMIR","MOHAMMAD AFZAL WANI",1
"JAMMU & KASHMIR","MOHAMMAD AKBAR LONE",1
"JAMMU & KASHMIR","MOHAMMAD ALTAF MIR",1
"JAMMU & KASHMIR","MOHAMMAD AMIN BHAT",1
"JAMMU & KASHMIR","MOHAMMAD ASHRAF BHAT PALPORI",1
"JAMMU & KASHMIR","MOHAMMAD ASHRAF GOJRI",1
"JAMMU & KASHMIR","MOHAMMAD ASHRAF MALIK",1
"JAMMU & KASHMIR","MOHAMMAD ASHRAF MIR",1
"JAMMU & KASHMIR","MOHAMMAD ASLAM CHOPAN",1
"JAMMU & KASHMIR","MOHAMMAD AYUB MATOO",1
"JAMMU & KASHMIR","MOHAMMAD FAHEEM RESHI",1
"JAMMU & KASHMIR","MOHAMMAD FAROOQ KHAN",1
"JAMMU & KASHMIR","MOHAMMAD HAMZA LONE",1
"JAMMU & KASHMIR","MOHAMMAD IQBAL SHAH",1
"JAMMU & KASHMIR","MOHAMMAD ISMAIL BHAT",1
"JAMMU & KASHMIR","MOHAMMAD KHALIL BAND",1
"JAMMU & KASHMIR","MOHAMMAD KHURSHID ALAM",1
"JAMMU & KASHMIR","MOHAMMAD LATIEF WANI",1
"JAMMU & KASHMIR","MOHAMMAD MAQBOOL BEIGH",1
"JAMMU & KASHMIR","MOHAMMAD MAQBOOL MAKNU",1
"JAMMU & KASHMIR","MOHAMMAD MAQBOOL SHAH",1
"JAMMU & KASHMIR","MOHAMMAD MUNAWAR KHAWAJA",1
"JAMMU & KASHMIR","MOHAMMAD MUSTAFA LONE",1
"JAMMU & KASHMIR","MOHAMMAD MUZAFFAR SHEIKH",1
"JAMMU & KASHMIR","MOHAMMAD OMAR HAFIZ",1
"JAMMU & KASHMIR","MOHAMMAD RAFIQ WANI",1
"JAMMU & KASHMIR","MOHAMMAD SARTAJ MADNI",1
"JAMMU & KASHMIR","MOHAMMAD SHAFI KHAN",1
"JAMMU & KASHMIR","MOHAMMAD SHAFI KHAN KASHI",1
"JAMMU & KASHMIR","MOHAMMAD SHARIEF SHAH",1
"JAMMU & KASHMIR","MOHAMMAD SIKANDAR MALIK",1
"JAMMU & KASHMIR","MOHAMMAD SULTAN MAGRAY",1
"JAMMU & KASHMIR","MOHAMMAD TAHIR QADRI",1
"JAMMU & KASHMIR","MOHAMMAD WAQAR",1
"JAMMU & KASHMIR","MOHAMMAD YOUSUF MIR",1
"JAMMU & KASHMIR","MOHAMMED IQBAL TRUMBOO",1
"JAMMU & KASHMIR","MOHAN LAL",1
"JAMMU & KASHMIR","MOHAN LAL KAITH",1
"JAMMU & KASHMIR","MOHD ABASS KANT",1
"JAMMU & KASHMIR","MOHD AKBAR BHAT",1
"JAMMU & KASHMIR","MOHD AKBAR RATHER",1
"JAMMU & KASHMIR","MOHD AKRAM",1
"JAMMU & KASHMIR","MOHD AKRAM",1
"JAMMU & KASHMIR","MOHD ALTAF BHAT",1
"JAMMU & KASHMIR","MOHD AMIN DAR",1
"JAMMU & KASHMIR","MOHD ARIF",1
"JAMMU & KASHMIR","MOHD ARIF DAR",1
"JAMMU & KASHMIR","MOHD ASHFAQ",1
"JAMMU & KASHMIR","MOHD ASIF",1
"JAMMU & KASHMIR","MOHD ASIF BHAT",1
"JAMMU & KASHMIR","MOHD ASIF GANAI",1
"JAMMU & KASHMIR","MOHD AYOUB CHOHAN",1
"JAMMU & KASHMIR","MOHD AYOUB MIR",1
"JAMMU & KASHMIR","MOHD FAROOQ",1
"JAMMU & KASHMIR","MOHD IDREES",1
"JAMMU & KASHMIR","MOHD IQBAL AHANGAR",1
"JAMMU & KASHMIR","MOHD IQBAL MALIK",1
"JAMMU & KASHMIR","MOHD IQBAL SOFI",1
"JAMMU & KASHMIR","MOHD MAJID",1
"JAMMU & KASHMIR","MOHD MAQBOOL KHAN",1
"JAMMU & KASHMIR","MOHD RAFIQ RATHER",1
"JAMMU & KASHMIR","MOHD RAFIQ WANI",1
"JAMMU & KASHMIR","MOHD SALEEM BHAT",1
"JAMMU & KASHMIR","MOHD SHABIR KHAN",1
"JAMMU & KASHMIR","MOHD SHAFI HURRAH",1
"JAMMU & KASHMIR","MOHD SHAHNAWAZ",1
"JAMMU & KASHMIR","MOHD SIDIQ SHAH",1
"JAMMU & KASHMIR","MOHD SUHAIB BHAT",1
"JAMMU & KASHMIR","MOHD VASEEM",1
"JAMMU & KASHMIR","MOHD YAQOOB MALLA",1
"JAMMU & KASHMIR","MOHD YOUSUF GANAIE",1
"JAMMU & KASHMIR","MOHD ZAFARULLAH",1
"JAMMU & KASHMIR","MOHINDER SINGH",1
"JAMMU & KASHMIR",MOHIT,1
"JAMMU & KASHMIR","MOHMAD SAYEED PEER",1
