STATE,CONSTITUENCY,RUNNER_UP_VOTES,WINNING_PARTY,WINNING_VOTES,VOTE_DIFFERENCE
"JAMMU & KASHMIR",TRAL,10250,"Jammu & Kashmir Peoples Democratic Party",10710,460
"JAMMU & KASHMIR","R. S. PURA- JAMMU SOUTH",41351,"Bharatiya Janata Party",43317,1966
"JAMMU & KASHMIR","DODA WEST",30511,"Bharatiya Janata Party",33964,3453
"JAMMU & KASHMIR",HIRANAGAR,28127,"Bharatiya Janata Party",36737,8610
"JAMMU & KASHMIR",SURANKOTE,25350,Independent,34201,8851
"JAMMU & KASHMIR",SUCHETGARH,28161,"Bharatiya Janata Party",39302,11141
"JAMMU & KASHMIR",BAHU,29134,"Bharatiya Janata Party",40385,11251
"JAMMU & KASHMIR",RAMGARH,21470,"Bharatiya Janata Party",35672,14202
"JAMMU & KASHMIR",BISHNAH,37808,"Bharatiya Janata Party",53435,15627
"JAMMU & KASHMIR",BASOHLI,15840,"Bharatiya Janata Party",31874,16034
"JAMMU & KASHMIR","JAMMU EAST",24475,"Bharatiya Janata Party",42589,18114
"JAMMU & KASHMIR",REASI,20832,"Bharatiya Janata Party",39647,18815
"JAMMU & KASHMIR","UDHAMPUR WEST",26412,"Bharatiya Janata Party",47164,20752
"JAMMU & KASHMIR",BILLAWAR,23261,"Bharatiya Janata Party",44629,21368
"JAMMU & KASHMIR","JAMMU WEST",19836,"Bharatiya Janata Party",41963,22127
"JAMMU & KASHMIR",MARH,19477,"Bharatiya Janata Party",42563,23086
"JAMMU & KASHMIR",AKHNOOR,25248,"Bharatiya Janata Party",49927,24679
