STATE,PARTY,NO_OF_CANDIDATES
"NEW DELHI",Independent,138
"NEW DELHI","Aam Aadmi Party",70
"NEW DELHI","Indian National Congress",70
"NEW DELHI","Bharatiya Janata Party",68
"NEW DELHI","Bahujan Samaj Party",68
"NEW DELHI","Right to Recall Party",20
"NEW DELHI","Peoples Party of India (Democratic)",18
"NEW DELHI","Nationalist Congress Party",17
"NEW DELHI","Aazad Samaj Party (Kanshi Ram)",14
"NEW DELHI","Yuva Bharat Rashtraseva Party",7
"NEW DELHI","Rashtriya Manav Party",7
"NEW DELHI","Bharatiya Sampuran Krantikari Party",6
"NEW DELHI","National Youth Party",6
"NEW DELHI","Jai Maha Bharath Party",6
"NEW DELHI","Bhartiya Rashtrawadi Party",6
"NEW DELHI","Aapki Apni Party (Peoples)",5
"NEW DELHI","Rashtriya Janshakti Party (Secular)",5
"NEW DELHI","Communist Party of India",5
"NEW DELHI","Republican Party of India (Athawale)",5
"NEW DELHI","Asankhya Samaj Party",5
"NEW DELHI","Republican Sena",5
"NEW DELHI","Sarvodaya Prabhat Party",4
"NEW DELHI","Socialist Unity Centre Of India (COMMUNIST)",4
"NEW DELHI","Sanjhi Virasat Party",4
"NEW DELHI","Bhim Sena",4
"NEW DELHI","Bharatiya Liberal Party",4
"NEW DELHI","Akhil Bharatiya Socialist Party",4
"NEW DELHI","Jan Samuh Party",4
"NEW DELHI","Aam Aadmi Parivartan Party",4
"NEW DELHI","Haryana Jansena Party",3
"NEW DELHI","Rashtriya Rashtrawadi Party",3
"NEW DELHI","Matrubhoomi Sewa Party",3
"NEW DELHI","Indian National Socialistic Action Forces",3
"NEW DELHI","Bharatiya Sarvodaya Kranti Party",3
"NEW DELHI","Azad Adhikar Sena",3
"NEW DELHI","Janhit Dal",3
"NEW DELHI","Delhi Janta Party",3
"NEW DELHI","Suheldev Bharatiya Samaj Party",3
"NEW DELHI","Swaraj Bhartiya Nyay Party",3
"NEW DELHI","Peace Party",2
"NEW DELHI","Aam Janmat Party",2
"NEW DELHI","New India United Party",2
"NEW DELHI","Jatiya Jana Sena Party",2
"NEW DELHI","Abhinav Bharat Party",2
"NEW DELHI","Communist Party of India  (Marxist-Leninist)  (Liberation)",2
"NEW DELHI","Communist Party of India  (Marxist)",2
"NEW DELHI","Hamara Sahi Vikalp Party",2
"NEW DELHI","Samata Party",2
"NEW DELHI","Bhartiya Rashtriya Jansatta",2
"NEW DELHI","Rashtriya Bahujan Congress Party",2
"NEW DELHI","Rashtriya Lok Sevak Party",2
"NEW DELHI","All India Majlis-E-Ittehadul Muslimeen",2
"NEW DELHI","Veer Janshakti Party",2
"NEW DELHI","Rashtriya Lok Janshakti Party",2
"NEW DELHI","Rashtriya Republican Party",2
"NEW DELHI","Rashtrawadi Janlok Party (Satya)",2
"NEW DELHI","Buland Bharat Party",2
"NEW DELHI","Aihra National Party",2
"NEW DELHI","Bharat Lok Sewak Party",1
"NEW DELHI","Bhartiya Panchsheel Party",1
"NEW DELHI","Magadh Congress of Inda",1
"NEW DELHI","Jantantrik Samta Party",1
"NEW DELHI","Lok Janshakti Party(Ram Vilas)",1
"NEW DELHI","Proutist Bloc India",1
"NEW DELHI","Bhartiya Rashtriya Dal",1
"NEW DELHI","Bharatheeya Jawan Kisan Party",1
"NEW DELHI","Akhil Bhartiya Manavatavadi Party",1
"NEW DELHI","Rashtra Nirman Party",1
"NEW DELHI","Aam Aadmi Sangharsh Party (S)",1
"NEW DELHI","National Loktantrik Party",1
"NEW DELHI","One Bharat Citizen Party",1
"NEW DELHI","Swatantra Jantaraj Party",1
"NEW DELHI","Bahujan Shoshit Samaj Sangharsh Samta Party",1
"NEW DELHI","Samarth Bharatvarsh Party",1
"NEW DELHI","Social Democratic Party Of India",1
"NEW DELHI","All India National Raksha Sena",1
"NEW DELHI","Voice of Awam Party",1
"NEW DELHI","Janata Dal  (United)",1
"NEW DELHI","Bhartiya Mahasangh Party",1
"NEW DELHI","Samaj Vikas Kranti Party",1
"NEW DELHI","Bharatrashtra Democratic Party",1
"NEW DELHI","Bahujan Dravida Party",1
"NEW DELHI","Adarshwaadi Congress Party",1
"NEW DELHI","Azad Samaj Party",1
"NEW DELHI","Rachnatmak Jan Morcha",1
"NEW DELHI","Atulya Bharat Party",1
"NEW DELHI","All India Forward Bloc",1
"NEW DELHI","Peoples Green Party",1
"NEW DELHI","Samrat Mihir Bhoj Samaj Party",1
"NEW DELHI","Voters Party  International",1
"NEW DELHI","Rashtriya Janmorcha",1
"NEW DELHI","Rashtravadi Janata Party",1
"NEW DELHI","Blue India Party",1
"NEW DELHI","Gareeb Aadmi Party",1
"NEW DELHI","Bharatiy Aam Janta Adhikar Party",1
"NEW DELHI","Rashtriya Aikta Manch Party",1
"NEW DELHI","Bhartiya Krishak Dal",1
"NEW DELHI","Aman Samaj Party",1
"NEW DELHI","Navarang Congress Party",1
"NEW DELHI","Aam Janshakti Party",1
"NEW DELHI","Bhartiya Insan Party",1
"NEW DELHI","Bhartiya Janta Dal (Integrated)",1
"NEW DELHI","Garib Ekta Party",1
"NEW DELHI","Aapsi Sahyog Party",1
"NEW DELHI","Aam Janta Party (India)",1
"NEW DELHI","Rashtravadi Loktantrik Party (India)",1
