CANDIDATE,PARTY,CONSTITUENCY,STATE,RUNNER_VOTES
"GAURAV SHARMA","Aam Aadmi Party",GHONDA,"NEW DELHI",53929
"DINESH MOHANIYA","Aam Aadmi Party","SANGAM VIHAR","NEW DELHI",53705
"SURENDER BHARDWAJ","Aam Aadmi Party",BIJWASAN,"NEW DELHI",53675
"RAAJ KUMAR ANAND","Bharatiya Janata Party","PATEL NAGAR","NEW DELHI",53463
"PARVEEN KUMAR","Aam Aadmi Party",JANAKPURI,"NEW DELHI",50220
"DEEPAK TANWAR","Lok Janshakti Party(Ram Vilas)",DEOLI,"NEW DELHI",50209
"MANOJ KUMAR JINDAL","Bharatiya Janata Party","SADAR BAZAR","NEW DELHI",49870
"RAGHUVINDER SHOKEEN","Aam Aadmi Party","NANGLOI JAT","NEW DELHI",49021
"RAMESH BIDHURI","Bharatiya Janata Party",KALKAJI,"NEW DELHI",48633
"ROHTASH KUMAR","Bharatiya Janata Party",TUGHLAKABAD,"NEW DELHI",47444
"DEEPAK SINGHAL","Aam Aadmi Party","VISHWAS NAGAR","NEW DELHI",47099
"MAHENDER CHAUDHARY","Aam Aadmi Party",MEHRAULI,"NEW DELHI",46567
"SAURABH BHARADWAJ","Aam Aadmi Party","GREATER KAILASH","NEW DELHI",46406
"AJESH YADAV","Aam Aadmi Party",BADLI,"NEW DELHI",46029
"AVADH OJHA","Aam Aadmi Party",PATPARGANJ,"NEW DELHI",45988
"A DHANWATI CHANDELA A","Aam Aadmi Party","RAJOURI GARDEN","NEW DELHI",45942
"SHIVCHARAN GOEL","Aam Aadmi Party","MOTI NAGAR","NEW DELHI",45908
"DURGESH PATHAK","Aam Aadmi Party","RAJINDER NAGAR","NEW DELHI",45440
"DUSHYANT GAUTAM","Bharatiya Janata Party","KAROL BAGH","NEW DELHI",44867
"NAVEEN CHAUDHARY (DEEPU)","Aam Aadmi Party","GANDHI NAGAR","NEW DELHI",44110
"SURINDER KUMAR SETIA","Aam Aadmi Party","HARI NAGAR","NEW DELHI",43547
"RAJESH GUPTA","Aam Aadmi Party",WAZIRPUR,"NEW DELHI",43296
"PREETI JITENDER TOMAR","Aam Aadmi Party","TRI NAGAR","NEW DELHI",43177
"KHUSHI RAM CHUNAR","Bharatiya Janata Party","AMBEDKAR NAGAR","NEW DELHI",42055
"KARAM SINGH KARMA","Bharatiya Janata Party","SULTANPUR MAJRA","NEW DELHI",41641
"RAKHI BIRLA","Aam Aadmi Party",MADIPUR,"NEW DELHI",41120
"MUKESH KUMAR GOEL","Aam Aadmi Party","ADARSH NAGAR","NEW DELHI",41028
"SHVETA SAINI","Bharatiya Janata Party","TILAK NAGAR","NEW DELHI",40478
"AKHILESH PATI TRIPATHI","Aam Aadmi Party","MODEL TOWN","NEW DELHI",38693
"BANDANA KUMARI","Aam Aadmi Party","SHALIMAR BAGH","NEW DELHI",38605
"MANISH SISODIA","Aam Aadmi Party",JANGPURA,"NEW DELHI",38184
"SOMNATH BHARTI","Aam Aadmi Party","MALVIYA NAGAR","NEW DELHI",37433
"ANIL KUMAR SHARMA (GAUR)","Bharatiya Janata Party","SEELAM PUR","NEW DELHI",36532
"SATYENDAR JAIN","Aam Aadmi Party","SHAKUR BASTI","NEW DELHI",35871
"PARDEEP MITTAL","Aam Aadmi Party",ROHINI,"NEW DELHI",32549
"PRAMILA TOKAS","Aam Aadmi Party","R. K. PURAM","NEW DELHI",28807
"KAMAL BAGRI","Bharatiya Janata Party",BALLIMARAN,"NEW DELHI",27181
"ABHISHEK DUTT","Indian National Congress","KASTURBA NAGAR","NEW DELHI",27019
"ARVIND KEJRIWAL","Aam Aadmi Party","NEW DELHI","NEW DELHI",25999
"SATISH JAIN","Bharatiya Janata Party","CHANDNI CHOWK","NEW DELHI",22421
"BHUVAN TANWAR","Bharatiya Janata Party","DELHI CANTT","NEW DELHI",20162
"DEEPTI INDORA","Bharatiya Janata Party","MATIA MAHAL","NEW DELHI",15396
