STATE,PARTY,TOTAL_COST,PARTY_VOTES,COST_PER_VOTE
"NEW DELHI","Janata Dal  (United)",4000000,100580,39.7693
"NEW DELHI","Bharatiya Janata Party",272000000,4323110,62.9177
"NEW DELHI","Aam Aadmi Party",280000000,4133898,67.7327
"NEW DELHI","Lok Janshakti Party(Ram Vilas)",4000000,50209,79.6670
"NEW DELHI","All India Majlis-E-Ittehadul Muslimeen",8000000,73032,109.5410
"NEW DELHI","Indian National Congress",280000000,601922,465.1766
"NEW DELHI","Bahujan Samaj Party",272000000,55066,4939.5271
"NEW DELHI","None of the Above",280000000,53738,5210.4656
"NEW DELHI","Aazad Samaj Party (Kanshi Ram)",56000000,8727,6416.8672
"NEW DELHI","Rachnatmak Jan Morcha",4000000,589,6791.1715
"NEW DELHI","Aam Aadmi Sangharsh Party (S)",4000000,569,7029.8770
"NEW DELHI","Social Democratic Party Of India",4000000,491,8146.6395
"NEW DELHI","Bhartiya Rashtrawadi Party",24000000,2782,8626.8871
"NEW DELHI","Matrubhoomi Sewa Party",12000000,1271,9441.3847
"NEW DELHI","Communist Party of India  (Marxist)",8000000,824,9708.7379
"NEW DELHI","Samata Party",8000000,789,10139.4170
"NEW DELHI","Janhit Dal",12000000,1053,11396.0114
"NEW DELHI","Communist Party of India",20000000,1595,12539.1850
"NEW DELHI","Nationalist Congress Party",68000000,5414,12560.0296
"NEW DELHI",Independent,552000000,43833,12593.2517
"NEW DELHI","Rashtriya Lok Janshakti Party",8000000,617,12965.9643
"NEW DELHI","Bhartiya Panchsheel Party",4000000,297,13468.0135
"NEW DELHI","Azad Samaj Party",4000000,290,13793.1034
"NEW DELHI","Bhartiya Janta Dal (Integrated)",4000000,288,13888.8889
"NEW DELHI","Bahujan Dravida Party",4000000,278,14388.4892
"NEW DELHI","Socialist Unity Centre Of India (COMMUNIST)",16000000,1075,14883.7209
"NEW DELHI","Aapki Apni Party (Peoples)",20000000,1252,15974.4409
"NEW DELHI","Jai Maha Bharath Party",24000000,1406,17069.7013
"NEW DELHI","Rashtriya Janshakti Party (Secular)",20000000,1163,17196.9046
"NEW DELHI","Swaraj Bhartiya Nyay Party",12000000,657,18264.8402
"NEW DELHI","Azad Adhikar Sena",12000000,655,18320.6107
"NEW DELHI","Peace Party",8000000,435,18390.8046
"NEW DELHI","Communist Party of India  (Marxist-Leninist)  (Liberation)",8000000,428,18691.5888
"NEW DELHI","Proutist Bloc India",4000000,214,18691.5888
"NEW DELHI","Aman Samaj Party",4000000,201,19900.4975
"NEW DELHI","Bharatiya Sarvodaya Kranti Party",12000000,587,20442.9302
"NEW DELHI","Aam Aadmi Parivartan Party",16000000,773,20698.5770
"NEW DELHI","Bahujan Shoshit Samaj Sangharsh Samta Party",4000000,171,23391.8129
"NEW DELHI","Gareeb Aadmi Party",4000000,168,23809.5238
"NEW DELHI","National Loktantrik Party",4000000,166,24096.3855
"NEW DELHI","Bhartiya Rashtriya Jansatta",8000000,332,24096.3855
"NEW DELHI","Swatantra Jantaraj Party",4000000,163,24539.8773
"NEW DELHI","One Bharat Citizen Party",4000000,162,24691.3580
"NEW DELHI","Rashtriya Bahujan Congress Party",8000000,318,25157.2327
"NEW DELHI","Rashtravadi Loktantrik Party (India)",4000000,153,26143.7908
"NEW DELHI","Rashtriya Janmorcha",4000000,151,26490.0662
"NEW DELHI","Bhartiya Insan Party",4000000,148,27027.0270
"NEW DELHI","Haryana Jansena Party",12000000,436,27522.9358
"NEW DELHI","Yuva Bharat Rashtraseva Party",28000000,970,28865.9794
"NEW DELHI","Aapsi Sahyog Party",4000000,135,29629.6296
"NEW DELHI","Akhil Bhartiya Manavatavadi Party",4000000,134,29850.7463
"NEW DELHI","Sarvodaya Prabhat Party",16000000,522,30651.3410
"NEW DELHI","Peoples Party of India (Democratic)",72000000,2312,31141.8685
"NEW DELHI","Rashtriya Republican Party",8000000,252,31746.0317
"NEW DELHI","Asankhya Samaj Party",20000000,616,32467.5325
"NEW DELHI","Rashtriya Manav Party",28000000,842,33254.1568
"NEW DELHI","Veer Janshakti Party",8000000,240,33333.3333
"NEW DELHI","Suheldev Bharatiya Samaj Party",12000000,349,34383.9542
"NEW DELHI","Rashtriya Aikta Manch Party",4000000,116,34482.7586
"NEW DELHI","Bhim Sena",16000000,461,34707.1584
"NEW DELHI","Jatiya Jana Sena Party",8000000,229,34934.4978
"NEW DELHI","Rashtriya Lok Sevak Party",8000000,224,35714.2857
"NEW DELHI","Bharatiya Sampuran Krantikari Party",24000000,670,35820.8955
"NEW DELHI","Republican Party of India (Athawale)",20000000,543,36832.4125
"NEW DELHI","Magadh Congress of Inda",4000000,107,37383.1776
"NEW DELHI","Bharatiya Liberal Party",16000000,421,38004.7506
"NEW DELHI","Jantantrik Samta Party",4000000,100,40000.0000
"NEW DELHI","Bharat Lok Sewak Party",4000000,100,40000.0000
"NEW DELHI","Hamara Sahi Vikalp Party",8000000,196,40816.3265
"NEW DELHI","Republican Sena",20000000,482,41493.7759
"NEW DELHI","Samrat Mihir Bhoj Samaj Party",4000000,96,41666.6667
"NEW DELHI","All India Forward Bloc",4000000,94,42553.1915
"NEW DELHI","Akhil Bharatiya Socialist Party",16000000,370,43243.2432
"NEW DELHI","National Youth Party",24000000,553,43399.6383
"NEW DELHI","Aihra National Party",8000000,183,43715.8470
"NEW DELHI","Right to Recall Party",80000000,1779,44969.0838
"NEW DELHI","Aam Janta Party (India)",4000000,85,47058.8235
"NEW DELHI","Delhi Janta Party",12000000,254,47244.0945
"NEW DELHI","Bharatheeya Jawan Kisan Party",4000000,83,48192.7711
"NEW DELHI","Blue India Party",4000000,78,51282.0513
"NEW DELHI","Rashtriya Rashtrawadi Party",12000000,233,51502.1459
"NEW DELHI","Jan Samuh Party",16000000,306,52287.5817
"NEW DELHI","Samaj Vikas Kranti Party",4000000,76,52631.5789
