STATE,CANDIDATE,CONSTITUENCY_COUNT
"NEW DELHI","DEEPAK RAWAT",1
"NEW DELHI","DEEPAK SINGHAL",1
"NEW DELHI","DEEPAK TANWAR",1
"NEW DELHI","DEEPTI INDORA",1
"NEW DELHI","DEVENDER KUMAR",1
"NEW DELHI","DEVENDER KUMAR YADAV",1
"NEW DELHI","DEVENDER YADAV",1
"NEW DELHI","DEVENDRA BHAIYA",1
"NEW DELHI",DEVIKA,1
"NEW DELHI","DHARAM PAL",1
"NEW DELHI","DHARAM PAL CHANDELA",1
"NEW DELHI","DHARAM RAKSHAK ALIAS RAKESH JATAV",1
"NEW DELHI","DHARAM VEER",1
"NEW DELHI","DHARAMPAL LAKRA",1
"NEW DELHI",DHARAMVEER,1
"NEW DELHI","DHARAMVIR SINGH",1
"NEW DELHI",DHARMENDER,1
"NEW DELHI","DHARMINDRA KUMAR KAIM",1
"NEW DELHI","DHEERAJ KUMAR",1
"NEW DELHI","DHURVA KUMAR",1
"NEW DELHI","DIBLU SINGH",1
"NEW DELHI","DILIP BANERJEE",1
"NEW DELHI","DILIP KUMAR",1
"NEW DELHI","DILIP KUMAR SHARMA",1
"NEW DELHI","DINESH KUMAR SAH",1
"NEW DELHI","DINESH MOHANIYA",1
"NEW DELHI","DINESH TANWAR",1
"NEW DELHI","DR ANIL GOYAL",1
"NEW DELHI","DR. ABHILASHA",1
"NEW DELHI","DR. AJAY DUTT",1
"NEW DELHI","DR. BHUPENDRA CHAURASIYA",1
"NEW DELHI","DR. MUNISH KUMAR RAIZADA",1
"NEW DELHI","DR. P.K. MISHRA",1
"NEW DELHI","DUGGIRALA NAGESWARA RAO",1
"NEW DELHI","DURGESH PATHAK",1
"NEW DELHI","DUSHYANT GAUTAM",1
"NEW DELHI","DUSHYANT THAKUR",1
"NEW DELHI","FARHAD SURI",1
"NEW DELHI","FIRDOS ALAM",1
"NEW DELHI","FIRDOUS AHMAD",1
"NEW DELHI","G. THULASEEDHARAN",1
"NEW DELHI","GAJENDER DRALL",1
"NEW DELHI","GAJENDER SINGH YADAV",1
"NEW DELHI","GANDHI GAUTAM",1
"NEW DELHI","GANGA RAM",1
"NEW DELHI","GARVIT SINGHVI",1
"NEW DELHI","GAURAV SHARMA",1
"NEW DELHI","GAURAV SHARMA",1
"NEW DELHI","GAURI SHANKAR",1
"NEW DELHI","GAUTAM SINGH BIHARI",1
"NEW DELHI",GEETA,1
