STATE,PARTY,PARTY_VOTES,VOTE_SHARE
"NEW DELHI","Bharatiya Janata Party",4323110,45.5622
"NEW DELHI","Aam Aadmi Party",4133898,43.5680
"NEW DELHI","Indian National Congress",601922,6.3438
"NEW DELHI","Janata Dal  (United)",100580,1.0600
"NEW DELHI","All India Majlis-E-Ittehadul Muslimeen",73032,0.7697
"NEW DELHI","Bahujan Samaj Party",55066,0.5804
"NEW DELHI","None of the Above",53738,0.5664
"NEW DELHI","Lok Janshakti Party(Ram Vilas)",50209,0.5292
"NEW DELHI",Independent,43833,0.4620
"NEW DELHI","Aazad Samaj Party (Kanshi Ram)",8727,0.0920
"NEW DELHI","Nationalist Congress Party",5414,0.0571
"NEW DELHI","Bhartiya Rashtrawadi Party",2782,0.0293
"NEW DELHI","Peoples Party of India (Democratic)",2312,0.0244
"NEW DELHI","Right to Recall Party",1779,0.0187
"NEW DELHI","Communist Party of India",1595,0.0168
"NEW DELHI","Jai Maha Bharath Party",1406,0.0148
"NEW DELHI","Matrubhoomi Sewa Party",1271,0.0134
"NEW DELHI","Aapki Apni Party (Peoples)",1252,0.0132
"NEW DELHI","Rashtriya Janshakti Party (Secular)",1163,0.0123
"NEW DELHI","Socialist Unity Centre Of India (COMMUNIST)",1075,0.0113
"NEW DELHI","Janhit Dal",1053,0.0111
"NEW DELHI","Yuva Bharat Rashtraseva Party",970,0.0102
"NEW DELHI","Rashtriya Manav Party",842,0.0089
"NEW DELHI","Communist Party of India  (Marxist)",824,0.0087
"NEW DELHI","Samata Party",789,0.0083
"NEW DELHI","Aam Aadmi Parivartan Party",773,0.0081
"NEW DELHI","Bharatiya Sampuran Krantikari Party",670,0.0071
"NEW DELHI","Swaraj Bhartiya Nyay Party",657,0.0069
"NEW DELHI","Azad Adhikar Sena",655,0.0069
"NEW DELHI","Rashtriya Lok Janshakti Party",617,0.0065
"NEW DELHI","Asankhya Samaj Party",616,0.0065
"NEW DELHI","Rachnatmak Jan Morcha",589,0.0062
"NEW DELHI","Bharatiya Sarvodaya Kranti Party",587,0.0062
"NEW DELHI","Aam Aadmi Sangharsh Party (S)",569,0.0060
"NEW DELHI","National Youth Party",553,0.0058
"NEW DELHI","Republican Party of India (Athawale)",543,0.0057
"NEW DELHI","Sarvodaya Prabhat Party",522,0.0055
"NEW DELHI","Social Democratic Party Of India",491,0.0052
"NEW DELHI","Republican Sena",482,0.0051
"NEW DELHI","Bhim Sena",461,0.0049
"NEW DELHI","Haryana Jansena Party",436,0.0046
"NEW DELHI","Peace Party",435,0.0046
"NEW DELHI","Communist Party of India  (Marxist-Leninist)  (Liberation)",428,0.0045
"NEW DELHI","Bharatiya Liberal Party",421,0.0044
"NEW DELHI","Akhil Bharatiya Socialist Party",370,0.0039
"NEW DELHI","Suheldev Bharatiya Samaj Party",349,0.0037
"NEW DELHI","Bhartiya Rashtriya Jansatta",332,0.0035
"NEW DELHI","Rashtriya Bahujan Congress Party",318,0.0034
"NEW DELHI","Jan Samuh Party",306,0.0032
"NEW DELHI","Bhartiya Panchsheel Party",297,0.0031
"NEW DELHI","Azad Samaj Party",290,0.0031
"NEW DELHI","Bhartiya Janta Dal (Integrated)",288,0.0030
"NEW DELHI","Bahujan Dravida Party",278,0.0029
"NEW DELHI","Delhi Janta Party",254,0.0027
"NEW DELHI","Rashtriya Republican Party",252,0.0027
"NEW DELHI","Veer Janshakti Party",240,0.0025
"NEW DELHI","Sanjhi Virasat Party",238,0.0025
"NEW DELHI","Rashtriya Rashtrawadi Party",233,0.0025
"NEW DELHI","Jatiya Jana Sena Party",229,0.0024
"NEW DELHI","Rashtriya Lok Sevak Party",224,0.0024
"NEW DELHI","Proutist Bloc India",214,0.0023
"NEW DELHI","Aman Samaj Party",201,0.0021
"NEW DELHI","Indian National Socialistic Action Forces",198,0.0021
"NEW DELHI","Hamara Sahi Vikalp Party",196,0.0021
"NEW DELHI","Aihra National Party",183,0.0019
"NEW DELHI","Bahujan Shoshit Samaj Sangharsh Samta Party",171,0.0018
"NEW DELHI","Gareeb Aadmi Party",168,0.0018
"NEW DELHI","National Loktantrik Party",166,0.0017
"NEW DELHI","Swatantra Jantaraj Party",163,0.0017
"NEW DELHI","One Bharat Citizen Party",162,0.0017
"NEW DELHI","Rashtravadi Loktantrik Party (India)",153,0.0016
"NEW DELHI","Rashtriya Janmorcha",151,0.0016
"NEW DELHI","Bhartiya Insan Party",148,0.0016
"NEW DELHI","Abhinav Bharat Party",137,0.0014
"NEW DELHI","Aapsi Sahyog Party",135,0.0014
"NEW DELHI","New India United Party",135,0.0014
"NEW DELHI","Akhil Bhartiya Manavatavadi Party",134,0.0014
"NEW DELHI","Aam Janmat Party",124,0.0013
"NEW DELHI","Rashtriya Aikta Manch Party",116,0.0012
"NEW DELHI","Magadh Congress of Inda",107,0.0011
"NEW DELHI","Jantantrik Samta Party",100,0.0011
"NEW DELHI","Bharat Lok Sewak Party",100,0.0011
"NEW DELHI","Samrat Mihir Bhoj Samaj Party",96,0.0010
"NEW DELHI","All India Forward Bloc",94,0.0010
"NEW DELHI","Buland Bharat Party",89,0.0009
"NEW DELHI","Aam Janta Party (India)",85,0.0009
"NEW DELHI","Bharatheeya Jawan Kisan Party",83,0.0009
"NEW DELHI","Blue India Party",78,0.0008
"NEW DELHI","Samaj Vikas Kranti Party",76,0.0008
"NEW DELHI","Voters Party  International",70,0.0007
"NEW DELHI","Aam Janshakti Party",70,0.0007
"NEW DELHI","Garib Ekta Party",63,0.0007
"NEW DELHI","Peoples Green Party",58,0.0006
"NEW DELHI","Rashtravadi Janata Party",58,0.0006
"NEW DELHI","Atulya Bharat Party",50,0.0005
"NEW DELHI","Bharatiy Aam Janta Adhikar Party",49,0.0005
"NEW DELHI","Rashtrawadi Janlok Party (Satya)",49,0.0005
"NEW DELHI","Bhartiya Krishak Dal",48,0.0005
"NEW DELHI","Bhartiya Rashtriya Dal",48,0.0005
"NEW DELHI","Adarshwaadi Congress Party",43,0.0005
"NEW DELHI","Rashtra Nirman Party",41,0.0004
"NEW DELHI","Voice of Awam Party",32,0.0003
"NEW DELHI","Bhartiya Mahasangh Party",25,0.0003
"NEW DELHI","Samarth Bharatvarsh Party",22,0.0002
"NEW DELHI","All India National Raksha Sena",20,0.0002
"NEW DELHI","Navarang Congress Party",18,0.0002
"NEW DELHI","Bharatrashtra Democratic Party",4,0.0000
