STATE,LOSING_PARTY,"< 500","< 2500","< 5000","< 10000","< 15000","< 25000","< 50000"
"NEW DELHI","Aam Aadmi Party",2,7,9,16,27,35,47
"NEW DELHI","Bharatiya Janata Party",0,1,4,8,11,16,20
"NEW DELHI","Indian National Congress",0,0,0,0,1,1,1
"NEW DELHI","Janata Dal  (United)",0,0,0,0,0,1,1
"NEW DELHI","Lok Janshakti Party(Ram Vilas)",0,0,0,0,0,0,1
