STATE,CONSTITUENCY,WINNER,WINNER_PARTY,WINNER_VOTES,RUNNER_UP,RUNNER_UP_PARTY,RUNNER_UP_VOTES,VOTE_DIFFERENCE
"NEW DELHI","TRI NAGAR","TILAK RAM GUPTA","Bharatiya Janata Party",59073,"PREETI JITENDER TOMAR","Aam Aadmi Party",43177,15896
"NEW DELHI","CHANDNI CHOWK","PUNARDEEP SINGH SAWHNEY (SABBY)","Aam Aadmi Party",38993,"SATISH JAIN","Bharatiya Janata Party",22421,16572
"NEW DELHI","SULTANPUR MAJRA","MUKESH KUMAR AHLAWAT","Aam Aadmi Party",58767,"KARAM SINGH KARMA","Bharatiya Janata Party",41641,17126
"NEW DELHI",MUSTAFABAD,"MOHAN SINGH BISHT","Bharatiya Janata Party",85215,"ADEEL AHMAD KHAN","Aam Aadmi Party",67637,17578
"NEW DELHI","RAJOURI GARDEN","MANJINDER SINGH SIRSA","Bharatiya Janata Party",64132,"A DHANWATI CHANDELA A","Aam Aadmi Party",45942,18190
"NEW DELHI",JANAKPURI,"ASHISH SOOD","Bharatiya Janata Party",68986,"PARVEEN KUMAR","Aam Aadmi Party",50220,18766
"NEW DELHI",BABARPUR,"GOPAL RAI","Aam Aadmi Party",76192,"ANIL KUMAR VASHISHT","Bharatiya Janata Party",57198,18994
"NEW DELHI","KRISHNA NAGAR","DR ANIL GOYAL","Bharatiya Janata Party",75922,"VIKAS BAGGA CA","Aam Aadmi Party",56424,19498
"NEW DELHI",BURARI,"SANJEEV JHA","Aam Aadmi Party",121181,"SHAILENDRA KUMAR","Janata Dal  (United)",100580,20601
"NEW DELHI","SHAKUR BASTI","KARNAIL SINGH","Bharatiya Janata Party",56869,"SATYENDAR JAIN","Aam Aadmi Party",35871,20998
"NEW DELHI",KIRARI,"ANIL JHA","Aam Aadmi Party",105780,"BAJRANG SHUKLA","Bharatiya Janata Party",83909,21871
"NEW DELHI","KARAWAL NAGAR","KAPIL MISHRA","Bharatiya Janata Party",107367,"MANOJ KUMAR TYAGI","Aam Aadmi Party",84012,23355
"NEW DELHI",OKHLA,"AMANATULLAH KHAN","Aam Aadmi Party",88943,"MANISH CHAUDHARY","Bharatiya Janata Party",65304,23639
"NEW DELHI","VISHWAS NAGAR","OM PRAKASH SHARMA","Bharatiya Janata Party",72141,"DEEPAK SINGHAL","Aam Aadmi Party",47099,25042
"NEW DELHI",BADARPUR,"RAM SINGH NETAJI","Aam Aadmi Party",112991,"NARAYAN DUTT SHARMA","Bharatiya Janata Party",87103,25888
"NEW DELHI",GHONDA,"AJAY MAHAWAR","Bharatiya Janata Party",79987,"GAURAV SHARMA","Aam Aadmi Party",53929,26058
"NEW DELHI","NANGLOI JAT","MANOJ KUMAR SHOKEEN","Bharatiya Janata Party",75272,"RAGHUVINDER SHOKEEN","Aam Aadmi Party",49021,26251
"NEW DELHI","ROHTAS NAGAR","JITENDER MAHAJAN","Bharatiya Janata Party",82896,"SARITA SINGH","Aam Aadmi Party",54994,27902
"NEW DELHI",PATPARGANJ,"Ravinder Singh Negi (Ravi Negi)","Bharatiya Janata Party",74060,"AVADH OJHA","Aam Aadmi Party",45988,28072
"NEW DELHI",MATIALA,"SANDEEP SEHRAWAT","Bharatiya Janata Party",146295,"SUMESH SHOKEEN","Aam Aadmi Party",117572,28723
"NEW DELHI",NAJAFGARH,"NEELAM PAHALWAN","Bharatiya Janata Party",101708,"TARUN KUMAR","Aam Aadmi Party",72699,29009
"NEW DELHI","SHALIMAR BAGH","REKHA GUPTA","Bharatiya Janata Party",68200,"BANDANA KUMARI","Aam Aadmi Party",38605,29595
"NEW DELHI",RITHALA,"KULWANT RANA","Bharatiya Janata Party",104371,"MOHINDER GOYAL","Aam Aadmi Party",74755,29616
"NEW DELHI","UTTAM NAGAR","PAWAN SHARMA","Bharatiya Janata Party",103613,"POSH BALYAN","Aam Aadmi Party",73873,29740
"NEW DELHI",BALLIMARAN,"IMRAN HUSSAIN","Aam Aadmi Party",57004,"KAMAL BAGRI","Bharatiya Janata Party",27181,29823
"NEW DELHI",BAWANA,"RAVINDER INDRAJ SINGH","Bharatiya Janata Party",119515,"JAI BHAGWAN UPKAR","Aam Aadmi Party",88040,31475
"NEW DELHI",DEOLI,"PREM CHAUHAN","Aam Aadmi Party",86889,"DEEPAK TANWAR","Lok Janshakti Party(Ram Vilas)",50209,36680
"NEW DELHI",ROHINI,"VIJENDER GUPTA","Bharatiya Janata Party",70365,"PARDEEP MITTAL","Aam Aadmi Party",32549,37816
"NEW DELHI","SEELAM PUR","CHAUDHARY ZUBAIR AHMAD","Aam Aadmi Party",79009,"ANIL KUMAR SHARMA (GAUR)","Bharatiya Janata Party",36532,42477
"NEW DELHI","MATIA MAHAL","AALEY MOHAMMED IQBAL","Aam Aadmi Party",58120,"DEEPTI INDORA","Bharatiya Janata Party",15396,42724
