STATE,CANDIDATE,CONSTITUENCY,PARTY,RESULT
"NEW DELHI","ASHOK KUMAR","ROHTAS NAGAR","Bahujan Samaj Party",LOST
"NEW DELHI","ASHOK KUMAR",MUSTAFABAD,"Bahujan Samaj Party",LOST
"NEW DELHI","MUKESH KUMAR","MANGOL PURI","Bahujan Samaj Party",LOST
"NEW DELHI","MUKESH KUMAR","NANGLOI JAT","Bahujan Samaj Party",LOST
"NEW DELHI","MUKESH KUMAR",KONDLI,"Bahujan Samaj Party",LOST
"NEW DELHI","ASHOK KUMAR","AMBEDKAR NAGAR",Independent,LOST
"NEW DELHI","ASHOK KUMAR","HARI NAGAR",Independent,LOST
"NEW DELHI","DEEPAK KUMAR","SULTANPUR MAJRA",Independent,LOST
"NEW DELHI","DEEPAK KUMAR","KAROL BAGH",Independent,LOST
"NEW DELHI",RAVI,KALKAJI,Independent,LOST
"NEW DELHI",RAVI,MADIPUR,Independent,LOST
"NEW DELHI","CHARAN SINGH MALIYAN",GOKALPUR,"Right to Recall Party",LOST
"NEW DELHI","CHARAN SINGH MALIYAN",SEEMAPURI,"Right to Recall Party",LOST
