STATE,CONSTITUENCY,RUNNER_UP_VOTES,WINNING_PARTY,WINNING_VOTES,VOTE_DIFFERENCE
"NEW DELHI","SANGAM VIHAR",53705,"Bharatiya Janata Party",54049,344
"NEW DELHI",TRILOKPURI,57825,"Bharatiya Janata Party",58217,392
"NEW DELHI",JANGPURA,38184,"Bharatiya Janata Party",38859,675
"NEW DELHI",TIMARPUR,54773,"Bharatiya Janata Party",55941,1168
"NEW DELHI","RAJINDER NAGAR",45440,"Bharatiya Janata Party",46671,1231
"NEW DELHI",MEHRAULI,46567,"Bharatiya Janata Party",48349,1782
"NEW DELHI","MALVIYA NAGAR",37433,"Bharatiya Janata Party",39564,2131
"NEW DELHI","GREATER KAILASH",46406,"Bharatiya Janata Party",49594,3188
"NEW DELHI","NEW DELHI",25999,"Bharatiya Janata Party",30088,4089
"NEW DELHI",SHAHDARA,57610,"Bharatiya Janata Party",62788,5178
"NEW DELHI",CHHATARPUR,74230,"Bharatiya Janata Party",80469,6239
"NEW DELHI","MANGOL PURI",55752,"Bharatiya Janata Party",62007,6255
"NEW DELHI","HARI NAGAR",43547,"Bharatiya Janata Party",50179,6632
"NEW DELHI",DWARKA,61308,"Bharatiya Janata Party",69137,7829
"NEW DELHI",NERELA,78619,"Bharatiya Janata Party",87215,8596
"NEW DELHI",PALAM,73094,"Bharatiya Janata Party",82046,8952
"NEW DELHI",MUNDKA,79289,"Bharatiya Janata Party",89839,10550
"NEW DELHI",MADIPUR,41120,"Bharatiya Janata Party",52019,10899
"NEW DELHI",BIJWASAN,53675,"Bharatiya Janata Party",64951,11276
"NEW DELHI",WAZIRPUR,43296,"Bharatiya Janata Party",54721,11425
"NEW DELHI","ADARSH NAGAR",41028,"Bharatiya Janata Party",52510,11482
"NEW DELHI","LAXMI NAGAR",54316,"Bharatiya Janata Party",65858,11542
"NEW DELHI","MOTI NAGAR",45908,"Bharatiya Janata Party",57565,11657
"NEW DELHI","GANDHI NAGAR",44110,"Bharatiya Janata Party",56858,12748
"NEW DELHI",VIKASPURI,122688,"Bharatiya Janata Party",135564,12876
"NEW DELHI","MODEL TOWN",38693,"Bharatiya Janata Party",52108,13415
"NEW DELHI","R. K. PURAM",28807,"Bharatiya Janata Party",43260,14453
"NEW DELHI",BADLI,46029,"Bharatiya Janata Party",61192,15163
"NEW DELHI","TRI NAGAR",43177,"Bharatiya Janata Party",59073,15896
"NEW DELHI",MUSTAFABAD,67637,"Bharatiya Janata Party",85215,17578
"NEW DELHI","RAJOURI GARDEN",45942,"Bharatiya Janata Party",64132,18190
"NEW DELHI",JANAKPURI,50220,"Bharatiya Janata Party",68986,18766
"NEW DELHI","KRISHNA NAGAR",56424,"Bharatiya Janata Party",75922,19498
"NEW DELHI","SHAKUR BASTI",35871,"Bharatiya Janata Party",56869,20998
"NEW DELHI","KARAWAL NAGAR",84012,"Bharatiya Janata Party",107367,23355
"NEW DELHI","VISHWAS NAGAR",47099,"Bharatiya Janata Party",72141,25042
"NEW DELHI",GHONDA,53929,"Bharatiya Janata Party",79987,26058
"NEW DELHI","NANGLOI JAT",49021,"Bharatiya Janata Party",75272,26251
"NEW DELHI","ROHTAS NAGAR",54994,"Bharatiya Janata Party",82896,27902
"NEW DELHI",PATPARGANJ,45988,"Bharatiya Janata Party",74060,28072
"NEW DELHI",MATIALA,117572,"Bharatiya Janata Party",146295,28723
"NEW DELHI",NAJAFGARH,72699,"Bharatiya Janata Party",101708,29009
"NEW DELHI","SHALIMAR BAGH",38605,"Bharatiya Janata Party",68200,29595
"NEW DELHI",RITHALA,74755,"Bharatiya Janata Party",104371,29616
"NEW DELHI","UTTAM NAGAR",73873,"Bharatiya Janata Party",103613,29740
"NEW DELHI",BAWANA,88040,"Bharatiya Janata Party",119515,31475
"NEW DELHI",ROHINI,32549,"Bharatiya Janata Party",70365,37816
