STATE,CANDIDATE,PARTY,CONSTITUENCY,RUNNER_UP_VOTE_PERCENTAGE
"NEW DELHI","DURGESH PATHAK","Aam Aadmi Party","RAJINDER NAGAR",46.74
"NEW DELHI","ANJANA PARCHA","Aam Aadmi Party",TRILOKPURI,45.79
"NEW DELHI","RAAJ KUMAR ANAND","Bharatiya Janata Party","PATEL NAGAR",45.55
"NEW DELHI","JITENDER SINGH SHUNTY","Aam Aadmi Party",SHAHDARA,45.54
"NEW DELHI","RAMESH BIDHURI","Bharatiya Janata Party",KALKAJI,45.5
"NEW DELHI","BRAHM SINGH TANWAR","Aam Aadmi Party",CHHATARPUR,45.18
"NEW DELHI","DHARAM RAKSHAK ALIAS RAKESH JATAV","Aam Aadmi Party","MANGOL PURI",45.16
"NEW DELHI","SURINDER PAL SINGH (BITTOO)","Aam Aadmi Party",TIMARPUR,45.07
"NEW DELHI","SHARAD KUMAR","Aam Aadmi Party",NERELA,44.99
"NEW DELHI","JOGINDER SOLANKI","Aam Aadmi Party",PALAM,44.95
"NEW DELHI","MAHINDER YADAV","Aam Aadmi Party",VIKASPURI,44.83
"NEW DELHI","SAURABH BHARADWAJ","Aam Aadmi Party","GREATER KAILASH",44.67
"NEW DELHI","MANISH SISODIA","Aam Aadmi Party",JANGPURA,44.65
"NEW DELHI","SOMNATH BHARTI","Aam Aadmi Party","MALVIYA NAGAR",44.02
"NEW DELHI","VINAY MISHRA","Aam Aadmi Party",DWARKA,43.95
"NEW DELHI","DUSHYANT GAUTAM","Bharatiya Janata Party","KAROL BAGH",43.65
"NEW DELHI","PRAVEEN NIMESH","Bharatiya Janata Party",GOKALPUR,43.54
"NEW DELHI","KHUSHI RAM CHUNAR","Bharatiya Janata Party","AMBEDKAR NAGAR",43.27
"NEW DELHI","PRIYANKA GAUTAM","Bharatiya Janata Party",KONDLI,43.11
"NEW DELHI","B B TYAGI","Aam Aadmi Party","LAXMI NAGAR",42.98
"NEW DELHI","DINESH MOHANIYA","Aam Aadmi Party","SANGAM VIHAR",42.72
"NEW DELHI","BHUVAN TANWAR","Bharatiya Janata Party","DELHI CANTT",42.48
"NEW DELHI","SURINDER KUMAR SETIA","Aam Aadmi Party","HARI NAGAR",42.26
"NEW DELHI","ARVIND KEJRIWAL","Aam Aadmi Party","NEW DELHI",42.18
"NEW DELHI","SUMESH SHOKEEN","Aam Aadmi Party",MATIALA,42.16
"NEW DELHI","MANOJ KUMAR JINDAL","Bharatiya Janata Party","SADAR BAZAR",42.12
"NEW DELHI","SHIVCHARAN GOEL","Aam Aadmi Party","MOTI NAGAR",41.98
"NEW DELHI","SHVETA SAINI","Bharatiya Janata Party","TILAK NAGAR",41.94
"NEW DELHI","NARAYAN DUTT SHARMA","Bharatiya Janata Party",BADARPUR,41.86
"NEW DELHI","NAVEEN CHAUDHARY (DEEPU)","Aam Aadmi Party","GANDHI NAGAR",41.85
"NEW DELHI","MANOJ KUMAR TYAGI","Aam Aadmi Party","KARAWAL NAGAR",41.78
"NEW DELHI","JASBIR KARALA","Aam Aadmi Party",MUNDKA,41.54
"NEW DELHI","BAJRANG SHUKLA","Bharatiya Janata Party",KIRARI,41.45
"NEW DELHI","ROHTASH KUMAR","Bharatiya Janata Party",TUGHLAKABAD,41.28
"NEW DELHI","SURENDER BHARDWAJ","Aam Aadmi Party",BIJWASAN,41.13
"NEW DELHI","KU. RINKU","Bharatiya Janata Party",SEEMAPURI,40.88
"NEW DELHI","MUKESH KUMAR GOEL","Aam Aadmi Party","ADARSH NAGAR",40.84
"NEW DELHI","RAJESH GUPTA","Aam Aadmi Party",WAZIRPUR,40.54
"NEW DELHI","TARUN KUMAR","Aam Aadmi Party",NAJAFGARH,40.31
"NEW DELHI","PARVEEN KUMAR","Aam Aadmi Party",JANAKPURI,40.23
"NEW DELHI","AKHILESH PATI TRIPATHI","Aam Aadmi Party","MODEL TOWN",40.17
"NEW DELHI","MAHENDER CHAUDHARY","Aam Aadmi Party",MEHRAULI,40.13
"NEW DELHI","A DHANWATI CHANDELA A","Aam Aadmi Party","RAJOURI GARDEN",40.02
"NEW DELHI","MOHINDER GOYAL","Aam Aadmi Party",RITHALA,39.94
"NEW DELHI","ANIL KUMAR VASHISHT","Bharatiya Janata Party",BABARPUR,39.93
"NEW DELHI","SHAILENDRA KUMAR","Janata Dal  (United)",BURARI,39.48
"NEW DELHI","VIKAS BAGGA CA","Aam Aadmi Party","KRISHNA NAGAR",39.35
"NEW DELHI","PREETI JITENDER TOMAR","Aam Aadmi Party","TRI NAGAR",39
"NEW DELHI","GAURAV SHARMA","Aam Aadmi Party",GHONDA,38.41
"NEW DELHI","JAI BHAGWAN UPKAR","Aam Aadmi Party",BAWANA,38.3
"NEW DELHI","SARITA SINGH","Aam Aadmi Party","ROHTAS NAGAR",38.11
"NEW DELHI","POSH BALYAN","Aam Aadmi Party","UTTAM NAGAR",37.67
"NEW DELHI","DEEPAK SINGHAL","Aam Aadmi Party","VISHWAS NAGAR",37.67
"NEW DELHI","PRAMILA TOKAS","Aam Aadmi Party","R. K. PURAM",37.65
"NEW DELHI","KARAM SINGH KARMA","Bharatiya Janata Party","SULTANPUR MAJRA",36.91
"NEW DELHI","RAKHI BIRLA","Aam Aadmi Party",MADIPUR,36.42
"NEW DELHI","SATYENDAR JAIN","Aam Aadmi Party","SHAKUR BASTI",36
"NEW DELHI","BANDANA KUMARI","Aam Aadmi Party","SHALIMAR BAGH",33.93
"NEW DELHI","ADEEL AHMAD KHAN","Aam Aadmi Party",MUSTAFABAD,33.62
"NEW DELHI","AVADH OJHA","Aam Aadmi Party",PATPARGANJ,33.17
"NEW DELHI","ABHISHEK DUTT","Indian National Congress","KASTURBA NAGAR",31.98
"NEW DELHI","DEEPAK TANWAR","Lok Janshakti Party(Ram Vilas)",DEOLI,31.83
"NEW DELHI","SATISH JAIN","Bharatiya Janata Party","CHANDNI CHOWK",31.5
"NEW DELHI","MANISH CHAUDHARY","Bharatiya Janata Party",OKHLA,31.17
"NEW DELHI","RAGHUVINDER SHOKEEN","Aam Aadmi Party","NANGLOI JAT",30.77
"NEW DELHI","AJESH YADAV","Aam Aadmi Party",BADLI,30.51
"NEW DELHI","PARDEEP MITTAL","Aam Aadmi Party",ROHINI,30.07
"NEW DELHI","KAMAL BAGRI","Bharatiya Janata Party",BALLIMARAN,27.66
"NEW DELHI","ANIL KUMAR SHARMA (GAUR)","Bharatiya Janata Party","SEELAM PUR",27.38
"NEW DELHI","DEEPTI INDORA","Bharatiya Janata Party","MATIA MAHAL",18.23
