CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTES
NOTA,"None of the Above","MALVIYA NAGAR","NEW DELHI",532
"ABHISHEK KUMAR SINGH (MASTER JI)","Rashtriya Janshakti Party (Secular)",BURARI,"NEW DELHI",531
"PUNAM PANDEY",Independent,MATIALA,"NEW DELHI",501
NOTA,"None of the Above","AMBEDKAR NAGAR","NEW DELHI",498
NOTA,"None of the Above","SULTANPUR MAJRA","NEW DELHI",494
"H.M. HASHIM MALIK","Social Democratic Party Of India","KARAWAL NAGAR","NEW DELHI",491
NOTA,"None of the Above",BABARPUR,"NEW DELHI",474
RAKESH,Independent,KIRARI,"NEW DELHI",473
NOTA,"None of the Above","KASTURBA NAGAR","NEW DELHI",472
"RAHUL RAI","Samata Party",BADARPUR,"NEW DELHI",466
"RAVI PARTAP RAO","Bahujan Samaj Party",JANAKPURI,"NEW DELHI",461
NOTA,"None of the Above",SEEMAPURI,"NEW DELHI",458
"ASHOK AGARWAL","Communist Party of India  (Marxist)","KARAWAL NAGAR","NEW DELHI",457
NOTA,"None of the Above",MUSTAFABAD,"NEW DELHI",455
"SUNDER LOHIYA","Bahujan Samaj Party",GHONDA,"NEW DELHI",454
"UMESH CHAUHAN","Aazad Samaj Party (Kanshi Ram)",VIKASPURI,"NEW DELHI",443
"RAJESH KUMAR YADAV","Bahujan Samaj Party","VISHWAS NAGAR","NEW DELHI",443
NOTA,"None of the Above",JANGPURA,"NEW DELHI",441
"DEEPAK KUMAR","Bahujan Samaj Party","SEELAM PUR","NEW DELHI",422
"PRITAM SINGH","Bahujan Samaj Party",KALKAJI,"NEW DELHI",421
"SHARDA DIXIT","Socialist Unity Centre Of India (COMMUNIST)",VIKASPURI,"NEW DELHI",420
"SUNNY KUMAR","Aazad Samaj Party (Kanshi Ram)",KONDLI,"NEW DELHI",418
"SADRE ALAM",Independent,"MOTI NAGAR","NEW DELHI",416
"SHYAM KUMAR","Bahujan Samaj Party","SHALIMAR BAGH","NEW DELHI",411
"SUNITA SHEKHAR CHAWARIYA",Independent,MUNDKA,"NEW DELHI",408
NOTA,"None of the Above","GANDHI NAGAR","NEW DELHI",402
"SEWA DASS","Bahujan Samaj Party","AMBEDKAR NAGAR","NEW DELHI",397
"HIRA LAL SAH",Independent,VIKASPURI,"NEW DELHI",391
"DHARAM PAL","Bharatiya Sarvodaya Kranti Party",MUSTAFABAD,"NEW DELHI",391
"YATENDER SHARMA","Azad Adhikar Sena","NANGLOI JAT","NEW DELHI",390
"MOHD WAQAR CHOUDHARY","Bahujan Samaj Party","LAXMI NAGAR","NEW DELHI",388
NOTA,"None of the Above","ADARSH NAGAR","NEW DELHI",377
"DILIP KUMAR SHARMA",Independent,"NANGLOI JAT","NEW DELHI",373
"CHUNNI LAL","Bahujan Samaj Party","MODEL TOWN","NEW DELHI",372
"JAGDISH CHAND","Communist Party of India  (Marxist)",BADARPUR,"NEW DELHI",367
"SAURABH GUPTA",Independent,"SHALIMAR BAGH","NEW DELHI",358
NOTA,"None of the Above","SEELAM PUR","NEW DELHI",355
"ARVIND KUMAR PANDEY","Rashtriya Janshakti Party (Secular)",MATIALA,"NEW DELHI",345
"ABDUL ZABBAR","Bahujan Samaj Party","ADARSH NAGAR","NEW DELHI",344
"ATUL KUMAR","Swaraj Bhartiya Nyay Party",GOKALPUR,"NEW DELHI",339
NOTA,"None of the Above","DELHI CANTT","NEW DELHI",330
"ANIL KUMAR SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",NERELA,"NEW DELHI",328
"DILIP KUMAR","Communist Party of India",PALAM,"NEW DELHI",326
"PARVEEN CHAUHAN","Samata Party",TUGHLAKABAD,"NEW DELHI",323
"IMRAN SAIFI","Nationalist Congress Party",BADARPUR,"NEW DELHI",322
"ROOP SINGH AHIRWAR","Bahujan Samaj Party",MADIPUR,"NEW DELHI",321
"GULAB SINGHAL","Bhim Sena",BURARI,"NEW DELHI",318
PRAMOD,"Sarvodaya Prabhat Party",BURARI,"NEW DELHI",315
NOTA,"None of the Above","NEW DELHI","NEW DELHI",314
"PRASHANT CHAUHAN",Independent,PALAM,"NEW DELHI",302
ARUN,"Haryana Jansena Party","AMBEDKAR NAGAR","NEW DELHI",302
"ASHOK KUMAR GAUTAM","Bahujan Samaj Party","TILAK NAGAR","NEW DELHI",301
"VIKAS BHARDWAJ",Independent,NERELA,"NEW DELHI",301
NOTA,"None of the Above",BALLIMARAN,"NEW DELHI",301
"LALA RAM","Bhartiya Panchsheel Party",VIKASPURI,"NEW DELHI",297
"DINESH TANWAR","Aapki Apni Party (Peoples)",CHHATARPUR,"NEW DELHI",293
"SHER MOHAMMAD","Azad Samaj Party",OKHLA,"NEW DELHI",290
"SHASHI PABHA","Bahujan Samaj Party","RAJOURI GARDEN","NEW DELHI",288
"MUKESH PRASAD","Bhartiya Janta Dal (Integrated)",BURARI,"NEW DELHI",288
"AMAN SAINI",Independent,VIKASPURI,"NEW DELHI",286
"HARI KISHAN MECHANIC",Independent,BAWANA,"NEW DELHI",279
"GAURAV SHARMA",Independent,GHONDA,"NEW DELHI",279
"MD KHALID","Aazad Samaj Party (Kanshi Ram)",NERELA,"NEW DELHI",278
"PRAKASH CHAND","Bahujan Dravida Party","KARAWAL NAGAR","NEW DELHI",278
"AJAY KUMAR","Peoples Party of India (Democratic)",SEEMAPURI,"NEW DELHI",277
"NAVEEN RAM",Independent,TRILOKPURI,"NEW DELHI",272
"SHEIKH ARSALAN ULLAH CHISHTI",Independent,OKHLA,"NEW DELHI",270
DHARMENDER,Independent,CHHATARPUR,"NEW DELHI",269
"DARSAN SINGH","Aazad Samaj Party (Kanshi Ram)","AMBEDKAR NAGAR","NEW DELHI",261
"MD INJAMAMUL HASSAN","Communist Party of India",OKHLA,"NEW DELHI",259
"ASHOK KUMAR","Aazad Samaj Party (Kanshi Ram)","PATEL NAGAR","NEW DELHI",255
NOTA,"None of the Above","CHANDNI CHOWK","NEW DELHI",253
"RINA DEVI",Independent,"SHALIMAR BAGH","NEW DELHI",252
"JAI BHAGWAN",Independent,"MANGOL PURI","NEW DELHI",250
"PARMOD KUMAR","Socialist Unity Centre Of India (COMMUNIST)",BADLI,"NEW DELHI",250
"MEENAKSHI KUMARI","Bharatiya Liberal Party","SADAR BAZAR","NEW DELHI",247
"KALI CHARAN","Bahujan Samaj Party","CHANDNI CHOWK","NEW DELHI",246
BUDIYA,Independent,NERELA,"NEW DELHI",242
"CHARANJEET KAUR","Bahujan Samaj Party","MALVIYA NAGAR","NEW DELHI",238
"ASHA CHAUDHARY","Bharatiya Sampuran Krantikari Party",MUSTAFABAD,"NEW DELHI",236
"DEVENDER KUMAR YADAV",Independent,BADLI,"NEW DELHI",235
"NIYATI CHOUDHARY","Bahujan Samaj Party","GREATER KAILASH","NEW DELHI",235
"TIKRAJ SINGH","Bahujan Samaj Party","GANDHI NAGAR","NEW DELHI",235
"AAKASH GOEL",Independent,WAZIRPUR,"NEW DELHI",234
"NAMIT KUMAR GAUTAM","Bahujan Samaj Party","DELHI CANTT","NEW DELHI",232
"YOGESH SWAMY",Independent,"KARAWAL NAGAR","NEW DELHI",229
"SAGAR TANHA","Peace Party",MUSTAFABAD,"NEW DELHI",227
"MANGE RAM SANGWAN",Independent,NAJAFGARH,"NEW DELHI",225
"KARAN TALWAR","Aam Aadmi Parivartan Party","RAJOURI GARDEN","NEW DELHI",225
"MONIS KURESHI",Independent,BIJWASAN,"NEW DELHI",225
"DHURVA KUMAR","Right to Recall Party",BURARI,"NEW DELHI",224
ABRAR,"Aam Aadmi Parivartan Party",BALLIMARAN,"NEW DELHI",224
"ROMAN RASHID",Independent,"MODEL TOWN","NEW DELHI",224
"RAMESHWAR MAHTO","Rashtriya Manav Party",DWARKA,"NEW DELHI",223
"RIZWANA KHATOON","Socialist Unity Centre Of India (COMMUNIST)",OKHLA,"NEW DELHI",221
"MANU GAUTAM","Peoples Party of India (Democratic)",PALAM,"NEW DELHI",221
"SANJAY NEGI",Independent,CHHATARPUR,"NEW DELHI",221
"DEEPAK RAWAT",Independent,BADARPUR,"NEW DELHI",219
NOTA,"None of the Above","MATIA MAHAL","NEW DELHI",217
"BHAWANA BOTHRA","Veer Janshakti Party","VISHWAS NAGAR","NEW DELHI",217
"DHEERAJ KUMAR","Peoples Party of India (Democratic)",BAWANA,"NEW DELHI",216
"JALANDHAR PANDIT","Proutist Bloc India",NAJAFGARH,"NEW DELHI",214
"JAI PAL",Independent,BADLI,"NEW DELHI",214
"MADHU BALA","Jai Maha Bharath Party","SADAR BAZAR","NEW DELHI",213
"ASHOK JAIN","Yuva Bharat Rashtraseva Party",RITHALA,"NEW DELHI",213
"SUDESH SHARMA","Rashtriya Manav Party",KIRARI,"NEW DELHI",212
"PRAVEEN KUMAR",Independent,JANAKPURI,"NEW DELHI",210
"AFSANA SARWAR","Peace Party",KIRARI,"NEW DELHI",208
DHARAMVEER,Independent,MADIPUR,"NEW DELHI",206
"DINESH KUMAR SAH",Independent,"UTTAM NAGAR","NEW DELHI",206
"RAM SAJIVAN","Peoples Party of India (Democratic)","NANGLOI JAT","NEW DELHI",205
"RANDHIR SINGH TANDI","Jai Maha Bharath Party",MADIPUR,"NEW DELHI",204
"SUNIL KAIN","Bahujan Samaj Party","R. K. PURAM","NEW DELHI",202
"MD NAZIR","Aman Samaj Party",BABARPUR,"NEW DELHI",201
"NARESH KUMAR","Right to Recall Party",TUGHLAKABAD,"NEW DELHI",199
"HARSHAD CHADHA","Bahujan Samaj Party",ROHINI,"NEW DELHI",197
"JOURNALIST RAMESH KUMAR JAIN @ NIRBHIK",Independent,"UTTAM NAGAR","NEW DELHI",196
"DHARAMVIR SINGH","Peoples Party of India (Democratic)",GOKALPUR,"NEW DELHI",195
"JAGDISH KUMAR VERMA",Independent,"SANGAM VIHAR","NEW DELHI",195
"NISHANT SEHRAWAT",Independent,BIJWASAN,"NEW DELHI",193
"PRAVEEN KUMAR",Independent,JANAKPURI,"NEW DELHI",193
"TANYA SINGH","Bhartiya Rashtrawadi Party",KALKAJI,"NEW DELHI",193
"MEGHNAD S.",Independent,"MALVIYA NAGAR","NEW DELHI",192
VISHAL,"Peoples Party of India (Democratic)",MUSTAFABAD,"NEW DELHI",192
"VINOD KAPOOR",Independent,"KRISHNA NAGAR","NEW DELHI",191
SONU,"Bahujan Samaj Party",BALLIMARAN,"NEW DELHI",190
BABITA,"Asankhya Samaj Party",BAWANA,"NEW DELHI",190
"DEVENDER KUMAR","Communist Party of India",WAZIRPUR,"NEW DELHI",190
"PAWAN CHOUDHRY","Jatiya Jana Sena Party","GANDHI NAGAR","NEW DELHI",190
"ASHA KAMBLE","Republican Party of India (Athawale)",KONDLI,"NEW DELHI",188
"PRAKASH CHANDRA JOSHI","Bhartiya Rashtriya Jansatta",PATPARGANJ,"NEW DELHI",188
"HARI RAM","Rashtriya Bahujan Congress Party",BADARPUR,"NEW DELHI",185
"DUSHYANT THAKUR","Yuva Bharat Rashtraseva Party","UTTAM NAGAR","NEW DELHI",185
"ASHA RANI","Socialist Unity Centre Of India (COMMUNIST)","SADAR BAZAR","NEW DELHI",184
"ALTAF AHMAD",Independent,JANAKPURI,"NEW DELHI",183
"NITIN GARG","Aam Aadmi Parivartan Party",SHAHDARA,"NEW DELHI",182
"MAHAVIR SINGH","Matrubhoomi Sewa Party",MEHRAULI,"NEW DELHI",181
SUBHASH,"Asankhya Samaj Party","TRI NAGAR","NEW DELHI",181
"ISLAM ALI","Aazad Samaj Party (Kanshi Ram)",CHHATARPUR,"NEW DELHI",181
"HAMMAD KHAN",Independent,OKHLA,"NEW DELHI",180
SHABANA,"Rashtriya Republican Party","SEELAM PUR","NEW DELHI",177
"DEEPAK KUMAR",Independent,"SULTANPUR MAJRA","NEW DELHI",177
"OM PRAKASH GUPTA",Independent,BADARPUR,"NEW DELHI",176
"DEEPAK KAPILA","Azad Adhikar Sena",KALKAJI,"NEW DELHI",174
"RAJNI SHARMA",Independent,MATIALA,"NEW DELHI",174
"SURENDER SINGH VISHWAKARMA","Aazad Samaj Party (Kanshi Ram)","ROHTAS NAGAR","NEW DELHI",174
NARENDER,"Nationalist Congress Party",CHHATARPUR,"NEW DELHI",173
"MUKESH JAIN",Independent,WAZIRPUR,"NEW DELHI",173
"VISHAL SHARMA",Independent,"KARAWAL NAGAR","NEW DELHI",173
"GANDHI GAUTAM","Aazad Samaj Party (Kanshi Ram)","LAXMI NAGAR","NEW DELHI",173
"MANOJ KUMAR",Independent,NAJAFGARH,"NEW DELHI",173
"ASHOK JINDAL",Independent,DWARKA,"NEW DELHI",172
"SATISH KUMAR GULLIYA","Bhartiya Rashtrawadi Party","GREATER KAILASH","NEW DELHI",171
"ASHOK BAMBANI",Independent,JANGPURA,"NEW DELHI",171
KHILKHILAKAR,"Bahujan Shoshit Samaj Sangharsh Samta Party","MANGOL PURI","NEW DELHI",171
"GAURI SHANKAR",Independent,"MOTI NAGAR","NEW DELHI",170
"SHYAM BABU","Gareeb Aadmi Party","UTTAM NAGAR","NEW DELHI",168
"SURENDER SINGH","Swaraj Bhartiya Nyay Party",KONDLI,"NEW DELHI",167
"DAYA RAM GURJAR",Independent,CHHATARPUR,"NEW DELHI",167
"TARUN KUMAR","Republican Sena",TIMARPUR,"NEW DELHI",167
"VIDYA PATTI",Independent,RITHALA,"NEW DELHI",167
"SUNIL KUMAR","National Loktantrik Party",MUNDKA,"NEW DELHI",166
"SANJAY MISHRA (SITARAM)","Nationalist Congress Party","KARAWAL NAGAR","NEW DELHI",165
"VIJAY KUMAR","Bahujan Samaj Party","SHAKUR BASTI","NEW DELHI",164
"SAROJ BALA","Swatantra Jantaraj Party",SEEMAPURI,"NEW DELHI",163
"DR. BHUPENDRA CHAURASIYA","Yuva Bharat Rashtraseva Party","MALVIYA NAGAR","NEW DELHI",162
"KANCHAN SHARMA","Rashtriya Manav Party","NANGLOI JAT","NEW DELHI",162
"PRABHAT KUMAR","One Bharat Citizen Party",MATIALA,"NEW DELHI",162
"GURMEET SINGH","Jai Maha Bharath Party","VISHWAS NAGAR","NEW DELHI",161
"PARTEEK GUPTA",Independent,"KASTURBA NAGAR","NEW DELHI",158
"ASHISH KUMAR",Independent,SEEMAPURI,"NEW DELHI",158
"ARUN KUMAR",Independent,BADLI,"NEW DELHI",158
"VINOD KUMAR CHAUHAN","Suheldev Bharatiya Samaj Party",MATIALA,"NEW DELHI",157
GULFAM,Independent,"GANDHI NAGAR","NEW DELHI",156
NISHTHA,"Jai Maha Bharath Party",RITHALA,"NEW DELHI",155
"PRAVEEN KUMAR BHARTI","Aazad Samaj Party (Kanshi Ram)","RAJINDER NAGAR","NEW DELHI",155
"RAVINDRA SINGH RAVIYODAYA","Bahujan Samaj Party",JANGPURA,"NEW DELHI",155
"PUNAM PANDEY","Rashtravadi Loktantrik Party (India)",BIJWASAN,"NEW DELHI",153
"RAMSWAROOP SAMRIA",Independent,"SULTANPUR MAJRA","NEW DELHI",152
"MAHENDER SINGH RATHOR","Rashtriya Lok Sevak Party","NANGLOI JAT","NEW DELHI",152
"MOHD USMAN BAKHSH","Rashtriya Janmorcha",MUSTAFABAD,"NEW DELHI",151
"KARAN SINGH","Swaraj Bhartiya Nyay Party","SULTANPUR MAJRA","NEW DELHI",151
"SHIV PRASAD VERMA","Bahujan Samaj Party","RAJINDER NAGAR","NEW DELHI",150
"MAHESH KUMAR","Bahujan Samaj Party","KASTURBA NAGAR","NEW DELHI",150
"ASHOK AGYANI",Independent,"DELHI CANTT","NEW DELHI",149
"FIRDOS ALAM","Bhartiya Insan Party",OKHLA,"NEW DELHI",148
"BIR SAIN","Bharatiya Sarvodaya Kranti Party",GOKALPUR,"NEW DELHI",145
"KAMAL KISHORE","National Youth Party",SHAHDARA,"NEW DELHI",145
SHWETA,Independent,"TILAK NAGAR","NEW DELHI",145
UMANG,Independent,"RAJINDER NAGAR","NEW DELHI",144
"BHAVISH DHANKAR","Bhartiya Rashtriya Jansatta","MALVIYA NAGAR","NEW DELHI",144
"REKHA SINGH",Independent,TUGHLAKABAD,"NEW DELHI",143
"SUDHIR NEGI","Matrubhoomi Sewa Party","SANGAM VIHAR","NEW DELHI",143
"RAJESH KUMAR",Independent,"SHALIMAR BAGH","NEW DELHI",143
"PARAG JAIN","Aam Aadmi Parivartan Party","VISHWAS NAGAR","NEW DELHI",142
VIRENDER,"Bahujan Samaj Party","NEW DELHI","NEW DELHI",142
"RAM NIWAS",Independent,"ADARSH NAGAR","NEW DELHI",140
"SHARDA SINGH","Right to Recall Party",MEHRAULI,"NEW DELHI",140
"RANJEET KUMAR","Rashtriya Manav Party",VIKASPURI,"NEW DELHI",139
"GOPAL PRASAD","Delhi Janta Party",PATPARGANJ,"NEW DELHI",137
"MAHENDER KUMAR",Independent,"SANGAM VIHAR","NEW DELHI",136
"SARITA SINGH","Akhil Bharatiya Socialist Party",TRILOKPURI,"NEW DELHI",136
VIKAS,"Aapsi Sahyog Party","LAXMI NAGAR","NEW DELHI",135
"RAM BAHADUR","Akhil Bhartiya Manavatavadi Party",BADARPUR,"NEW DELHI",134
"SURESHPAL JAINTH",Independent,GOKALPUR,"NEW DELHI",133
"KHURSHEED ABBAS ZAIDI","Rashtriya Bahujan Congress Party",TUGHLAKABAD,"NEW DELHI",133
"SANJEEV KUMAR RANA","Communist Party of India","ADARSH NAGAR","NEW DELHI",133
"POONAM MAINI","National Youth Party","KRISHNA NAGAR","NEW DELHI",131
"ARAVENDRA KUMAR","Suheldev Bharatiya Samaj Party",DWARKA,"NEW DELHI",131
"BABU LAL",Independent,BALLIMARAN,"NEW DELHI",131
"RAJNEESH KUMAR JHA","National Youth Party",DWARKA,"NEW DELHI",130
"TEJ RAM","Bahujan Samaj Party","MATIA MAHAL","NEW DELHI",130
"MANJEET SINGH","Jan Samuh Party",GOKALPUR,"NEW DELHI",129
RAJNI,Independent,MUNDKA,"NEW DELHI",129
SEEMA,"Peoples Party of India (Democratic)","KARAWAL NAGAR","NEW DELHI",128
"KANEEZ FATIMA","Aihra National Party",OKHLA,"NEW DELHI",126
"GOURAV BOTHRA","Right to Recall Party","MOTI NAGAR","NEW DELHI",124
"MOHAMMAD ABDULLAH ANSARI",Independent,BABARPUR,"NEW DELHI",124
"ANITA BANSAL","Asankhya Samaj Party","SADAR BAZAR","NEW DELHI",123
"JITENDER KUMAR",Independent,MUSTAFABAD,"NEW DELHI",122
"NIKHIL KUMAR PIPAL","Right to Recall Party",KONDLI,"NEW DELHI",122
"YOGESH KUMAR SHARMA","Right to Recall Party",MATIALA,"NEW DELHI",121
BIJENDER,"Haryana Jansena Party",JANGPURA,"NEW DELHI",119
"CHANDER PAL",Independent,"MODEL TOWN","NEW DELHI",119
"VIVEK GIRI","Aapki Apni Party (Peoples)","MODEL TOWN","NEW DELHI",118
ABHISHEK,"Jai Maha Bharath Party",ROHINI,"NEW DELHI",118
"VISHAL GUPTA",Independent,RITHALA,"NEW DELHI",117
"DIBLU SINGH",Independent,PATPARGANJ,"NEW DELHI",117
"VIJAY KR. AGGARWAL",Independent,"ADARSH NAGAR","NEW DELHI",116
"SHIV KUMAR","Rashtriya Aikta Manch Party","KAROL BAGH","NEW DELHI",116
"SURENDRA SINGH BASOYA","Peoples Party of India (Democratic)","TRI NAGAR","NEW DELHI",115
"ANDEEP DRALL",Independent,MUNDKA,"NEW DELHI",115
TAMANA,"Yuva Bharat Rashtraseva Party","SHAKUR BASTI","NEW DELHI",115
BABITA,"Yuva Bharat Rashtraseva Party",GHONDA,"NEW DELHI",114
"AYASHA KHATOON","Peoples Party of India (Democratic)",RITHALA,"NEW DELHI",114
AMRINA,Independent,BIJWASAN,"NEW DELHI",113
"DEEPAK CHAWLA","Republican Party of India (Athawale)",TIMARPUR,"NEW DELHI",113
RAVI,Independent,MADIPUR,"NEW DELHI",113
"RAJKUMAR BHARTI","Peoples Party of India (Democratic)",TIMARPUR,"NEW DELHI",112
"NEETU SINGH",Independent,"ADARSH NAGAR","NEW DELHI",111
"RAJESH KUMAR LOHIYA","Nationalist Congress Party",SEEMAPURI,"NEW DELHI",110
"RAM RAJ SINGH","Rashtriya Janshakti Party (Secular)",TIMARPUR,"NEW DELHI",109
"JAGDISH  OJHA",Independent,PATPARGANJ,"NEW DELHI",108
"SANGH PRIYA SIDDHARTHA","Bhim Sena",TIMARPUR,"NEW DELHI",107
"DEEPAK PANDEY","Magadh Congress of Inda","LAXMI NAGAR","NEW DELHI",107
"MOHD NAZIR","Republican Party of India (Athawale)","SEELAM PUR","NEW DELHI",107
BRIJPAL,"Bharatiya Sampuran Krantikari Party",BADARPUR,"NEW DELHI",107
"ROHIT KASHYAP","Hamara Sahi Vikalp Party",MADIPUR,"NEW DELHI",105
"AJAY KUMAR SINGH",Independent,RITHALA,"NEW DELHI",104
"GAUTAM SINGH BIHARI",Independent,DWARKA,"NEW DELHI",104
"VIJAY LAL TAMTA","Peoples Party of India (Democratic)",MEHRAULI,"NEW DELHI",104
"ASHOK KUMAR",Independent,"AMBEDKAR NAGAR","NEW DELHI",102
"RAMESH ADVOCATE",Independent,"R. K. PURAM","NEW DELHI",100
"RAJESH GUPTA","Bharat Lok Sewak Party","SHAKUR BASTI","NEW DELHI",100
"AMARJEET PRASAD","Communist Party of India  (Marxist-Leninist)  (Liberation)",KONDLI,"NEW DELHI",100
"CA SOHARSH GULGULIA JAIN","Jantantrik Samta Party","SADAR BAZAR","NEW DELHI",100
NEERAJ,"New India United Party","KARAWAL NAGAR","NEW DELHI",100
"NEERAJ CHOURASIYA","Yuva Bharat Rashtraseva Party","R. K. PURAM","NEW DELHI",99
"MOHD. USMAN",Independent,"SHALIMAR BAGH","NEW DELHI",98
"MAYANK MEHTA",Independent,"HARI NAGAR","NEW DELHI",98
"PREM PAL SINGH","Rashtriya Janshakti Party (Secular)",VIKASPURI,"NEW DELHI",97
"VIDHAYAK VIRENDRA PRADHAN GURJAR","Samrat Mihir Bhoj Samaj Party","KRISHNA NAGAR","NEW DELHI",96
"NARENDER SINGH","Republican Sena",BIJWASAN,"NEW DELHI",96
"RAMESH JAGANNATH SHAH","Delhi Janta Party","GREATER KAILASH","NEW DELHI",96
MAHAVIR,"All India Forward Bloc",MUNDKA,"NEW DELHI",94
"AMAR NATH",Independent,"MATIA MAHAL","NEW DELHI",93
"BHARAT SINGH","Peoples Party of India (Democratic)",NAJAFGARH,"NEW DELHI",93
"BHUPENDER YADAV","Janhit Dal",BABARPUR,"NEW DELHI",93
"AMIT SAINI","Jan Samuh Party",ROHINI,"NEW DELHI",92
"SOM DUTT SHARMA",Independent,BIJWASAN,"NEW DELHI",92
"MULAYAM SINGH","Nationalist Congress Party",BADLI,"NEW DELHI",92
"RAJIV KUMAR BABBAR",Independent,"TILAK NAGAR","NEW DELHI",91
"MOHD OJER","Azad Adhikar Sena",JANAKPURI,"NEW DELHI",91
ABHISHEK,"Nationalist Congress Party","ROHTAS NAGAR","NEW DELHI",91
"RAKESH RANJAN SHRIVASTAV","Janhit Dal",TIMARPUR,"NEW DELHI",91
"SABIR KHAN",Independent,"HARI NAGAR","NEW DELHI",91
"NAVEEN KUMAR","Hamara Sahi Vikalp Party",BIJWASAN,"NEW DELHI",91
"BABU LAL","Bharatiya Sampuran Krantikari Party","SULTANPUR MAJRA","NEW DELHI",91
"CHARAN SINGH MALIYAN","Right to Recall Party",GOKALPUR,"NEW DELHI",91
YOGENDER,"Bharatiya Sampuran Krantikari Party","KARAWAL NAGAR","NEW DELHI",90
"SHIV KUMAR(KAKE)","Sarvodaya Prabhat Party",BABARPUR,"NEW DELHI",89
"JAYA RAMAN","Sanjhi Virasat Party","RAJOURI GARDEN","NEW DELHI",89
SANJAY,Independent,KALKAJI,"NEW DELHI",89
"MOHINDER SINGH","Rashtriya Rashtrawadi Party",MATIALA,"NEW DELHI",88
"DEEPAK KUMAR",Independent,"KAROL BAGH","NEW DELHI",88
PERMILA,Independent,"R. K. PURAM","NEW DELHI",88
"ASHOK SURANA",Independent,SHAHDARA,"NEW DELHI",87
"YOGENDER SINGH ALIAS YOGI MATHUR","Akhil Bharatiya Socialist Party",MUNDKA,"NEW DELHI",87
"CHAMAN LAL","Peoples Party of India (Democratic)",TUGHLAKABAD,"NEW DELHI",86
"RAJIV KUMAR","Bhartiya Rashtrawadi Party","AMBEDKAR NAGAR","NEW DELHI",85
"RAJAN SINGH","Aam Janta Party (India)",KALKAJI,"NEW DELHI",85
"VISHAL SANGWAN","Right to Recall Party","RAJOURI GARDEN","NEW DELHI",84
SHUBHAM,"Right to Recall Party",GHONDA,"NEW DELHI",84
SANTOSH,"Indian National Socialistic Action Forces",MUNDKA,"NEW DELHI",84
"LAXMI THAKUR SINGHAL","Abhinav Bharat Party","SADAR BAZAR","NEW DELHI",84
"MOHD ISLAM","Right to Recall Party",OKHLA,"NEW DELHI",83
"MOHAN LAL BHARDWAJ","Bharatheeya Jawan Kisan Party","HARI NAGAR","NEW DELHI",83
SIRAJUDDIN,"Aazad Samaj Party (Kanshi Ram)","SANGAM VIHAR","NEW DELHI",83
PREETI,"Yuva Bharat Rashtraseva Party","SULTANPUR MAJRA","NEW DELHI",82
"PREETAM CHAND","Rashtriya Janshakti Party (Secular)","HARI NAGAR","NEW DELHI",81
"KHALID UR REHMAN","Nationalist Congress Party","CHANDNI CHOWK","NEW DELHI",81
"SUNIL KUMAR KUKREJA",Independent,JANGPURA,"NEW DELHI",80
"MD NAVEEN","Nationalist Congress Party",JANAKPURI,"NEW DELHI",80
"RAJIV BHRIGUKUMAR","Rashtriya Lok Janshakti Party","UTTAM NAGAR","NEW DELHI",79
"RAKESH SAGAR","Blue India Party",JANGPURA,"NEW DELHI",78
"QAMAR ALI","Nationalist Congress Party","SANGAM VIHAR","NEW DELHI",78
HANSA,Independent,BALLIMARAN,"NEW DELHI",77
"RICHA KUMARI","Republican Sena",CHHATARPUR,"NEW DELHI",77
"GOPAL KUMAR SINHA","Bharatiya Sampuran Krantikari Party",BADLI,"NEW DELHI",76
"LOKESH KUMAR MASTERJI","Rashtriya Rashtrawadi Party","R. K. PURAM","NEW DELHI",76
"MANOJ KUMAR","Akhil Bharatiya Socialist Party",BABARPUR,"NEW DELHI",76
"DR. MUNISH KUMAR RAIZADA","Bharatiya Liberal Party","NEW DELHI","NEW DELHI",76
"RAI SINGH",Independent,"R. K. PURAM","NEW DELHI",76
HARISH,Independent,"MOTI NAGAR","NEW DELHI",76
"JUGAL CHAWLA",Independent,"SHAKUR BASTI","NEW DELHI",76
"MEHAR CHARAN","Samaj Vikas Kranti Party",DWARKA,"NEW DELHI",76
"NASIRUDDIN GAURI","Rashtriya Republican Party",MUSTAFABAD,"NEW DELHI",75
"ANIL KUMAR","Bhartiya Rashtrawadi Party",JANGPURA,"NEW DELHI",74
"RAVI RATHORE","Republican Sena",DWARKA,"NEW DELHI",74
"JAGDISH KUMAR GARG",Independent,"LAXMI NAGAR","NEW DELHI",74
"NIRAJ KUMAR","National Youth Party",MATIALA,"NEW DELHI",73
"ANURADHA RANA",Independent,"NEW DELHI","NEW DELHI",72
SANGEETA,"Rashtriya Lok Sevak Party","SULTANPUR MAJRA","NEW DELHI",72
"MOHD SHAFI",Independent,"SEELAM PUR","NEW DELHI",72
"SURENDER KUMAR","Peoples Party of India (Democratic)","DELHI CANTT","NEW DELHI",72
"MOHD. SHADAB",Independent,BALLIMARAN,"NEW DELHI",72
"SURESH PAL JAINTH",Independent,"ROHTAS NAGAR","NEW DELHI",72
"SANDHIYA TIWARI","Akhil Bharatiya Socialist Party","KARAWAL NAGAR","NEW DELHI",71
"RAHUL KUMAR","Right to Recall Party",NAJAFGARH,"NEW DELHI",71
LAXMI,"Republican Party of India (Athawale)","SULTANPUR MAJRA","NEW DELHI",70
