constituency_code,constituency,party,candidate,third_place_vote_pct,party_avg_vote_pct,overperformance_pct,total_candidates,margin_votes
S11134,THIRUVANANTHAPURAM,Bharatiya Janata Party,KARAMANA JAYAN,29.15,16.46,12.69,12,9863
S1168,NATTIKA,Bharatiya Janata Party,C.C. MUKUNDAN,28.70,16.46,12.24,4,7093
S11133,VATTIYOORKAVU,Bharatiya Janata Party,R. SREELEKHA,28.68,16.46,12.22,9,5425
S1127,KOZHIKODE NORTH,Bharatiya Janata Party,NAVYA HARIDAS,28.19,16.46,11.73,11,1483
S11138,KATTAKKADA,Bharatiya Janata Party,P. K. KRISHNADAS,26.14,16.46,9.68,6,7136
S1193,PALA,Bharatiya Janata Party,SHONE GEORGE,25.99,16.46,9.53,8,2991
S11101,POONJAR,Bharatiya Janata Party,P.C. GEORGE,24.98,16.46,8.52,8,6693
S11129,CHIRAYINKEEZHU,Bharatiya Janata Party,B. S. ANOOP,22.31,16.46,5.85,6,1422
S1164,MANALUR,Bharatiya Janata Party,ADV K K ANEESHKUMAR,22.24,16.46,5.78,11,126
S1173,KODUNGALLUR,Twenty 20 Party,DR. VARGHESE GEORGE,16.18,11.09,5.09,7,8308
S1169,KAIPAMANGALAM,Bharath Dharma Jana Sena,ATHULLIAGHOSH VETTIYATTIL,13.78,8.96,4.82,7,9944
S11102,AROOR,Bharath Dharma Jana Sena,ADV. P.S. JYOTHIS,12.55,8.96,3.59,7,9324
S11112,RANNI,Twenty 20 Party,THOMAS K SAMUEL (BLESSON),14.53,11.09,3.44,5,4344
S11100,KANJIRAPPALLY,Bharatiya Janata Party,ADV. GEORGE KURIAN,19.84,16.46,3.38,5,5772
S11127,VARKALA,Bharatiya Janata Party,ADV.SMITHA SUNDARESAN,19.82,16.46,3.36,10,2050
