constituency_code,constituency,state,total_votes
S1130,KUNNAMANGALAM,KERALA,208949
S1136,WANDOOR,KERALA,203168
S1145,TIRUR,KERALA,198509
S1140,MALAPPURAM,KERALA,196885
S118,TALIPARAMBA,KERALA,192175
S1133,KONDOTTY,KERALA,191625
S1125,BALUSSERI,KERALA,191315
S1146,KOTTAKKAL,KERALA,191211
S1137,MANJERI,KERALA,190019
S1135,NILAMBUR,KERALA,189595
S1122,NADAPURAM,KERALA,188712
S111,MANJESHWAR,KERALA,187801
S1139,MANKADA,KERALA,187686
S1138,PERINTHALMANNA,KERALA,186088
S1129,BEYPORE,KERALA,185150
S1142,VALLIKUNNU,KERALA,181022
S113,UDMA,KERALA,180816
S1121,KUTTIADI,KERALA,178106
S1126,ELATHUR,KERALA,177765
S1118,SULTHANBATHERY,KERALA,176938
S1143,TIRURANGADI,KERALA,176214
S114,KANHANGAD,KERALA,175777
S1119,KALPETTA,KERALA,173441
S11116,KARUNAGAPPALLY,KERALA,172736
S1123,QUILANDY,KERALA,172425
S1144,TANUR,KERALA,172324
S11103,CHERTHALA,KERALA,172221
S1124,PERAMBRA,KERALA,172086
S1112,DHARMADAM,KERALA,171659
S1164,MANALUR,KERALA,171387
S115,TRIKARIPUR,KERALA,170904
S1141,VENGARA,KERALA,170289
S1152,OTTAPPALAM,KERALA,170104
S1115,MATTANNUR,KERALA,169858
S1150,PATTAMBI,KERALA,169436
S112,KASARAGOD,KERALA,169203
S1154,MANNARKKAD,KERALA,168781
S1134,ERNAD,KERALA,168681
S1131,KODUVALLY,KERALA,165988
S1117,MANANTHAVADY,KERALA,165006
S11123,KUNDARA,KERALA,164414
S1114,KUTHUPARAMBA,KERALA,164202
S11118,KUNNATHUR,KERALA,164101
S1147,THAVANUR,KERALA,163886
S1165,WADAKKANCHERY,KERALA,163634
S1177,KALAMASSERY,KERALA,163345
S1161,CHELAKKARA,KERALA,163151
S1155,MALAMPUZHA,KERALA,162305
S1149,THRITHALA,KERALA,162186
S1163,GURUVAYOOR,KERALA,162039
S11102,AROOR,KERALA,161974
S1148,PONNANI,KERALA,161973
S1184,KUNNATHUNAD,KERALA,161066
S1151,SHORNUR,KERALA,160123
S117,KALLIASSERI,KERALA,159867
S1178,PARAVUR,KERALA,159555
S1176,ALUVA,KERALA,158962
S11130,NEDUMANGAD,KERALA,158894
S11104,ALAPPUZHA,KERALA,157661
S1168,NATTIKA,KERALA,157535
S11113,ARANMULA,KERALA,157450
S1132,THIRUVAMBADI,KERALA,156680
S116,PAYYANNUR,KERALA,155970
S11108,KAYAMKULAM,KERALA,155399
S11139,KOVALAM,KERALA,155237
S11137,PARASSALA,KERALA,155008
S1181,THRIPUNITHURA,KERALA,154527
S1171,PUDUKKAD,KERALA,154161
S1162,KUNNAMKULAM,KERALA,153735
S11122,CHADAYAMANGALAM,KERALA,153260
S1185,PIRAVOM,KERALA,152386
S1170,IRINJALAKUDA,KERALA,152241
S1166,OLLUR,KERALA,151990
S119,IRIKKUR,KERALA,151645
S1159,NEMMARA,KERALA,150497
S11128,ATTINGAL,KERALA,149916
S11115,ADOOR,KERALA,149670
S11131,VAMANAPURAM,KERALA,149082
S11119,KOTTARAKKARA,KERALA,148854
S1153,KONGAD,KERALA,148655
