constituency_code,candidate,party,constituency,state,winner_votes
S11131,MUHAMMED SUDHEERSHA S,Indian National Congress,VAMANAPURAM,KERALA,73590
S11117,SHIBU BABY JOHN,Revolutionary Socialist Party,CHAVARA,KERALA,74308
S11102,ADV. SHANIMOL OSMAN,Indian National Congress,AROOR,KERALA,74469
S1174,MANOJ MOOTHEDAN,Indian National Congress,PERUMBAVOOR,KERALA,75088
S11105,G.SUDHAKARAN,Independent,AMBALAPPUZHA,KERALA,75184
S1152,ADV. K. PREMKUMAR,Communist Party of India (Marxist),OTTAPPALAM,KERALA,75362
S1161,U R PRADEEP,Communist Party of India (Marxist),CHELAKKARA,KERALA,76073
S1116,ADV. SUNNY JOSEPH,Indian National Congress,PERAVOOR,KERALA,76140
S112,KALLATRA MAHIN,Indian Union Muslim League,KASARAGOD,KERALA,76396
S1149,V T BALRAM,Indian National Congress,THRITHALA,KERALA,76427
S116,V. KUNHIKRISHNAN,Independent,PAYYANNUR,KERALA,76640
S11108,ADV.M.LIJU,Indian National Congress,KAYAMKULAM,KERALA,76651
S1132,C K KASIM,Indian Union Muslim League,THIRUVAMBADI,KERALA,77140
S1117,USHA VIJAYAN,Indian National Congress,MANANTHAVADY,KERALA,77425
S1126,ADV.VIDYA BALAKRISHNAN,Indian National Congress,ELATHUR,KERALA,77662
S1175,ROJI M JOHN,Indian National Congress,ANGAMALY,KERALA,78331
S1178,ADV.V.D.SATHEESAN,Indian National Congress,PARAVUR,KERALA,78658
S113,NEELAKANDAN,Indian National Congress,UDMA,KERALA,78910
S1118,I C BALAKRISHNAN,Indian National Congress,SULTHANBATHERY,KERALA,78936
S11139,ADV. M.VINCENT,Indian National Congress,KOVALAM,KERALA,79661
S1147,ADV. V S JOY,Indian National Congress,THAVANUR,KERALA,79661
S1123,ADV. K. PRAVEEN KUMAR,Indian National Congress,QUILANDY,KERALA,79913
S114,ADV. GOVINDAN PALLIKAPPIL,Communist Party of India,KANHANGAD,KERALA,79920
S1150,MUHAMMED MUHASSIN,Communist Party of India,PATTAMBI,KERALA,80062
S1177,ADV. V E ABDUL GAFOOR,Indian Union Muslim League,KALAMASSERY,KERALA,80606
S1148,K.P NOUSHAD ALI,Indian National Congress,PONNANI,KERALA,80674
S11104,A.D THOMAS,Indian National Congress,ALAPPUZHA,KERALA,81065
S117,M.VIJIN,Communist Party of India (Marxist),KALLIASSERI,KERALA,81428
S1124,ADV. FATHIMA THAHILIYA,Indian Union Muslim League,PERAMBRA,KERALA,81429
S1115,V K  SANOJ,Communist Party of India (Marxist),MATTANNUR,KERALA,81456
S11118,ULLAS  KOVUR,Revolutionary Socialist Party,KUNNATHUR,KERALA,81488
S1129,P.A MOHAMED RIYAS,Communist Party of India (Marxist),BEYPORE,KERALA,81849
S11116,C.R. MAHESH,Indian National Congress,KARUNAGAPPALLY,KERALA,82593
S115,SANDEEP VARIER,Indian National Congress,TRIKARIPUR,KERALA,83109
S11103,P. PRASAD,Communist Party of India,CHERTHALA,KERALA,83216
S1183,UMA THOMAS,Indian National Congress,THRIKKAKARA,KERALA,83375
S1176,ANWAR SADATH,Indian National Congress,ALUVA,KERALA,83899
S1198,ADV. CHANDY OOMMEN,Indian National Congress,PUTHUPPALLY,KERALA,84031
S1190,APU JOHN JOSEPH,Kerala Congress,THODUPUZHA,KERALA,84796
S1112,PINARAYI VIJAYAN,Communist Party of India (Marxist),DHARMADAM,KERALA,85614
S11123,P. C. VISHNUNADH,Indian National Congress,KUNDARA,KERALA,87862
S1121,PARAKKAL ABDULLA,Indian Union Muslim League,KUTTIADI,KERALA,88197
S1185,ANOOP JACOB,Kerala Congress (Jacob),PIRAVOM,KERALA,89551
S1186,DR. MATHEW KUZHALNADAN,Indian National Congress,MUVATTUPUZHA,KERALA,89914
S1154,ADV. N. SAMSUDHEEN,Indian Union Muslim League,MANNARKKAD,KERALA,90606
S119,ADV. SAJEEV JOSEPH,Indian National Congress,IRIKKUR,KERALA,90895
S118,T K GOVINDAN MASTER S/O KUNHIKKANNAN NAMBIAR,Independent,TALIPARAMBA,KERALA,91339
S1130,M.A. RAZAK MASTER,Indian Union Muslim League,KUNNAMANGALAM,KERALA,91598
S1144,P K NAVAS,Indian Union Muslim League,TANUR,KERALA,91992
S1125,V.T. SOORAJ,Indian National Congress,BALUSSERI,KERALA,94804
S1131,P K FIROS,Indian Union Muslim League,KODUVALLY,KERALA,95164
S1141,K.M. SHAJI,Indian Union Muslim League,VENGARA,KERALA,95863
S111,A K M ASHRAF,Indian Union Muslim League,MANJESHWAR,KERALA,96948
S1119,ADV. T SIDDIQUE,Indian National Congress,KALPETTA,KERALA,97379
S1134,P.K.BASHEER,Indian Union Muslim League,ERNAD,KERALA,98547
S1122,K.M. ABHIJITH,Indian National Congress,NADAPURAM,KERALA,99763
S1142,T V IBRAHIM,Indian Union Muslim League,VALLIKUNNU,KERALA,100718
S1138,NAJEEB KANTHAPURAM,Indian Union Muslim League,PERINTHALMANNA,KERALA,104888
S1145,KURUKKOLI MOIDEEN,Indian Union Muslim League,TIRUR,KERALA,106108
S1139,MANJALAMKUZHI ALI,Indian Union Muslim League,MANKADA,KERALA,110692
S1143,P M A SAMEER,Indian Union Muslim League,TIRURANGADI,KERALA,111869
S1135,ARYADAN SHOUKATH,Indian National Congress,NILAMBUR,KERALA,113586
S1137,ADV. M. RAHMATHULLA,Indian Union Muslim League,MANJERI,KERALA,113622
S1133,T.P. ASHRAFALI,Indian Union Muslim League,KONDOTTY,KERALA,114997
S1146,PROF. ABID HUSSAIN THANGAL,Indian Union Muslim League,KOTTAKKAL,KERALA,118111
S1136,A.P ANILKUMAR,Indian National Congress,WANDOOR,KERALA,121074
S1140,P.K KUNHALIKUTTY,Indian Union Muslim League,MALAPPURAM,KERALA,131632
