party,silver_medals
Communist Party of India (Marxist),50
Indian National Congress,25
Independent,16
Communist Party of India,16
Kerala Congress (M),12
Bharatiya Janata Party,6
Indian Union Muslim League,4
Nationalist Congress Party - Sharadchandra Pawar,3
Rashtriya Janata Dal,2
Kerala Congress,1
Kerala Congress (B),1
Indian Socialist Janata Dal,1
Kerala Revolutionary Socialist Party (Leninist- Marxist),1
Indian National League,1
Congress (Secular),1
