constituency,candidate,party,runner_up_vote_pct,party_avg_vote_pct,overperformance_pct,total_constituencies_contested
BEYPORE,P V ANVAR S/O SHOUKATHALI,Independent,40.16,3.00,37.16,282
THAVANUR,DR. K T JALEEL,Independent,39.67,3.00,36.67,282
CHAVARA,DR.SUJITH VIJAYANPILLAI,Independent,39.16,3.00,36.16,282
VENGARA,SABAH KUNDUPUZHAKKAL,Independent,38.49,3.00,35.49,282
TANUR,MOHAMED SAMEER T THIRUTHIYIL HOUSE,Independent,37.64,3.00,34.64,282
KUNNAMANGALAM,ADV. P T A RAHIM,Independent,37.47,3.00,34.47,282
KODUVALLY,SALEEM MADAVOOR,Independent,35.23,3.00,32.23,282
MANKADA,KUNNATH MOHAMED S/O ALI HAJI,Independent,34.68,3.00,31.68,282
NILAMBUR,U SHARAFALI,Independent,30.98,3.00,27.98,282
KOVALAM,BHAGATH RUFUS,Independent,30.25,3.00,27.25,282
THIRUVANANTHAPURAM,SUDHIR KARAMANA,Independent,29.65,3.00,26.65,282
MANJERI,V.M. MUSTHAFA,Independent,29.33,3.00,26.33,282
CHELAKKARA,SIVADASAN (SIVAN VEETTIKUNNU),Independent,28.62,3.00,25.62,282
OTTAPPALAM,P.K SASI P.K.S S/O PADMINI AMMA,Independent,28.56,3.00,25.56,282
VALLIKUNNU,ADV. MUSTHAFA,Independent,27.31,3.00,24.31,282
