party
Aam Aadmi Party
All India Hindustan Congress Party
Ambedkarite Party of India
Bahujan Dravida Party
Bahujan Samaj Party
Bharath Dharma Jana Sena
Bharatheeya Jawan Kisan Party
Bharatiya Janata Party
Communist Marxist Party Kerala State Committee
Communist Party of India
Communist Party of India (Marxist)
Communist Party of India (Marxist-Leninist) (Liberation)
Communist Party of India (Marxist-Leninist) Red Star
Congress (Secular)
Democratic Human Rights Movement Party
Equality Party of India
Independent
Indian Gandhiyan Party
Indian National Congress
Indian National League
Indian Socialist Janata Dal
Indian Union Muslim League
Janam Rashtriya Party
Kerala Congress
Kerala Congress (B)
Kerala Congress (Jacob)
Kerala Congress (M)
Kerala Revolutionary Socialist Party (Leninist- Marxist)
Nationalist Congress Party
Nationalist Congress Party - Sharadchandra Pawar
None of the Above
Rashtravadi Janata Party
Rashtriya Janata Dal
Republican Party of India (Athawale)
Revolutionary Marxist Party of India
Revolutionary Socialist Party
Social Democratic Party Of India
Socialist Party (India)
Socialist Republican Party
Socialist Unity Centre Of India (COMMUNIST)
The Future India Party
Twenty 20 Party
