candidate,party,constituency,runner_up_vote_percentage
ADV.R.RAJENDRAN,Communist Party of India,CHATHANNOOR,34.820
THOTTATHIL RAVINDRAN,Communist Party of India (Marxist),KOZHIKODE NORTH,34.730
KUNNATH MOHAMED S/O ALI HAJI,Independent,MANKADA,34.680
ADV. SEBASTIAN KULATHUNKAL,Kerala Congress (M),POONJAR,34.670
ADV. ABI KURIAKOSE,Indian National Congress,CHENGANNUR,34.610
ADVOCATE A.M.ARIFF,Communist Party of India (Marxist),ALUVA,34.450
K SALIMKUMAR,Communist Party of India,PEERUMADE,34.270
KOVOOR  KUNJUMON,Kerala Revolutionary Socialist Party (Leninist- Marxist),KUNNATHUR,34.230
SAJU K P,Indian National Congress,THALASSERY,34.110
ADV. I. B. SATHEESH,Communist Party of India (Marxist),KATTAKKADA,33.990
ADV.SHAFEER KIZHISSERI,Communist Party of India,ERNAD,33.940
P.HARIGOVINDAN,Indian National Congress,SHORNUR,33.770
S. L. SAJIKUMAR,Communist Party of India (Marxist),KUNDARA,33.630
H. SALAM,Communist Party of India (Marxist),AMBALAPPUZHA,33.560
K N UNNIKRISHNAN,Communist Party of India (Marxist),THRIPUNITHURA,33.510
SOBHA SURENDRAN,Bharatiya Janata Party,PALAKKAD,33.330
ADV. V.K PRASANTH,Communist Party of India (Marxist),VATTIYOORKAVU,33.070
ADV. SUNIL LALOOR,Indian National Congress,NATTIKA,32.940
AHAMMAD DEVARKOVIL,Indian National League,KOZHIKODE SOUTH,32.760
VEENA GEORGE,Communist Party of India (Marxist),ARANMULA,32.450
ADV.M.S. THARA,Communist Party of India,KARUNAGAPPALLY,32.400
THOMAS K. THOMAS,Nationalist Congress Party - Sharadchandra Pawar,KUTTANAD,31.980
ADV. MATHEW KUNNAPPALLY,Kerala Congress (M),IRIKKUR,31.960
N ARUN,Communist Party of India,MUVATTUPUZHA,31.790
ASHWINI M L,Bharatiya Janata Party,KASARAGOD,31.740
BASIL PAUL,Kerala Congress (M),PERUMBAVOOR,31.620
SAJU PAUL,Communist Party of India (Marxist),ANGAMALY,31.580
NIRMALA JIMMY,Kerala Congress (M),KADUTHURUTHY,31.300
U SHARAFALI,Independent,NILAMBUR,30.980
T.T.JISMON,Communist Party of India,HARIPAD,30.940
DR. P. JIJI,Communist Party of India (Marxist),KONDOTTY,30.780
ANOOP ANTONY,Bharatiya Janata Party,THIRUVALLA,30.610
ADV. P SUDHEER,Bharatiya Janata Party,ATTINGAL,30.540
ADV. P. V. SREENIJIN,Communist Party of India (Marxist),KUNNATHUNAD,30.430
BHAGATH RUFUS,Independent,KOVALAM,30.250
P K ANIL KUMAR,Rashtriya Janata Dal,KALPETTA,30.180
C KRISHNAKUMAR,Bharatiya Janata Party,MALAMPUZHA,30.130
MEENANKAL KUMAR,Indian National Congress,NEDUMANGAD,29.970
SUDHIR KARAMANA,Independent,THIRUVANANTHAPURAM,29.650
SABU K JACOB,Kerala Congress (M),PIRAVOM,29.440
V.M. MUSTHAFA,Independent,MANJERI,29.330
PREETHI KONCHATH,Communist Party of India (Marxist),KOTTAKKAL,29.010
