constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
MANALUR,S1164,65211,Communist Party of India (Marxist),65337,126
KOTTARAKKARA,S11119,62914,Communist Party of India (Marxist),63926,1012
KONNI,S11114,58542,Communist Party of India (Marxist),60380,1838
VARKALA,S11127,53315,Communist Party of India (Marxist),55365,2050
ARUVIKKARA,S11136,59064,Communist Party of India (Marxist),61907,2843
PUDUKKAD,S1171,60283,Communist Party of India (Marxist),63136,2853
NEMMARA,S1159,63216,Communist Party of India (Marxist),66521,3305
KUNNAMKULAM,S1162,64959,Communist Party of India (Marxist),69522,4563
WADAKKANCHERY,S1165,65035,Communist Party of India (Marxist),70725,5690
NATTIKA,S1168,51886,Communist Party of India,58979,7093
ALATHUR,S1160,53011,Communist Party of India (Marxist),61564,8553
OLLUR,S1166,60819,Communist Party of India,69703,8884
PATTAMBI,S1150,70620,Communist Party of India,80062,9442
KAIPAMANGALAM,S1169,55504,Communist Party of India,65448,9944
CHENGANNUR,S11110,47567,Communist Party of India (Marxist),57859,10292
TARUR,S1157,48647,Communist Party of India (Marxist),60557,11910
MATTANNUR,S1115,67288,Communist Party of India (Marxist),81456,14168
CHERTHALA,S11103,68727,Communist Party of India,83216,14489
PARASSALA,S11137,54136,Communist Party of India (Marxist),69149,15013
MAVELIKKARA,S11109,51444,Communist Party of India (Marxist),67180,15736
SHORNUR,S1151,54066,Communist Party of India (Marxist),70583,16517
KALLIASSERI,S117,62995,Communist Party of India (Marxist),81428,18433
DHARMADAM,S1112,66367,Communist Party of India (Marxist),85614,19247
THALASSERY,S1113,49220,Communist Party of India (Marxist),69743,20523
NEDUMANGAD,S11130,47623,Communist Party of India,69206,21583
