constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S1166,KERALA,OLLUR,K RAJAN,Communist Party of India,69703,ADV. SHAJI J KODANKANDATH,Indian National Congress,60819,8884
S11102,KERALA,AROOR,ADV. SHANIMOL OSMAN,Indian National Congress,74469,DALEEMA,Communist Party of India (Marxist),65145,9324
S1150,KERALA,PATTAMBI,MUHAMMED MUHASSIN,Communist Party of India,80062,T. P. SHAJI,Indian National Congress,70620,9442
S11134,KERALA,THIRUVANANTHAPURAM,C P JOHN,Communist Marxist Party Kerala State Committee,45586,SUDHIR KARAMANA,Independent,35723,9863
S1169,KERALA,KAIPAMANGALAM,K.K. VALSARAJ,Communist Party of India,65448,T.M. NAZAR,Indian National Congress,55504,9944
S11111,KERALA,THIRUVALLA,ADV.VARGHESE MAMMEN,Kerala Congress,53224,ANOOP ANTONY,Bharatiya Janata Party,43078,10146
S1170,KERALA,IRINJALAKUDA,ADV. THOMAS UNNIYADAN,Kerala Congress,66282,DR.R.BINDU,Communist Party of India (Marxist),56070,10212
S11110,KERALA,CHENGANNUR,SAJI CHERIAN,Communist Party of India (Marxist),57859,ADV. ABI KURIAKOSE,Indian National Congress,47567,10292
S11115,KERALA,ADOOR,ADVOCATE C V  SANTHAKUMAR,Indian National Congress,66153,PRIJI KANNAN,Communist Party of India,55821,10332
S1117,KERALA,MANANTHAVADY,USHA VIJAYAN,Indian National Congress,77425,O R KELU,Communist Party of India (Marxist),66882,10543
S1128,KERALA,KOZHIKODE SOUTH,ADV. FYZAL BABU,Indian Union Muslim League,52680,AHAMMAD DEVARKOVIL,Indian National League,41885,10795
S1121,KERALA,KUTTIADI,PARAKKAL ABDULLA,Indian Union Muslim League,88197,K. P. KUNHAMMEDKUTTY MASTER,Communist Party of India (Marxist),77275,10922
S1157,KERALA,TARUR,SUMOD,Communist Party of India (Marxist),60557,SUBRAMANIAN K C,Indian National Congress,48647,11910
S1123,KERALA,QUILANDY,ADV. K. PRAVEEN KUMAR,Indian National Congress,79913,K. DASAN,Communist Party of India (Marxist),67843,12070
S1126,KERALA,ELATHUR,ADV.VIDYA BALAKRISHNAN,Indian National Congress,77662,A.K.SASEENDRAN S/O KUNJAMBU,Nationalist Congress Party - Sharadchandra Pawar,65500,12162
S11131,KERALA,VAMANAPURAM,MUHAMMED SUDHEERSHA S,Indian National Congress,73590,MURALEEDHARAN NAIR D K,Communist Party of India (Marxist),61405,12185
S118,KERALA,TALIPARAMBA,T K GOVINDAN MASTER S/O KUNHIKKANNAN NAMBIAR,Independent,91339,P K SHYAMALA TEACHER,Communist Party of India (Marxist),78788,12551
S1156,KERALA,PALAKKAD,RAMESH PISHARODY,Indian National Congress,62199,SOBHA SURENDRAN,Bharatiya Janata Party,49052,13147
S1148,KERALA,PONNANI,K.P NOUSHAD ALI,Indian National Congress,80674,ADV.M.K SAKKEER,Communist Party of India (Marxist),67407,13267
S1130,KERALA,KUNNAMANGALAM,M.A. RAZAK MASTER,Indian Union Muslim League,91598,ADV. P T A RAHIM,Independent,78285,13313
S11128,KERALA,ATTINGAL,O.S AMBIKA,Communist Party of India (Marxist),59163,ADV. P SUDHEER,Bharatiya Janata Party,45788,13375
S1115,KERALA,MATTANNUR,V K  SANOJ,Communist Party of India (Marxist),81456,CHANDRAN THILLANKERI,Indian National Congress,67288,14168
S1116,KERALA,PERAVOOR,ADV. SUNNY JOSEPH,Indian National Congress,76140,K K SHAILAJA TEACHER,Communist Party of India (Marxist),61687,14453
S11103,KERALA,CHERTHALA,P. PRASAD,Communist Party of India,83216,K.R. RAJENDRA PRASAD,Indian National Congress,68727,14489
S1147,KERALA,THAVANUR,ADV. V S JOY,Indian National Congress,79661,DR. K T JALEEL,Independent,65014,14647
S1120,KERALA,VADAKARA,K K REMA,Revolutionary Marxist Party of India,70117,M K BHASKARAN,Rashtriya Janata Dal,55255,14862
S11137,KERALA,PARASSALA,C K HAREENDRAN,Communist Party of India (Marxist),69149,NEYYATTINKARA SANAL,Indian National Congress,54136,15013
S114,KERALA,KANHANGAD,ADV. GOVINDAN PALLIKAPPIL,Communist Party of India,79920,SHAIJI OTTAPALLI,Kerala Congress,64604,15316
S11108,KERALA,KAYAMKULAM,ADV.M.LIJU,Indian National Congress,76651,ADV.U.PRATHIBHA,Communist Party of India (Marxist),61079,15572
S1179,KERALA,VYPEN,TONY CHAMMANY,Indian National Congress,66112,ADV. M. B. SHYNI,Communist Party of India (Marxist),50464,15648
S11109,KERALA,MAVELIKKARA,M.S. ARUN KUMAR,Communist Party of India (Marxist),67180,ADV. MUTHARA RAJ,Indian National Congress,51444,15736
S1177,KERALA,KALAMASSERY,ADV. V E ABDUL GAFOOR,Indian Union Muslim League,80606,P RAJEEVE,Communist Party of India (Marxist),64294,16312
S1151,KERALA,SHORNUR,P.MAMMIKUTTY,Communist Party of India (Marxist),70583,P.HARIGOVINDAN,Indian National Congress,54066,16517
S1118,KERALA,SULTHANBATHERY,I C BALAKRISHNAN,Indian National Congress,78936,M S VISWANATHAN,Communist Party of India (Marxist),62339,16597
S11124,KERALA,KOLLAM,ADV. BINDHU KRISHNA,Indian National Congress,63416,S. JAYAMOHAN,Communist Party of India (Marxist),46586,16830
S1187,KERALA,KOTHAMANGALAM,SHIBU THECKUMPURAM,Kerala Congress,73479,ANTONY JOHN,Communist Party of India (Marxist),56620,16859
S1125,KERALA,BALUSSERI,V.T. SOORAJ,Indian National Congress,94804,ADV. K.M. SACHINDEV,Communist Party of India (Marxist),77824,16980
S117,KERALA,KALLIASSERI,M.VIJIN,Communist Party of India (Marxist),81428,ADV. RAJEEVAN KAPPACHERI,Indian National Congress,62995,18433
S1181,KERALA,THRIPUNITHURA,DEEPAK JOY,Indian National Congress,70256,K N UNNIKRISHNAN,Communist Party of India (Marxist),51788,18468
S1111,KERALA,KANNUR,ADV.T.O. MOHANAN,Indian National Congress,70620,RAMACHANDRAN KADANNAPPALLI,Congress (Secular),52069,18551
S11117,KERALA,CHAVARA,SHIBU BABY JOHN,Revolutionary Socialist Party,74308,DR.SUJITH VIJAYANPILLAI,Independent,55735,18573
S11113,KERALA,ARANMULA,ABIN VARKEY KODIYATTU,Indian National Congress,70083,VEENA GEORGE,Communist Party of India (Marxist),51098,18985
S1112,KERALA,DHARMADAM,PINARAYI VIJAYAN,Communist Party of India (Marxist),85614,ADV. V.P ABDUL RASHEED,Indian National Congress,66367,19247
S1155,KERALA,MALAMPUZHA,A PRABHAKARAN,Communist Party of India (Marxist),68629,C KRISHNAKUMAR,Bharatiya Janata Party,48908,19721
S1196,KERALA,ETTUMANOOR,NATTAKOM SURESH,Indian National Congress,64077,V. N. VASAVAN,Communist Party of India (Marxist),44325,19752
S1189,KERALA,UDUMBANCHOLA,ADV. SENAPATHY VENU,Indian National Congress,64916,K.K. JAYACHANDRAN,Communist Party of India (Marxist),44895,20021
S1113,KERALA,THALASSERY,KARAYI RAJAN,Communist Party of India (Marxist),69743,SAJU K P,Indian National Congress,49220,20523
S1178,KERALA,PARAVUR,ADV.V.D.SATHEESAN,Indian National Congress,78658,E.T.TAISON MASTER,Communist Party of India,58058,20600
S11106,KERALA,KUTTANAD,REJI CHERIYAN,Kerala Congress,56594,THOMAS K. THOMAS,Nationalist Congress Party - Sharadchandra Pawar,35994,20600
S11104,KERALA,ALAPPUZHA,A.D THOMAS,Indian National Congress,81065,P.P.CHITHARANJAN,Communist Party of India (Marxist),60050,21015
S1184,KERALA,KUNNATHUNAD,V. P. SAJEENDRAN,Indian National Congress,70292,ADV. P. V. SREENIJIN,Communist Party of India (Marxist),49009,21283
S11121,KERALA,PUNALUR,C. AJAYAPRASAD,Communist Party of India,71944,NOUSHAD YOUNUS,Indian Union Muslim League,50415,21529
S11130,KERALA,NEDUMANGAD,G R ANIL,Communist Party of India,69206,MEENANKAL KUMAR,Indian National Congress,47623,21583
S112,KERALA,KASARAGOD,KALLATRA MAHIN,Indian Union Muslim League,76396,ASHWINI M L,Bharatiya Janata Party,53698,22698
S1172,KERALA,CHALAKUDY,SANEESHKUMAR JOSEPH,Indian National Congress,71202,ADV. BIJU S CHIRAYATH,Kerala Congress (M),48046,23156
S11107,KERALA,HARIPAD,RAMESH CHENNITHALA,Indian National Congress,68184,T.T.JISMON,Communist Party of India,44807,23377
S1122,KERALA,NADAPURAM,K.M. ABHIJITH,Indian National Congress,99763,ADV.P. VASANTHAM,Communist Party of India,76163,23600
S1191,KERALA,IDUKKI,ROY K PAULOSE,Indian National Congress,70562,ROSHY AUGUSTINE,Kerala Congress (M),46740,23822
S1145,KERALA,TIRUR,KURUKKOLI MOIDEEN,Indian Union Muslim League,106108,V.ABDURAHIMAN,Communist Party of India (Marxist),81971,24137
S11118,KERALA,KUNNATHUR,ULLAS  KOVUR,Revolutionary Socialist Party,81488,KOVOOR  KUNJUMON,Kerala Revolutionary Socialist Party (Leninist- Marxist),56174,25314
S1154,KERALA,MANNARKKAD,ADV. N. SAMSUDHEEN,Indian Union Muslim League,90606,MANZIL ABOOBACKER,Communist Party of India,64703,25903
S11116,KERALA,KARUNAGAPPALLY,C.R. MAHESH,Indian National Congress,82593,ADV.M.S. THARA,Communist Party of India,55975,26618
S1152,KERALA,OTTAPPALAM,ADV. K. PREMKUMAR,Communist Party of India (Marxist),75362,P.K SASI P.K.S S/O PADMINI AMMA,Independent,48585,26777
S1167,KERALA,THRISSUR,RAJAN. J. PALLAN,Indian National Congress,60290,ALANKODE LEELAKRISHNAN,Communist Party of India,33487,26803
S1144,KERALA,TANUR,P K NAVAS,Indian Union Muslim League,91992,MOHAMED SAMEER T THIRUTHIYIL HOUSE,Independent,64861,27131
S1192,KERALA,PEERUMADE,ADV.CYRIAC THOMAS,Indian National Congress,69672,K SALIMKUMAR,Communist Party of India,42038,27634
S11105,KERALA,AMBALAPPUZHA,G.SUDHAKARAN,Independent,75184,H. SALAM,Communist Party of India (Marxist),47249,27935
S1174,KERALA,PERUMBAVOOR,MANOJ MOOTHEDAN,Indian National Congress,75088,BASIL PAUL,Kerala Congress (M),46654,28434
S1176,KERALA,ALUVA,ANWAR SADATH,Indian National Congress,83899,ADVOCATE A.M.ARIFF,Communist Party of India (Marxist),54756,29143
S111,KERALA,MANJESHWAR,A K M ASHRAF,Indian Union Muslim League,96948,K SURENDRAN,Bharatiya Janata Party,67696,29252
S1161,KERALA,CHELAKKARA,U R PRADEEP,Communist Party of India (Marxist),76073,SIVADASAN (SIVAN VEETTIKUNNU),Independent,46687,29386
S1141,KERALA,VENGARA,K.M. SHAJI,Indian Union Muslim League,95863,SABAH KUNDUPUZHAKKAL,Independent,65538,30325
S1194,KERALA,KADUTHURUTHY,ADV.MONS JOSEPH,Kerala Congress,70353,NIRMALA JIMMY,Kerala Congress (M),39053,31300
S1138,KERALA,PERINTHALMANNA,NAJEEB KANTHAPURAM,Indian Union Muslim League,104888,V.P MOHAMMED HANEEFA,Communist Party of India (Marxist),72457,32431
