constituency_code,constituency,state,no_of_candidates
S1131,KODUVALLY,KERALA,14
S1116,PERAVOOR,KERALA,12
S111,MANJESHWAR,KERALA,12
S11134,THIRUVANANTHAPURAM,KERALA,12
S1127,KOZHIKODE NORTH,KERALA,11
S11135,NEMOM,KERALA,11
S1164,MANALUR,KERALA,11
S1199,CHANGANASSERY,KERALA,11
S1119,KALPETTA,KERALA,11
S1124,PERAMBRA,KERALA,11
S118,TALIPARAMBA,KERALA,11
S11130,NEDUMANGAD,KERALA,10
S1181,THRIPUNITHURA,KERALA,10
S1130,KUNNAMANGALAM,KERALA,10
S1149,THRITHALA,KERALA,10
S1114,KUTHUPARAMBA,KERALA,10
S1145,TIRUR,KERALA,10
S11127,VARKALA,KERALA,10
S11139,KOVALAM,KERALA,10
S1190,THODUPUZHA,KERALA,9
S1129,BEYPORE,KERALA,9
S11133,VATTIYOORKAVU,KERALA,9
S1148,PONNANI,KERALA,9
S11106,KUTTANAD,KERALA,9
S1138,PERINTHALMANNA,KERALA,9
S1118,SULTHANBATHERY,KERALA,9
S1126,ELATHUR,KERALA,9
S1110,AZHIKODE,KERALA,9
S11137,PARASSALA,KERALA,9
S1140,MALAPPURAM,KERALA,9
S1120,VADAKARA,KERALA,9
S1177,KALAMASSERY,KERALA,9
S11132,KAZHAKOOTTAM,KERALA,8
S1170,IRINJALAKUDA,KERALA,8
S11120,PATHANAPURAM,KERALA,8
S1187,KOTHAMANGALAM,KERALA,8
S1150,PATTAMBI,KERALA,8
S1154,MANNARKKAD,KERALA,8
S1111,KANNUR,KERALA,8
S11101,POONJAR,KERALA,8
S1132,THIRUVAMBADI,KERALA,8
S11136,ARUVIKKARA,KERALA,8
S11111,THIRUVALLA,KERALA,8
S1185,PIRAVOM,KERALA,8
S1172,CHALAKUDY,KERALA,8
S1195,VAIKOM,KERALA,8
S1113,THALASSERY,KERALA,8
S11103,CHERTHALA,KERALA,8
S1194,KADUTHURUTHY,KERALA,8
S1193,PALA,KERALA,8
S1156,PALAKKAD,KERALA,8
S1122,NADAPURAM,KERALA,8
S1167,THRISSUR,KERALA,8
S1175,ANGAMALY,KERALA,8
S1178,PARAVUR,KERALA,8
S1123,QUILANDY,KERALA,8
S1173,KODUNGALLUR,KERALA,7
S1134,ERNAD,KERALA,7
S1171,PUDUKKAD,KERALA,7
S1141,VENGARA,KERALA,7
S1158,CHITTUR,KERALA,7
S1152,OTTAPPALAM,KERALA,7
S1142,VALLIKUNNU,KERALA,7
S11102,AROOR,KERALA,7
S115,TRIKARIPUR,KERALA,7
S1188,DEVIKULAM,KERALA,7
S1174,PERUMBAVOOR,KERALA,7
S1115,MATTANNUR,KERALA,7
S1146,KOTTAKKAL,KERALA,7
S1159,NEMMARA,KERALA,7
S1198,PUTHUPPALLY,KERALA,7
S11128,ATTINGAL,KERALA,7
S1196,ETTUMANOOR,KERALA,7
S11119,KOTTARAKKARA,KERALA,7
S1179,VYPEN,KERALA,7
S1197,KOTTAYAM,KERALA,7
S11123,KUNDARA,KERALA,7
S1144,TANUR,KERALA,7
S1169,KAIPAMANGALAM,KERALA,7
S119,IRIKKUR,KERALA,7
S1155,MALAMPUZHA,KERALA,7
S11122,CHADAYAMANGALAM,KERALA,7
S11131,VAMANAPURAM,KERALA,7
S11104,ALAPPUZHA,KERALA,7
S11107,HARIPAD,KERALA,7
S1163,GURUVAYOOR,KERALA,7
S11113,ARANMULA,KERALA,7
S11121,PUNALUR,KERALA,7
S113,UDMA,KERALA,7
S1161,CHELAKKARA,KERALA,6
S1112,DHARMADAM,KERALA,6
S1160,ALATHUR,KERALA,6
S1121,KUTTIADI,KERALA,6
S11138,KATTAKKADA,KERALA,6
S11126,CHATHANNOOR,KERALA,6
S11140,NEYYATTINKARA,KERALA,6
S1183,THRIKKAKARA,KERALA,6
S117,KALLIASSERI,KERALA,6
S1165,WADAKKANCHERY,KERALA,6
S11124,KOLLAM,KERALA,6
S1182,ERANAKULAM,KERALA,6
S1143,TIRURANGADI,KERALA,6
S11129,CHIRAYINKEEZHU,KERALA,6
S1137,MANJERI,KERALA,6
S11118,KUNNATHUR,KERALA,6
S11116,KARUNAGAPPALLY,KERALA,6
S11125,ERAVIPURAM,KERALA,6
S1192,PEERUMADE,KERALA,6
S1180,KOCHI,KERALA,6
S1147,THAVANUR,KERALA,6
S112,KASARAGOD,KERALA,6
S1133,KONDOTTY,KERALA,6
S1184,KUNNATHUNAD,KERALA,6
S1166,OLLUR,KERALA,6
S1125,BALUSSERI,KERALA,6
S1153,KONGAD,KERALA,5
S1135,NILAMBUR,KERALA,5
S11100,KANJIRAPPALLY,KERALA,5
S1176,ALUVA,KERALA,5
S11114,KONNI,KERALA,5
S1136,WANDOOR,KERALA,5
S1139,MANKADA,KERALA,5
S1191,IDUKKI,KERALA,5
S11112,RANNI,KERALA,5
S11109,MAVELIKKARA,KERALA,5
S1157,TARUR,KERALA,5
S1186,MUVATTUPUZHA,KERALA,5
S11105,AMBALAPPUZHA,KERALA,5
S116,PAYYANNUR,KERALA,5
S1162,KUNNAMKULAM,KERALA,5
S1189,UDUMBANCHOLA,KERALA,5
S1151,SHORNUR,KERALA,5
S114,KANHANGAD,KERALA,5
S11115,ADOOR,KERALA,5
S11110,CHENGANNUR,KERALA,5
S1128,KOZHIKODE SOUTH,KERALA,4
S1168,NATTIKA,KERALA,4
S1117,MANANTHAVADY,KERALA,4
S11108,KAYAMKULAM,KERALA,4
S11117,CHAVARA,KERALA,4
