constituency_code,candidate,party,constituency,state,runner_votes
S11129,MANOJ EDAMANA,Communist Party of India,CHIRAYINKEEZHU,KERALA,55411
S11123,S. L. SAJIKUMAR,Communist Party of India (Marxist),KUNDARA,KERALA,55298
S1120,M K BHASKARAN,Rashtriya Janata Dal,VADAKARA,KERALA,55255
S1176,ADVOCATE A.M.ARIFF,Communist Party of India (Marxist),ALUVA,KERALA,54756
S11137,NEYYATTINKARA SANAL,Indian National Congress,PARASSALA,KERALA,54136
S1151,P.HARIGOVINDAN,Indian National Congress,SHORNUR,KERALA,54066
S112,ASHWINI M L,Bharatiya Janata Party,KASARAGOD,KERALA,53698
S11127,VARKALA KAHAR,Indian National Congress,VARKALA,KERALA,53315
S1160,K M FEBIN,Indian National Congress,ALATHUR,KERALA,53011
S1119,P K ANIL KUMAR,Rashtriya Janata Dal,KALPETTA,KERALA,52348
S11135,V SIVANKUTTY,Communist Party of India (Marxist),NEMOM,KERALA,52214
S1111,RAMACHANDRAN KADANNAPPALLI,Congress (Secular),KANNUR,KERALA,52069
S1168,ADV. SUNIL LALOOR,Indian National Congress,NATTIKA,KERALA,51886
S11140,K. ANSALAN,Communist Party of India (Marxist),NEYYATTINKARA,KERALA,51794
S1181,K N UNNIKRISHNAN,Communist Party of India (Marxist),THRIPUNITHURA,KERALA,51788
S1195,P PRADEEP,Communist Party of India,VAIKOM,KERALA,51584
S11109,ADV. MUTHARA RAJ,Indian National Congress,MAVELIKKARA,KERALA,51444
S11113,VEENA GEORGE,Communist Party of India (Marxist),ARANMULA,KERALA,51098
S11100,DR. N. JAYARAJ,Kerala Congress (M),KANJIRAPPALLY,KERALA,50874
S1179,ADV. M. B. SHYNI,Communist Party of India (Marxist),VYPEN,KERALA,50464
S11121,NOUSHAD YOUNUS,Indian Union Muslim League,PUNALUR,KERALA,50415
S11112,ADV. PRAMOD NARAYAN,Kerala Congress (M),RANNI,KERALA,50308
S11101,ADV. SEBASTIAN KULATHUNKAL,Kerala Congress (M),POONJAR,KERALA,50207
S11138,ADV. I. B. SATHEESH,Communist Party of India (Marxist),KATTAKKADA,KERALA,49710
S1142,ADV. MUSTHAFA,Independent,VALLIKUNNU,KERALA,49429
S1113,SAJU K P,Indian National Congress,THALASSERY,KERALA,49220
S1127,THOTTATHIL RAVINDRAN,Communist Party of India (Marxist),KOZHIKODE NORTH,KERALA,49153
S1156,SOBHA SURENDRAN,Bharatiya Janata Party,PALAKKAD,KERALA,49052
S1184,ADV. P. V. SREENIJIN,Communist Party of India (Marxist),KUNNATHUNAD,KERALA,49009
S1155,C KRISHNAKUMAR,Bharatiya Janata Party,MALAMPUZHA,KERALA,48908
S1157,SUBRAMANIAN K C,Indian National Congress,TARUR,KERALA,48647
S1152,P.K SASI P.K.S S/O PADMINI AMMA,Independent,OTTAPPALAM,KERALA,48585
S1143,AJITH KOLADI,Communist Party of India,TIRURANGADI,KERALA,48482
S119,ADV. MATHEW KUNNAPPALLY,Kerala Congress (M),IRIKKUR,KERALA,48469
S1172,ADV. BIJU S CHIRAYATH,Kerala Congress (M),CHALAKUDY,KERALA,48046
S1193,JOSE K MANI,Kerala Congress (M),PALA,KERALA,47808
S1199,ADV. JOB MAICHIL,Kerala Congress (M),CHANGANASSERY,KERALA,47623
S11130,MEENANKAL KUMAR,Indian National Congress,NEDUMANGAD,KERALA,47623
S11110,ADV. ABI KURIAKOSE,Indian National Congress,CHENGANNUR,KERALA,47567
S11126,ADV.R.RAJENDRAN,Communist Party of India,CHATHANNOOR,KERALA,47525
S11105,H. SALAM,Communist Party of India (Marxist),AMBALAPPUZHA,KERALA,47249
S1186,N ARUN,Communist Party of India,MUVATTUPUZHA,KERALA,47085
S11139,BHAGATH RUFUS,Independent,KOVALAM,KERALA,46952
S1191,ROSHY AUGUSTINE,Kerala Congress (M),IDUKKI,KERALA,46740
S1161,SIVADASAN (SIVAN VEETTIKUNNU),Independent,CHELAKKARA,KERALA,46687
S1174,BASIL PAUL,Kerala Congress (M),PERUMBAVOOR,KERALA,46654
S11124,S. JAYAMOHAN,Communist Party of India (Marxist),KOLLAM,KERALA,46586
S1140,K.T. MUJEEB RAHMAN,Nationalist Congress Party - Sharadchandra Pawar,MALAPPURAM,KERALA,46305
S11132,KADAKAMPALLY SURENDRAN,Communist Party of India (Marxist),KAZHAKOOTTAM,KERALA,46136
S11128,ADV. P SUDHEER,Bharatiya Janata Party,ATTINGAL,KERALA,45788
S1188,ADV. A. RAJA,Communist Party of India (Marxist),DEVIKULAM,KERALA,45357
S1189,K.K. JAYACHANDRAN,Communist Party of India (Marxist),UDUMBANCHOLA,KERALA,44895
S1185,SABU K JACOB,Kerala Congress (M),PIRAVOM,KERALA,44870
S11107,T.T.JISMON,Communist Party of India,HARIPAD,KERALA,44807
S1196,V. N. VASAVAN,Communist Party of India (Marxist),ETTUMANOOR,KERALA,44325
