STATE,CANDIDATE,CONSTITUENCY,PARTY,RESULT
HARYANA,"AMIT KUMAR",BERI,Independent,LOST
HARYANA,"AMIT KUMAR",BADLI,Independent,LOST
HARYANA,"AMIT KUMAR",PUNDRI,Independent,LOST
HARYANA,"AMIT SHARMA",JULANA,Independent,LOST
HARYANA,"AMIT SHARMA",KALKA,Independent,LOST
HARYANA,"ANAND KUMAR",BHIWANI,Independent,LOST
HARYANA,"ANAND KUMAR",ROHTAK,Independent,LOST
HARYANA,"ANIL KUMAR",TOSHAM,Independent,LOST
HARYANA,"ANIL KUMAR",NALWA,Independent,LOST
HARYANA,"ANIL KUMAR",DADRI,Independent,LOST
HARYANA,"ANIL KUMAR",KOSLI,Independent,LOST
HARYANA,"ANKIT KUMAR",JIND,Independent,LOST
HARYANA,"ANKIT KUMAR",DABWALI,Independent,LOST
HARYANA,"ASHOK KUMAR",RADAUR,Independent,LOST
HARYANA,"ASHOK KUMAR",THANESAR,Independent,LOST
HARYANA,"BIJENDER KUMAR",RAI,Independent,LOST
HARYANA,"BIJENDER KUMAR",JULANA,Independent,LOST
HARYANA,"BIJENDER SINGH","GARHI SAMPLA",Independent,LOST
HARYANA,"BIJENDER SINGH","UCHANA KALAN",Independent,LOST
HARYANA,DEVENDER,"UCHANA KALAN",Independent,LOST
HARYANA,DEVENDER,"PANIPAT RURAL",Independent,LOST
HARYANA,INDERJEET,JULANA,Independent,LOST
HARYANA,INDERJEET,KOSLI,Independent,LOST
HARYANA,"JITENDER KUMAR",PRITHLA,Independent,LOST
HARYANA,"JITENDER KUMAR","FARIDABAD NIT",Independent,LOST
HARYANA,"KRISHAN KUMAR",NARNAUL,Independent,LOST
HARYANA,"KRISHAN KUMAR",NARNAUL,Independent,LOST
HARYANA,"KRISHAN KUMAR",LOHARU,Independent,LOST
HARYANA,"KRISHAN KUMAR",TOSHAM,Independent,LOST
HARYANA,MAHENDER,BAHADURGARH,Independent,LOST
HARYANA,MAHENDER,HISAR,Independent,LOST
HARYANA,"MUKESH KUMAR",MEHAM,Independent,LOST
HARYANA,"MUKESH KUMAR",KOSLI,Independent,LOST
HARYANA,"NARENDER KUMAR",GURGAON,Independent,LOST
HARYANA,"NARENDER KUMAR",MAHENDRAGARH,Independent,LOST
HARYANA,"NARENDER KUMAR","FEROZEPUR JHIRKA",Independent,LOST
HARYANA,"PARVEEN KUMAR",LADWA,Independent,LOST
HARYANA,"PARVEEN KUMAR",BAHADURGARH,Independent,LOST
HARYANA,"PARVEEN KUMAR",HISAR,Independent,LOST
HARYANA,"RAJ KUMAR",NILOKHERI,Independent,LOST
HARYANA,"RAJ KUMAR",RATIA,Independent,LOST
HARYANA,RAJBIR,RATIA,Independent,LOST
HARYANA,RAJBIR,GOHANA,Independent,LOST
HARYANA,"RAJESH KUMAR",RAI,Independent,LOST
HARYANA,"RAJESH KUMAR",ADAMPUR,Independent,LOST
HARYANA,"RAJESH KUMAR",DABWALI,Independent,LOST
HARYANA,"RAJESH KUMAR",KALAYAT,Independent,LOST
HARYANA,RAJKUMAR,"FARIDABAD NIT",Independent,LOST
HARYANA,RAJKUMAR,LADWA,Independent,LOST
HARYANA,"RAM KUMAR",GANAUR,Independent,LOST
HARYANA,"RAM KUMAR",BHIWANI,Independent,LOST
HARYANA,RAMPHAL,ASSANDH,Independent,LOST
HARYANA,RAMPHAL,ADAMPUR,Independent,LOST
HARYANA,SANDEEP,BADLI,Independent,LOST
HARYANA,SANDEEP,BADHRA,Independent,LOST
HARYANA,"SANDEEP KUMAR",NARNAUND,Independent,LOST
HARYANA,"SANDEEP KUMAR",RAI,Independent,LOST
HARYANA,SANJAY,JHAJJAR,Independent,LOST
HARYANA,SANJAY,LOHARU,Independent,LOST
HARYANA,SANJAY,"GARHI SAMPLA",Independent,LOST
HARYANA,"SATISH KUMAR",KAITHAL,Independent,LOST
HARYANA,"SATISH KUMAR",BHIWANI,Independent,LOST
HARYANA,"SATISH KUMAR",SAMALKHA,Independent,LOST
HARYANA,"SUBHASH CHAND",NILOKHERI,Independent,LOST
HARYANA,"SUBHASH CHAND",SOHNA,Independent,LOST
HARYANA,"SUNIL KUMAR",BAWAL,Independent,LOST
HARYANA,"SUNIL KUMAR",DADRI,Independent,LOST
HARYANA,"SUNIL KUMAR",JHAJJAR,Independent,LOST
HARYANA,"SUNIL KUMAR",PALWAL,Independent,LOST
HARYANA,"VED PARKASH",JIND,Independent,LOST
HARYANA,"VED PARKASH",NILOKHERI,Independent,LOST
HARYANA,VIKAS,"UCHANA KALAN",Independent,LOST
HARYANA,VIKAS,JIND,Independent,LOST
HARYANA,VIKASH,MEHAM,Independent,LOST
HARYANA,VIKASH,BADHRA,Independent,LOST
HARYANA,"VINOD KUMAR",FATEHABAD,Independent,LOST
HARYANA,"VINOD KUMAR",BADSHAHPUR,Independent,LOST
HARYANA,"KRISHAN KUMAR",GUHLA,"Jannayak Janta Party",LOST
HARYANA,"KRISHAN KUMAR",BADLI,"Jannayak Janta Party",LOST
