STATE,LOSING_PARTY,"< 500","< 2500","< 5000","< 10000","< 15000","< 25000","< 50000"
HARYANA,"Bahujan Samaj Party",0,0,1,1,1,1,1
HARYANA,"Bharatiya Janata Party",0,6,7,13,20,26,30
HARYANA,"Communist Party of India  (Marxist)",0,0,0,0,0,0,1
HARYANA,"Haryana Jan Sevak Party",0,0,0,0,0,1,1
HARYANA,"Haryana Lokhit Party",0,0,0,1,1,1,1
HARYANA,Independent,0,1,1,3,3,4,6
HARYANA,"Indian National Congress",1,4,10,13,21,33,43
HARYANA,"Indian National Lok Dal",0,0,0,0,0,1,2
