STATE,CANDIDATE,CONSTITUENCY_COUNT
HARYANA,"ANIL KUMAR",4
HARYANA,"RAJESH KUMAR",4
HARYANA,"SUNIL KUMAR",4
HARYANA,"AMIT KUMAR",3
HARYANA,"KRISHAN KUMAR",3
HARYANA,"NARENDER KUMAR",3
HARYANA,"PARVEEN KUMAR",3
HARYANA,SANJAY,3
HARYANA,"SATISH KUMAR",3
HARYANA,"AMIT SHARMA",2
HARYANA,"ANAND KUMAR",2
HARYANA,"ANKIT KUMAR",2
HARYANA,"ASHOK KUMAR",2
HARYANA,"BIJENDER KUMAR",2
HARYANA,"BIJENDER SINGH",2
HARYANA,DEVENDER,2
HARYANA,INDERJEET,2
HARYANA,"JITENDER KUMAR",2
HARYANA,"KRISHAN KUMAR",2
HARYANA,MAHENDER,2
HARYANA,"MUKESH KUMAR",2
HARYANA,"RAJ KUMAR",2
HARYANA,RAJBIR,2
HARYANA,RAJKUMAR,2
HARYANA,"RAM KUMAR",2
HARYANA,RAMPHAL,2
HARYANA,SANDEEP,2
HARYANA,"SANDEEP KUMAR",2
HARYANA,"SUBHASH CHAND",2
HARYANA,"VED PARKASH",2
HARYANA,VIKAS,2
HARYANA,VIKASH,2
HARYANA,"VINOD KUMAR",2
HARYANA,"AABID KHAN",1
HARYANA,"AAYUSHI ABHIMANYU RAO",1
HARYANA,"ABDUT NATH",1
HARYANA,"ABHASH CHANDELA",1
HARYANA,"ABHAY SINGH CHAUTALA",1
HARYANA,"ABHIJEET LAL SINGH",1
HARYANA,"ABHISHEK DESHWAL",1
HARYANA,"ABHISHEK PUNIA",1
HARYANA,"ADARSH BALYAN",1
HARYANA,"ADARSH PAL SINGH",1
HARYANA,"ADITYA DEVILAL",1
HARYANA,"ADITYA KUMAR SHASTRI",1
HARYANA,"ADITYA SURJEWALA",1
HARYANA,"ADVOCATE BRAHMA PRAKASH",1
HARYANA,"ADVOCATE PARDEEP SAINI",1
HARYANA,"ADVOCATE RAKESH SHARMA",1
HARYANA,"ADVOCATE RINKU MUANA",1
HARYANA,"ADVOCATE SONIYA BOHAT",1
HARYANA,"AFTAB AHMED",1
HARYANA,"AJAIB SINGH SODHI",1
HARYANA,"AJAY CHAUDHARY",1
HARYANA,"AJAY SAINI",1
HARYANA,AJIT,1
HARYANA,"AJIT GULIA JEETE",1
HARYANA,"AJIT KUMAR",1
HARYANA,"AJIT SINGH",1
HARYANA,"AKRAM KHAN",1
HARYANA,"AKSHAT GAIT",1
HARYANA,"ALKA ARYA",1
HARYANA,"AMANDEEP SINGH JUNDLA",1
HARYANA,"AMAR SINGH",1
HARYANA,"AMAR SINGH",1
HARYANA,"AMAR SINGH BALMIKI",1
HARYANA,AMARJEET,1
HARYANA,"AMARJEET DHANDA",1
HARYANA,"AMARJEET SINGH",1
HARYANA,"AMARJEET SINGH",1
HARYANA,"AMARNATH J. E.",1
HARYANA,"AMIR CHAND TALWARA",1
HARYANA,AMIT,1
HARYANA,"AMIT GROVER",1
HARYANA,"AMIT HOODA",1
HARYANA,"AMIT KUMAR",1
HARYANA,"AMIT MAURYA",1
HARYANA,"AMIT SIHAG",1
HARYANA,"ANAND SHEORAN",1
HARYANA,"ANANT RAM",1
HARYANA,"ANIL BITHMARA",1
HARYANA,"ANIL KUMAR BATTA",1
HARYANA,"ANIL KUMAR S/O CHARANJIT LAL",1
HARYANA,"ANIL KUMAR S/O JAGDISH CHANDER SHARMA",1
HARYANA,"ANIL KUMAR TYAGI",1
HARYANA,"ANIL MAAN",1
HARYANA,"ANIL MAHLA",1
HARYANA,"ANIL RANGA",1
HARYANA,"ANIL TANWER",1
HARYANA,"ANIL VIJ",1
HARYANA,"ANIL YADAV",1
HARYANA,"ANIRUDH CHAUDHARY",1
HARYANA,"ANITA DHULL BADSIKRI",1
HARYANA,"ANITA YADAV",1
HARYANA,"ANJANI LADHA",1
HARYANA,"ANKIT ALAGH JAN SEWAK",1
HARYANA,"ANKUR KAUSHIK",1
HARYANA,"ANOOP DHANAK",1
HARYANA,"ANURAG DHANDA",1
HARYANA,ANWAR,1
HARYANA,ARCHANA,1
HARYANA,"ARJUN CHAUTALA",1
HARYANA,"ARJUN DASS",1
HARYANA,"ARTI RAO",1
HARYANA,"ARTI SINGH RAO",1
HARYANA,"ARUN GOYAL",1
HARYANA,"ARUN NINANIYA",1
HARYANA,ARVIND,1
HARYANA,"ARVIND KUMAR SHARMA",1
HARYANA,"ASEEM GOEL NANEOLA",1
HARYANA,"ASHA RANI",1
HARYANA,"ASHISH RASILA",1
HARYANA,ASHOK,1
HARYANA,"ASHOK JANGRA",1
HARYANA,"ASHOK KUMAR",1
HARYANA,"ASHOK KUMAR ARORA",1
HARYANA,"ASHOK SAINI HAMID PUR",1
HARYANA,"ASHWANI MALIK",1
HARYANA,"ASHWINI SHARMA HRITTWAL",1
HARYANA,"ATAM PARKASH",1
HARYANA,ATAULLAH,1
HARYANA,"ATAULLAH KHAN",1
HARYANA,"ATTAR LAL",1
HARYANA,ATUL,1
HARYANA,"AVTAR SINGH",1
HARYANA,"BABA BALWAN NATH",1
HARYANA,"BABA DARSHAN GIRI",1
HARYANA,"BABA ISHWAR NATH",1
HARYANA,"BABU RAM",1
HARYANA,"BACHAN SINGH ARYA",1
HARYANA,"BAKIL AKHTAR",1
HARYANA,"BALBIR SINGH",1
HARYANA,"BALBIR SINGH BALMIKI",1
HARYANA,"BALDEV KUMAR",1
HARYANA,"BALDEV SINGH MANGIANA",1
HARYANA,"BALDEV SINGH WARAICH",1
HARYANA,BALJEET,1
HARYANA,"BALJEET SINGH",1
HARYANA,"BALJIT SINGH",1
HARYANA,"BALRAJ KUNDU",1
HARYANA,"BALRAJ SINGH",1
HARYANA,"BALRAJ SINGH",1
HARYANA,"BALRAM DANGI",1
HARYANA,"BALWAN FAUJI",1
HARYANA,"BALWAN SINGH",1
HARYANA,"BALWAN SINGH",1
HARYANA,"BALWAN SINGH DOULATPURIA",1
HARYANA,"BALWANT SINGH",1
HARYANA,"BANTI BARETH",1
HARYANA,"BETA MAMCHAND RATTU",1
HARYANA,"BHAGIRATH DABLA BOHTWAS",1
HARYANA,"BHAGWAN DASS",1
HARYANA,"BHAI SATISH MASUDPUR",1
HARYANA,"BHAJAN SINGH",1
HARYANA,"BHARAT BHUSHAN",1
HARYANA,"BHARAT BHUSHAN BATRA",1
HARYANA,"BHARAT BHUSHAN GURJAR",1
HARYANA,"BHARAT KUMAR GIRDHAR @ SUNNY SINGH",1
HARYANA,"BHARAT SINGH BENIWAL",1
HARYANA,"BHATERI DEVI",1
HARYANA,"BHAVYA BISHNOI",1
HARYANA,"BHIM SINGH RATHI",1
HARYANA,"BHOOP SINGH SHEORAN",1
HARYANA,"BHUPENDER BENIWAL",1
HARYANA,BHUPINDER,1
HARYANA,"BHUPINDER SINGH",1
HARYANA,"BHUPINDER SINGH",1
HARYANA,"BHUPINDER SINGH HOODA",1
HARYANA,BIJENDER,1
HARYANA,BIJENDER,1
HARYANA,"BIJENDER HOODA",1
HARYANA,"BIJENDER SINGH ADVOCATE",1
