STATE,CONSTITUENCY,WINNER,WINNER_PARTY,WINNER_VOTES,RUNNER_UP,RUNNER_UP_PARTY,RUNNER_UP_VOTES,VOTE_DIFFERENCE
HARYANA,"UCHANA KALAN","DEVENDER CHATAR BHUJ ATTRI","Bharatiya Janata Party",48968,"BRIJENDRA SINGH","Indian National Congress",48936,32
HARYANA,DABWALI,"ADITYA DEVILAL","Indian National Lok Dal",56074,"AMIT SIHAG","Indian National Congress",55464,610
HARYANA,LOHARU,"RAJBIR FARTIA","Indian National Congress",81336,"JAI PARKASH DALAL","Bharatiya Janata Party",80544,792
HARYANA,ADAMPUR,"CHANDER PARKASH S/O ARJUN LAL","Indian National Congress",65371,"BHAVYA BISHNOI","Bharatiya Janata Party",64103,1268
HARYANA,ROHTAK,"BHARAT BHUSHAN BATRA","Indian National Congress",59419,"MANISH KUMAR GROVER","Bharatiya Janata Party",58078,1341
HARYANA,SADHAURA,"RENU BALA","Indian National Congress",57534,"BALWANT SINGH","Bharatiya Janata Party",55835,1699
HARYANA,DADRI,"SUNIL SATPAL SANGWAN","Bharatiya Janata Party",65568,"MANISHA SANGWAN","Indian National Congress",63611,1957
HARYANA,PANCHKULA,"CHANDER MOHAN","Indian National Congress",67397,"GIAN CHAND GUPTA","Bharatiya Janata Party",65400,1997
HARYANA,PUNDRI,"SATPAL JAMBA","Bharatiya Janata Party",42805,"SATBIR BHANA",Independent,40608,2197
HARYANA,FATEHABAD,"BALWAN SINGH DOULATPURIA","Indian National Congress",86172,"DURA RAM","Bharatiya Janata Party",83920,2252
HARYANA,ASSANDH,"YOGINDER SINGH RANA","Bharatiya Janata Party",54761,"SHAMSHER SINGH GOGI","Indian National Congress",52455,2306
HARYANA,HODAL,"HARINDER SINGH","Bharatiya Janata Party",68865,"UDAI BHAN","Indian National Congress",66270,2595
HARYANA,MAHENDRAGARH,"KANWAR SINGH","Bharatiya Janata Party",63036,"RAO DAN SINGH","Indian National Congress",60388,2648
HARYANA,ATELI,"ARTI SINGH RAO","Bharatiya Janata Party",57737,"ATTAR LAL","Bahujan Samaj Party",54652,3085
HARYANA,THANESAR,"ASHOK KUMAR ARORA","Indian National Congress",70076,"SUBHASH SUDHA","Bharatiya Janata Party",66833,3243
HARYANA,SAFIDON,"RAM KUMAR GAUTAM","Bharatiya Janata Party",58983,"SUBHASH GANGOLI","Indian National Congress",54946,4037
HARYANA,RANIA,"ARJUN CHAUTALA","Indian National Lok Dal",43914,"SARV MITTER","Indian National Congress",39723,4191
HARYANA,GHARAUNDA,"HARVINDER KALYAN","Bharatiya Janata Party",87236,"VARINDER SINGH RATHORE","Indian National Congress",82705,4531
HARYANA,RAI,"KRISHNA GAHLAWAT","Bharatiya Janata Party",64614,"JAI BHAGWAN ANTIL","Indian National Congress",59941,4673
HARYANA,KHARKHAUDA,"PAWAN KHARKHODA","Bharatiya Janata Party",58084,"JAIVEER SINGH","Indian National Congress",52449,5635
HARYANA,BARODA,"INDURAJ SINGH NARWAL","Indian National Congress",54462,"KAPOOR SINGH NARWAL",Independent,48820,5642
HARYANA,JULANA,VINESH,"Indian National Congress",65080,"YOGESH KUMAR","Bharatiya Janata Party",59065,6015
HARYANA,BADKHAL,"DHANESH ADLAKHA","Bharatiya Janata Party",79476,"VIJAY PRATAP SINGH","Indian National Congress",73295,6181
HARYANA,SHAHBAD,"RAM KARAN","Indian National Congress",61050,"SUBHASH CHAND","Bharatiya Janata Party",54609,6441
HARYANA,PEHOWA,"MANDEEP CHATHA","Indian National Congress",64548,"JAI BHAGWAN SHARMA (DD)","Bharatiya Janata Party",57995,6553
HARYANA,JAGADHRI,"AKRAM KHAN","Indian National Congress",67403,"KANWAR PAL","Bharatiya Janata Party",60535,6868
HARYANA,"NANGAL CHAUDHRY","MANJU CHOUDHARY","Indian National Congress",61989,"DR. ABHE SINGH YADAV","Bharatiya Janata Party",55059,6930
HARYANA,SIRSA,"GOKUL SETIA","Indian National Congress",79020,"GOPAL KANDA","Haryana Lokhit Party",71786,7234
HARYANA,"AMBALA CANTT.","ANIL VIJ","Bharatiya Janata Party",59858,"CHITRA SARWARA",Independent,52581,7277
HARYANA,BADHRA,"UMED SINGH","Bharatiya Janata Party",59315,"SOMVIR SINGH","Indian National Congress",51730,7585
HARYANA,KAITHAL,"ADITYA SURJEWALA","Indian National Congress",83744,"LEELA RAM","Bharatiya Janata Party",75620,8124
HARYANA,GOHANA,"ARVIND KUMAR SHARMA","Bharatiya Janata Party",57055,"JAGBIR SINGH MALIK","Indian National Congress",46626,10429
HARYANA,TOHANA,"PARAMVIR SINGH","Indian National Congress",88522,"DEVENDER SINGH BABLI","Bharatiya Janata Party",77686,10836
HARYANA,KALKA,"SHAKTI RANI SHARMA","Bharatiya Janata Party",60612,"PARDEEP CHAUDHARY","Indian National Congress",49729,10883
HARYANA,"AMBALA CITY","NIRMAL SINGH MOHRA","Indian National Congress",84475,"ASEEM GOEL NANEOLA","Bharatiya Janata Party",73344,11131
HARYANA,NARWANA,"KRISHAN KUMAR","Bharatiya Janata Party",59474,"SATBIR DABLAIN","Indian National Congress",47975,11499
HARYANA,SOHNA,"TEJPAL TANWAR","Bharatiya Janata Party",61243,"ROHTAS SINGH","Indian National Congress",49366,11877
HARYANA,NALWA,"RANDHIR PANIHAR","Bharatiya Janata Party",66330,"ANIL MAAN","Indian National Congress",54186,12144
HARYANA,KALANAUR,"SHAKUNTLA KHATAK","Indian National Congress",69348,"RENU DABLA","Bharatiya Janata Party",57116,12232
HARYANA,NARNAUND,"JASSI PETWAR","Indian National Congress",84801,"CAPT. ABHIMANYU","Bharatiya Janata Party",72223,12578
