CONSTITUENCY,STATE,TOTAL_VOTES
BADSHAHPUR,HARYANA,282285
GURGAON,HARYANA,230104
TIGAON,HARYANA,203714
SOHNA,HARYANA,203562
"PANIPAT RURAL",HARYANA,201139
FATEHABAD,HARYANA,195276
"FARIDABAD NIT",HARYANA,193490
PALWAL,HARYANA,192880
HATHIN,HARYANA,188238
JAGADHRI,HARYANA,183032
"FEROZEPUR JHIRKA",HARYANA,181166
TOHANA,HARYANA,180467
KOSLI,HARYANA,178111
GHARAUNDA,HARYANA,174738
SADHAURA,HARYANA,174150
KAITHAL,HARYANA,168714
SAMALKHA,HARYANA,168119
REWARI,HARYANA,167667
PRITHLA,HARYANA,167191
LOHARU,HARYANA,166115
"UCHANA KALAN",HARYANA,166006
"AMBALA CITY",HARYANA,165701
NARNAUND,HARYANA,165080
RATIA,HARYANA,164504
YAMUNANAGAR,HARYANA,164013
DABWALI,HARYANA,162933
ASSANDH,HARYANA,162292
TOSHAM,HARYANA,160692
KALAYAT,HARYANA,160413
BADKHAL,HARYANA,159984
MULANA,HARYANA,159837
NARWANA,HARYANA,159810
BAHADURGARH,HARYANA,159100
ELLENABAD,HARYANA,158454
SIRSA,HARYANA,158031
PATAUDI,HARYANA,157893
BAWAL,HARYANA,157135
INDRI,HARYANA,156577
MAHENDRAGARH,HARYANA,155401
NUH,HARYANA,154956
"BAWANI KHERA",HARYANA,153369
RADAUR,HARYANA,153018
KARNAL,HARYANA,150871
MEHAM,HARYANA,149495
"GARHI SAMPLA",HARYANA,149248
NILOKHERI,HARYANA,148838
LADWA,HARYANA,148068
"PANIPAT CITY",HARYANA,146863
SAFIDON,HARYANA,146655
BALLABGARH,HARYANA,146610
PUNAHANA,HARYANA,146279
KALKA,HARYANA,145960
BHIWANI,HARYANA,145254
ATELI,HARYANA,145240
SONIPAT,HARYANA,144776
UKLANA,HARYANA,144715
RANIA,HARYANA,144402
BADHRA,HARYANA,144077
KALANAUR,HARYANA,143261
THANESAR,HARYANA,143212
FARIDABAD,HARYANA,143087
DADRI,HARYANA,142304
HANSI,HARYANA,142285
NARAINGARH,HARYANA,141289
HODAL,HARYANA,141146
GANAUR,HARYANA,141038
KALANWALI,HARYANA,140583
PANCHKULA,HARYANA,140502
RAI,HARYANA,140219
BARWALA,HARYANA,140087
JULANA,HARYANA,138871
PUNDRI,HARYANA,135974
ADAMPUR,HARYANA,135697
JIND,HARYANA,135236
GUHLA,HARYANA,133876
"AMBALA CANTT.",HARYANA,133323
BADLI,HARYANA,132300
GOHANA,HARYANA,130786
BARODA,HARYANA,129971
ISRANA,HARYANA,129654
NALWA,HARYANA,129546
PEHOWA,HARYANA,128602
JHAJJAR,HARYANA,123641
SHAHBAD,HARYANA,121209
ROHTAK,HARYANA,120648
BERI,HARYANA,118966
"NANGAL CHAUDHRY",HARYANA,118473
KHARKHAUDA,HARYANA,113716
HISAR,HARYANA,112494
NARNAUL,HARYANA,106576
