CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTES
"RAO NARBIR SINGH","Bharatiya Janata Party",BADSHAHPUR,HARYANA,145503
"MAMMAN KHAN","Indian National Congress","FEROZEPUR JHIRKA",HARYANA,130497
"MUKESH SHARMA","Bharatiya Janata Party",GURGAON,HARYANA,122615
"GAURAV GAUTAM","Bharatiya Janata Party",PALWAL,HARYANA,109118
"BHUPINDER SINGH HOODA","Indian National Congress","GARHI SAMPLA",HARYANA,108539
"MAHIPAL DHANDA","Bharatiya Janata Party","PANIPAT RURAL",HARYANA,101079
"BIMLA CHAUDHARY","Bharatiya Janata Party",PATAUDI,HARYANA,98519
"RAJESH NAGAR","Bharatiya Janata Party",TIGAON,HARYANA,94229
"VIPUL GOEL","Bharatiya Janata Party",FARIDABAD,HARYANA,93651
"ANIL YADAV","Bharatiya Janata Party",KOSLI,HARYANA,92185
"SATISH KUMAR PHAGNA","Bharatiya Janata Party","FARIDABAD NIT",HARYANA,91992
"AFTAB AHMED","Indian National Congress",NUH,HARYANA,91833
"JAGMOHAN ANAND","Bharatiya Janata Party",KARNAL,HARYANA,90006
"PARAMVIR SINGH","Indian National Congress",TOHANA,HARYANA,88522
"HARVINDER KALYAN","Bharatiya Janata Party",GHARAUNDA,HARYANA,87236
"DR. KRISHAN KUMAR","Bharatiya Janata Party",BAWAL,HARYANA,86858
"JARNAIL SINGH","Indian National Congress",RATIA,HARYANA,86426
"BALWAN SINGH DOULATPURIA","Indian National Congress",FATEHABAD,HARYANA,86172
"MOHAMMAD ILYAS","Indian National Congress",PUNAHANA,HARYANA,85300
"NIKHIL MADAAN","Bharatiya Janata Party",SONIPAT,HARYANA,84827
"JASSI PETWAR","Indian National Congress",NARNAUND,HARYANA,84801
"VARDHAN YADAV","Indian National Congress",BADSHAHPUR,HARYANA,84798
"NIRMAL SINGH MOHRA","Indian National Congress","AMBALA CITY",HARYANA,84475
"DURA RAM","Bharatiya Janata Party",FATEHABAD,HARYANA,83920
"LAXMAN SINGH YADAV","Bharatiya Janata Party",REWARI,HARYANA,83747
