STATE,PARTY,SILVER_MEDALS
HARYANA,"Indian National Congress",45
HARYANA,"Bharatiya Janata Party",32
HARYANA,Independent,7
HARYANA,"Indian National Lok Dal",2
HARYANA,"Bahujan Samaj Party",1
HARYANA,"Communist Party of India  (Marxist)",1
HARYANA,"Haryana Jan Sevak Party",1
HARYANA,"Haryana Lokhit Party",1

